geneID	Ctrl-Sal rep1	Ctrl-Sal rep2	Ctrl-Sal rep3	CUMS-Sal rep1	CUMS-Sal rep2	CUMS-Sal rep3	CUMS-Flx rep1	CUMS-Flx rep2	CUMS-Flx rep3	CUMS-Alb rep1	CUMS-Alb rep2	CUMS-Alb rep3
ENSRNOG00000015830	0.030281677	0	0	0	0.029008701	0.086991895	0	0.053359938	0.024640456	0	0.104356006	0.025903712
ENSRNOG00000009625	142.7127128	131.763939	172.6136833	174.3680529	191.1683803	163.0330266	140.4293578	159.8829286	171.7780886	169.9855469	181.5151155	171.1130051
ENSRNOG00000017695	0.848265463	0.653595242	0.704544461	1.016086372	0.886479535	1.329196614	0.661143369	0.747372626	0.941237404	0.515745227	1.129446243	1.187390834
ENSRNOG00000027109	0.68672825	0.705506057	1.368903314	0.998860042	1.076497687	0.538037268	0.267620131	1.045084078	0.863594699	1.073650204	0.537860649	1.121485363
ENSRNOG00000046751	0.466400255	0.219611994	0.213058119	0.109739323	0.335095357	0.223309091	0.899700255	0.41092653	0.284635366	0.334208984	0.200912208	0.598455861
ENSRNOG00000056279	0	0	0	0	0.082919004	0.041443205	0	0.038131256	0	0	0.074573281	0
ENSRNOG00000004720	3.637588646	1.636691414	1.957114572	2.929039928	2.206959175	2.747938734	2.252376457	1.994180683	3.091489303	2.510050796	2.333046649	2.489348264
ENSRNOG00000018616	3.619265977	3.895289316	2.834281718	3.649616356	3.467119958	2.351763744	6.427572869	2.61936311	3.996822705	5.063425252	3.897696839	4.754589329
ENSRNOG00000047413	0.13000237	0	0.079182519	0.040784346	0.041512452	0.041496134	0.037152373	0	0.105784025	0.082805291	0.112002783	0
ENSRNOG00000011052	50.00754168	59.5620559	56.23978557	53.16063857	47.02684086	48.27069308	51.03088701	50.27090876	48.64331865	47.45005438	50.0956095	51.06360018
ENSRNOG00000005008	0.320650175	0.164708996	0.292954913	0.246913478	0.167547678	0.279136364	0.124958369	0.154097449	0.142317683	0.027850749	0.050228052	0.299227931
ENSRNOG00000000955	2.641396016	2.899698939	3.102753632	2.358126226	2.83400041	2.529362872	2.924559459	2.446913937	3.156439077	2.86976691	3.328993742	3.395731201
ENSRNOG00000042714	0.085199293	0.080234891	0.038920221	0.040093086	0.040808851	0.04079281	0.109568016	0.075065675	0.103991075	0	0.036701477	0.109322445
ENSRNOG00000010822	3.213126755	2.057614651	1.87878523	2.177327939	1.723710206	1.969180168	2.975145161	2.830956918	2.614548345	2.947115585	3.211170691	2.418759106
ENSRNOG00000061990	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000004172	72.51838079	68.91941115	75.2711357	66.7381847	74.72790718	71.88472898	68.7329832	76.1050034	72.31738192	67.9088627	75.32681269	76.97345155
ENSRNOG00000012934	19.21363361	19.29190886	19.63216636	21.91379346	24.18287501	22.22459725	20.89883666	20.59353548	22.59910662	23.10382652	22.12276001	21.96563948
ENSRNOG00000057832	0.394542076	0.603773383	0.495638836	0.556990868	0.614179135	0.613937712	0.295976973	0.260711381	0.441433046	0.612554547	0.892277983	0.168750635
ENSRNOG00000010342	11.85679607	13.30407829	13.36801089	13.05857153	12.48614297	12.07861441	9.877006764	12.37286033	10.19537782	15.7471653	12.46103822	12.37253729
ENSRNOG00000009920	69.76781468	73.52358584	76.58465392	66.11888297	54.57618291	75.28738406	74.88676494	61.29879104	53.0367855	59.58787034	56.09899379	56.39164087
ENSRNOG00000022218	3.230101765	3.28852952	2.366205926	2.601838418	2.118630334	2.284992082	2.245392575	1.769081003	2.273177127	2.502267949	2.356669187	2.962253862
ENSRNOG00000051514	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000030477	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000017022	15.77510582	14.81152985	17.52764373	17.4643311	17.26435485	17.88949346	16.23237853	17.71960105	18.55131924	17.77412983	17.8956537	17.87608027
ENSRNOG00000039461	3.062888133	3.54598348	3.773907722	4.548797197	4.710760812	3.92857559	4.336443465	3.56510669	2.972465398	2.550505827	4.091371216	3.052744412
ENSRNOG00000017431	25.63202365	22.83741187	28.56679605	29.01704083	35.82172057	33.09203844	28.98900259	31.04008894	34.92437057	34.52854198	34.04872594	34.19566852
ENSRNOG00000016640	32.39941338	28.08735429	39.53558847	37.80300787	34.31122228	36.16774798	32.57201289	38.98655375	40.37615033	43.46465431	37.28176342	35.34647055
ENSRNOG00000010659	8.781722586	9.038142183	8.569699455	8.700006937	7.709341253	7.862519854	8.018482401	7.641406021	7.654593079	7.818829888	8.245127929	7.930738992
ENSRNOG00000061158	0	0	0	0	0	0	0	0	0	0	0	0
