XFTU	SFTU	SFRC	SFNC	SFRN
Tceb1	Pnkd	Rpl13	Rapsn	Gm10229
Best2	Runx3	Tmem50a	Heyl	Casc1
Gm14378	Tceb1	Tmem59l	Ntrk2	Mdm2
Tdp1	Cpne2	Tmem198	Triap1	Cpped1
Clps	Mc4r	Rtn4rl2	Pdia3	Amotl1
Lyl1	Lsm6	1700009P17Rik	Nos2	0610007P14Rik
Cryba4	Gstp2	Dmwd	Rc3h1	Snx6
	Lig1	Rapsn	Ephx3	Sphkap
	Ndufa13	Slit1	Mtvr2	Spint4
Tial1	Otos	Khsrp	Brcc3	Sys1
Cox7c	Arpc3	Flot2	Khsrp	1500011K16Rik
BC030867		Senp3	Smc2	Med30
	Nos1ap	Kdm2a	Mypop	2310002L13Rik
Mlana	Gfra4	Nufip1	Rtn4rl2	Tle2
Khsrp	Gm1332	Gemin7	Esrrb	Ralgapb
Gm16379	Med28	Ap3s2	Notum	Ccdc115
Atf4	D3Ertd751e	Nt5m	Cpne2	Atp2a2
Tmem198	C130074G19Rik		Trim59	Gaa
Adam33	Rxrg	Sox10	Syt6	Stard3
Dph3b-ps	Syt6	Gja3	Flot2	Pls3
Ngfrap1	Ap2s1	Otos	1110007C09Rik	Nde1
Barhl1	Tial1			Krtcap3
Cyp2t4	Sox13		S100a16	Scn11a
Tox4	1190002H23Rik	Cyp2t4	Ppp1r3b	Tfip11
Dnase2a	Aff3	Srp54c	Chrna2	AU021034
Gm10318	Foxp4	Ssbp2	Tmem50a	Tmem59l
Gkn3	Dlst	Ppp2r4		Hyou1
Spg7	Chfr	Notum	Lmna	
Xpa	Rab5a	1810037I17Rik	Ptch2	Ttc23l
Lrp5			Prkx	Arl9
Fbxw4	Ptp4a2	Hvcn1		Terf2ip
Rab3gap2	2900010M23Rik	Noc4l	Atp2a3	C330006K01Rik
Elavl1	Gm16379	Nos1ap		
Arap2	Serpinb8	Nbeal1	Hvcn1	Sp110
Rps9	Eif1b	Ptch2	Nub1	Slc23a1
Zmynd8	Ppp1r3b	Ndufa13	Trim21	Phf21a
	Dnase2a	En2		Wbp7
