IN.Sh.Gh	IN.Norm.Sh	IN.Anx.Sh	IN.Norm.Anx	IN.Flx.Sh
Rpl39	Nat8l	Eml5	Usp27x	Ddhd1
Fgf1	Cdc40	Arhgap44	Rundc3b	Tbc1d24
Lrp8	Baiap2	Ppp1r9b	Dgkd	Rps25
Eef1b2	Hspa9	Srsf11	Golga1	Sphkap
Rgs20	Gabra4	Cdk16	Sik2	Sh3bgrl
Psmd7	Fam222b	Samd8	Cwc27	Phactr3
Lix1	Ankrd33b	Uhmk1	Bex1	Zc3h15
Rps17	Hecw2	Rap1gap2	Slit2	Larp1
Rbx1	Pdk2	Rangap1	Cux2	Snx10
Lclat1	Tenm2	Ppm1a	Nabp2	Ipo5
Lrp1b	Arpc5	Mef2d	Osbpl3	Bag1
Smurf2	Fnbp1	Phactr2	Hrk	Acp1
Kndc1	Spcs3	Ddhd1	Bcap29	Mal
Glg1	Mlip	Tbc1d24	Rab22a	Stx1b
Grik2	Cntnap2	Rps25	Tada1	Pde2a
Edem3	Ncs1	Sphkap	Wdr44	Cap1
Zfp60	Ctnna2	Sh3bgrl	Tmcc3	Hs2st1
Mia3	Unc13a	Phactr3	Daam2	Ehd3
Bpnt1	Pknox2	Pcp4l1	Arhgef2	Syngr1
Psmc1	Vapb	Gca	Cox15	Cnp
Lasp1	Adcyap1r1	Larp1	Cacna2d2	Usp7
Cep350	Hey1	Mdga2	Gm3002	D630045J12Rik
Prex1	Chordc1	Snx10	Ccdc3	Mat2b
Plekhb1	Sqstm1	Ipo5	Srgap1	Pls3
Ppt1	Cadps2	Bag1	Sox10	Madd
Usp12	Dmtn	Acp1	Gcnt4	Ranbp2
Acly	D430019H16Rik	Mal	Unc5a	Sik3
Tnpo1	Kcnh7	Stx1b	Shisa4	Tmem88b
Cic	Vkorc1l1	Pde2a	Txn1	Bhlhe40
Clec16a	Tnfaip8l3	Cap1	Rbm12	Tbc1d30
Cryab	Dgkg	Hipk2	Fam149b	Ube2e3
Smc5	Ppp1r1b	Ehd3	Fxyd6	Rims1
Pgap1	Cacnb3	Syngr1	Carf	Thsd7a
Slc7a11	Zfp788	Cnp	Map3k5	Plk2
Tmem245	Slc25a5	Usp7	Ppp1r15b	Otud7b
Insr	Galnt13	D630045J12Rik	Ifngr2	Flrt2
Rgs9	Htt	H3f3b	Mau2	Gpi1
Phyh	Epn2	Mobp	Rad51d	Tpi1
Usp15	Kcnj6	Usp11	Orc2	Zc2hc1a
Map3k2	Gjc3	Mat2b	Zc3hav1l	Srrm4
Rpl36al	Mamld1	Pls3	Ptcd3	Fubp1
Ercc6	Kctd1	Madd	Lap3	Kcnq5
Ugt8a	Nxt2	Ranbp2	Cables2	Ube2ql1
Prpf19	Egln1	Sik3	Rab24	Metap2
Phf20l1	Tmeff2	Tmem88b	2610008E11Rik	Deptor
Nme1	Mkrn1	Bhlhe40	Emc3	Foxk1
Mbtd1	Tmed8	Tbc1d30	Larp7	Usp47
Ptpra	Rheb	Ube2e3	Elovl5	Gfra2
Acvr1c	Syt13	Rnf130	Slc30a1	Ube2i
Rps29	Esrrg	Rims1	Tdrkh	Ablim1
Extl2	Dnajc7	Eif4h	Rps26	Iqsec3
Acot7	Tubb4b	St3gal5	Rab28	Git1
Ahctf1	Khdrbs3	Thsd7a	Lhx6	Fam13b
Itgav	Gpcpd1	Phip	Zfp597	Gabrg2
Ndufs4	Stac2	Mob4	Jmjd4	Spred2
Kcnq3	Nr1d2	Otud7b	Mt2	Hnrnpab
Rpl23	Kdm3b	Flrt2	Eif3i	Myadm
Dbi	Snx5	Gpi1	Nol7	Rock1
Kcnq2	Daam1	Tpi1	Fahd1	Vamp1
Map6d1	Chm	Zc2hc1a	Gnpat	Ina
Llph	Ssh2	Fubp1	Mt1	Tsc22d2
Atf1	Kcnd3	Otud4	Dlx6os1	Cadm1
Casd1	Lpin2	Kcnq5	Jakmip1	Rbm3
Zbtb41	Arhgef7	Deptor	Mtx2	Igip
Rusc2	Psd	Slc9a6	Lrrn2	Plekhb2
Lsamp	Lztfl1	Usp47	Bach2	Kif3c
Lhx2	Akirin2	Gfra2	Gm10409	Zbtb4
Uba52	Trnp1	Ablim1	Bcas1	Ccp110
Cnot6	Mon2	Iqsec3	Papss2	Trim35
Bpgm	Tceal5	Fam13b	Onecut2	Socs5
Plxnc1	Nicn1	Zdbf2	Plekhh1	5730409E04Rik
Naa30	Ptgds	Gabrg2	Pdrg1	Ankrd40
Pfkfb2	Zbed6	Spred2	Gtf2h1	Myrip
Exd2	Tagln3	Myadm	Ppp1r1a	Ap2a2
Grm1	Hapln4	Rock1	Dnajc9	Camsap1
Abcb7	Sap130	2510009E07Rik	Osgin2	Magi3
Zhx3	Sh3bgrl3	Vamp1	Poglut1	Rybp
Mtf2	Fhl1	Ptprn	Fstl1	Fundc2
Nwd1	Tln2	Tsc22d2	Clvs1	Gmps
Uqcrh	Slc6a8	Cadm1	Itpka	Hdac9
Tfrc	Dock9	Rbm3	Atad2	Vldlr
Ankfy1	B230217C12Rik	Plekhb2	Tmem44	Pcdh1
Kcnab1	Synj2	Kif3c	Ubald1	Plcb4
Vps13c	Camkk2	Zbtb4	Phtf2	Cat
Nalcn	Adcy9	Ccp110	Trub1	Gtdc1
Prdx1	Ric3	Trim35	Tac1	Ralgps2
Ctnna1	Lrp11	Socs5	Nbas	Cacnb2
Fam135a	Dbndd2	5730409E04Rik	Exoc8	Cmas
Paxbp1	Vopp1	Sema5a	B4galt5	Ccdc6
Slc7a8	Rhou	Myrip	Lin54	Ptk2
Ndufb9	Gnptab	Ap2a2	Utp14b	Clstn2
Gphn	Necab3	Kpna4	Zfp932	Cpne4
Bmp3	Sprn	Magi3	Usf2	Ktn1
Tmed7	Rab3gap2	Rybp	Dtnbp1	Map7d1
Stmn3	Glce	Zmynd8	Nae1	Nat8l
Rps8	Zcchc7	Gmps	Gabpb1	Uri1
Cd164	Slc5a3	Hdac9	Slc25a42	Cdc40
Pak2	Ksr2	Vldlr	Arhgef10	Baiap2
Stau1	Neurod2	Pcdh1	Snrpd1	Syt16
Diras1	Slc12a2	Plcb4	Lnx1	Gabra4
Rpl24	Zmym5	Cat	Gm5113	Mfap3l
Abcf1	Slitrk5	Ralgps2	Jade3	Ankrd33b
Tmem181c-ps	Ssbp3	Cacnb2	Smad9	Hecw2
Sorl1	Rtn4rl1	Cmas	Kif13a	Stk24
Copg2	Nr4a2	Ccdc6	Hapln1	Pdk2
Tia1	Rab27b	Ptk2	Magee2	Dnajc21
Slitrk2	Atg4c	Nudt3	Igfn1	Igsf11
Dusp26	Drp2	Clstn2	Wdr59	Gsg1l
Utp6	Uchl1	Cpne4	Ankrd63	Tenm2
Tmbim6	Samd4	Rab9b	Trim3	Arpc5
Grm3	Rpl10a	Map7d1	Filip1	Fnbp1
Ccnd1	Sar1a	Uri1	Apmap	Spcs3
Taf13	Zfp804a	Cdc40	Hyou1	Tmem64
Atxn7	Smarcal1	Baiap2	Mboat2	Grsf1
Rpl37	Smyd3	Syt16	Lrrc10b	Mlip
Psma2	Scg5	Gabra4	St8sia5	Cntnap2
Rpl13a	Mib1	Mfap3l	Zhx2	Ncs1
Ypel3	Sytl2	Ankrd33b	Mettl16	Psat1
Ift20	Pdzrn3	Hecw2	Gltp	Ctnna2
Cdk2ap1	Pogk	Stk24	Lancl3	Unc13a
Abca5	Peg10	Pdk2	Psenen	Gpr88
Paip1	Rbm33	Dnajc21	Rab4a	Pde7b
Hmgn1	Lrp8	Igsf11	Acsbg1	Scg2
Puf60	Nfic	Gsg1l	Tmem158	Pknox2
Sema6a	Ly6e	Arpc5	Carhsp1	Adcyap1r1
Sntg1	Wnk2	Fnbp1	Nr4a1	Hey1
Mdn1	Zfp239	Spcs3	Gm2897	Chordc1
Thumpd1	Psmd7	Tmem64	Pold3	Rap2b
Zbtb20	Tgs1	Grsf1	Rnasel	Sqstm1
Rexo2	Parp6	Mlip	Plekha2	Cadps2
Bub3	Lix1	Cntnap2	Aldh9a1	Dmtn
Esco1	Akap7	Ncs1	Chga	D430019H16Rik
Esyt2	Ak5	Psat1	Tmem87a	Kcnh7
Tfdp2	Arhgef11	Ctnna2	Cdh7	Pde4a
Dgke	Grik2	Unc13a	Tmem50a	Tnfaip8l3
Tmem59	Gopc	Gpr88	Slc9a7	Cdk5r2
Myl6	Cnrip1	Pde7b	St18	Atrnl1
Lcorl	Mia3	Scg2	Orai2	Cbl
Mocs2	Leng8	Pknox2	Sorcs3	Dgkg
Atxn3	Psmc1	Adcyap1r1	Zfp703	Ppp1r1b
Adam10	Mzt1	Hey1	Ankrd49	Rsrp1
Psd2	Fyco1	Rap2b	Pdcl	Cacnb3
Chmp4b	Lasp1	Cadps2	Nxpe3	Zfp788
Trpm7	Prex1	Dmtn	Ss18	Slc25a5
Ctps2	Lifr	D430019H16Rik	Oprd1	Galnt13
Tmem135	Ppt1	Kcnh7	Hs3st2	Htt
9530068E07Rik	Nsmf	Pde4a	Fuca2	Gpr22
2310022B05Rik	Immt	Rpl18a	Mcfd2	Kcnj6
Zc3h7b	Lonrf1	Fip1l1	Rgmb	Gjc3
Mical3	Ier5	Tnfaip8l3	Lix1l	Mamld1
Rlf	Dgkz	Cdk5r2	Htr2a	Kctd1
Cxadr	Stard7	Atrnl1	Rbm4b	Snapin
Clk4	Clec16a	Cbl	Igfbp4	Egln1
Rnf145	Slc7a11	Dgkg	2900052N01Rik	Tmeff2
Psma7	Dusp18	Ppp1r1b	Ccdc117	Pip5k1c
Kdm3a	Arl15	Rsrp1	Prdx3	Rala
Fkbp4	Mtmr2	Cacnb3	Dock1	Mkrn1
Tmem151b	Ugt8a	Zfp788	Pls1	Tmed8
Cbfb	Tma7	Ireb2	1600012H06Rik	Atl1
Syngr3	Mmp17	Slc25a5	Ing1	Rheb
Pygb	Ngef	Galnt13	Atr	Megf11
Cd99l2	Phf20l1	Htt	Gm9899	Trp53bp1
Snw1	Jade1	Lmbrd2	Grip1	Syt13
Shisa6	Alkbh5	Gpr22	Hs6st1	Esrrg
Rpl36a	B3galt2	Kcnj6	Cbx4	Dnajc7
Cntn4	Kcnt2	Gjc3	Rpp25	Tubb4b
Sox9	Nme1	Mamld1	Banp	Khdrbs3
Usp48	Aff2	Kctd1	Pld5	Stac2
Gabarap	Acvr1c	Snapin	Cacna1g	Nr1d2
Fam131a	Ndufa10	Fbxo45	Usp49	Kdm3b
Trappc10	Ankrd13c	Tmeff2	Sulf1	Snx5
Sash1	Tnpo2	Pptc7	Sc5d	Daam1
Cldn25	Zbtb34	Pip5k1c	Rara	Chm
Pdcd5	Srxn1	Rala	Ptprf	Kcnd3
Tmx3	Acot7	Mkrn1	Sgsm2	Lpin2
Snap29	Slc2a3	Tmed8	Crot	Arhgef7
Zkscan16	Gng7	Atl1	Med19	Psd
Slc25a36	Rnf13	Cdkl2	Nsdhl	Myo6
Bnip2	Tnks	Megf11	Itgb1	Cacng7
Ext1	Acadsb	Trp53bp1	Lmo2	Lztfl1
Foxn3	Trhde	Syt13	Zfp938	Rbmx
C2cd2l	Kcnq2	Esrrg	Casp9	Synpo
Svip	Ttl	Tubb4b	D130040H23Rik	Dnajb1
Lrfn5	Plekha5	Khdrbs3	Arhgap31	Mest
Rbbp4	Zfp781	Stac2	Dab2	Rufy2
Hmgcr	Map6d1	Nr1d2	Nosip	Akirin2
Qdpr	Setbp1	Msl2	Gcc1	Stip1
Wdr17	Pfkm	Kdm3b	Pxdn	Foxk2
Pdap1	Kcnip2	Snx5	Fkbp1b	Trnp1
Gtf2f1	Rusc2	Daam1	Palmd	Mon2
Spock3	Ulk1	Kcnd3	Drd2	Camkv
Zdhhc2	Lhx2	Lpin2	Wbp1l	Tpgs2
Erlec1	Cnot6	Arhgef7	Zfp516	Stk25
Galnt1	Ackr1	Myo6	Gpr37	Pnrc1
Serinc5	Paqr9	Pde8b	Tgfbr1	Nicn1
Rpl38	Slc25a44	Lztfl1	Cabyr	Ptgds
C130074G19Rik	Cox5a	Rbmx	Tubgcp5	Tagln3
Tceal3	Nrbp2	Synpo	Ttbk1	Calcoco1
Dag1	Exd2	Stxbp4	Pibf1	Hapln4
Gstm5	Il33	Mest	Spata9	Sap130
Mylk	Arhgef3	Akirin2	Usp40	Atp6v1e1
Dcaf10	Eif2ak1	Stip1	Isoc1	Sh3bgrl3
Edf1	Ctdsp2	Foxk2	Lpar1	Slc6a8
Csmd3	Cxxc5	Hspa5	Ccbe1	Dock9
Cebpz	Ppid	Trnp1	Gkap1	B230217C12Rik
Sec24c	Fgfr2	Kcnd2	Sorbs3	Synj2
Eno1b	Mtf2	Mon2	Ankrd13a	Map7
Chmp5	Cpne8	Camkv	Ano6	Camkk2
Tprkb	Kcnh1	Smarca1	Sipa1l2	Adcy9
Mon1b	Dusp8	Tpgs2	Nufip1	Lrp11
Hspe1	Zfp532	Stk25	N4bp2l1	Cul4b
Orc4	Jazf1	Pnrc1	Fn3krp	Dbndd2
Cyb5r3	Terf2ip	Khdrbs1	Hcfc2	Cox6a1
Slc35b4	Tfrc	Map3k9	Rasl10a	Vopp1
Hook1	Rapgef5	Nicn1	Cnot8	Epha5
Timm23	Pid1	Ptgds	Faf2	Rhou
Pdlim5	Ntrk3	Tagln3	1700113A16Rik	Pitpnm3
Rab5c	Nop56	Atf4	Tom1l1	Gnptab
Capn2	Clmn	Calcoco1	Oxtr	Necab3
Fam20b	Fam135a	Hapln4	Ctr9	Cd2ap
Fus	Slc7a8	Atp6v1e1	Dock5	Sprn
Lyrm7	Ell2	Sh3bgrl3	Ube2g2	Rab3gap2
S100pbp	Ttyh3	Slc6a8	Plekhg1	Glce
Ube2a	Gphn	Dock9	Lin28b	Zcchc7
Fgd6	Rabggtb	B230217C12Rik	Hnrnph3	Slc5a3
Gna11	Bmp3	Synj2	Polr3e	Neurod2
Ptgr2	Cdc73	Map7	Cyb561d1	Lyrm9
Kcnab3	Sccpdh	Camkk2	Sall1	Cacna1c
Nek9	Pdk1	Adcy9	Slc16a14	Slc12a2
Vti1b	Pak2	Sema6d	Dcakd	Nin
Ppp1r10	Tbc1d5	Lrp11	Flcn	Zmym5
Abcc5	Igf2	Bag4	Sema4a	Slitrk5
Amotl1	Fktn	Cul4b	Bcl2l11	Ssbp3
Phtf1	Abcf1	Dbndd2	Ubxn8	Rtn4rl1
Hypk	Sorl1	Vopp1	Car8	Nr4a2
Amfr	Exph5	Epha5	Parn	Rab27b
Rps27a	Kctd4	Rhou	Dtl	Gatm
Pcdh11x	Slitrk2	Pitpnm3	Ngrn	Drp2
Ptchd1	Dusp26	Gnptab	Sptssa	Gclc
Wsb1	Lamp5	Sirt2	4933404O12Rik	Uchl1
Manea	Gng4	Slitrk4	Trim62	Samd4
Etfa	Slc35f3	Cd2ap	Fabp3	Rpl10a
Reln	Grm3	Sprn	Cadm4	Sar1a
Clk1	Ap3d1	Glce	Fgfr3	Pacs2
Gosr1	Tomm34	Zcchc7	Creb5	Zfp804a
Cyb5r4	Abl2	Slc5a3	Kif17	Ccnd2
Klhl23	Lyst	Neurod2	Wnt4	Smarcal1
Zfp941	Trp53i11	Cacna1c	Cmya5	Foxo1
Rps6ka2	Cntln	Slc12a2	Slc35f5	Usp29
Tbca	Mast2	Nin	Adamts13	Smyd3
S100b	Sh3bp5	Zmym5	Pgm2	Nrsn2
Chuk	Mark1	Slitrk5	Zfp395	Scg5
Ddit4l	Rdx	Ssbp3	Ptgs1	Mib1
Tm9sf2	Peli1	Rtn4rl1	Dlx1as	Gabra5
Flnb	Fam98a	Nr4a2	Gins4	Sytl2
Rnf181	Bmi1	Rab27b	Rassf5	Pdzrn3
Rasl11b	Ift20	Gatm	Otub2	Pogk
Smarce1	Nwd2	Drp2	0610043K17Rik	Peg10
Dcc	Rimbp2	Gclc	Slc5a5	Pmepa1
Mta3	Cdk2ap1	Uchl1	Stk40	Rbm33
Ppp2r5a	Ssrp1	Samd4	Matk	Slc20a1
Myo1b	Svop	Pacs2	Prcc	Lrp8
Mme	Gnaz	Zfp804a	Matn2	Ly6e
Aldh3a2	Zfhx4	Ccnd2	Glmn	Wnk2
Gprin1	Sema6a	Smarcal1	Fam120aos	Zfp239
Mier3	Pcdh15	Foxo1	Sdc4	Rgs20
Tob1	Sntg1	Usp29	Tmem63a	Psmd7
Cox5b	Lpcat4	Rbms3	Prkg2	Parp6
Agpat5	Kcna6	Smyd3	Trim59	Lix1
Ccnt2	Apod	Nrsn2	Arrb2	Gm14295
Rtca	Elmo2	Scg5	Cep76	Akap7
Ppip5k2	Rnf149	Mib1	Prss23	Ak5
Grem2	Dclk3	Gabra5	Tor1b	Arhgef11
Sorcs1	Med12l	Sytl2	Fis1	Trim23
Efhd1	Gdpd1	Qser1	Nabp1	Smurf2
Mpc2	Osbp2	Pogk	Hexb	Kndc1
Tubb2b	Hbp1	Peg10	Dyrk2	Grik2
Gpatch2l	Lcorl	Pmepa1	Abcb10	B3galt1
Taf9	Flrt1	Rbm33	Prelp	Gopc
Slit2	Ccl27a	Slc20a1	Frmd4b	Pik3r3
Rplp2	Atg13	Lrp8	Zfp930	Zfp60
Megf8	Jarid2	Ly6e	Lrrc3b	Xpo1
Htr2c	Klf10	Wnk2	Ring1	Cnrip1
Fam210b	Grik5	Rgs20	Trim26	Snph
4930570G19Rik	Pcyt1b	Parp6	Lin7b	Mia3
Cux2	Cdyl2	Lix1	Il18	Ptpn5
Pisd-ps1	Psd2	Akap7	A730020E08Rik	Mtus2
Nipa1	Fam131b	Ak5	Blnk	Bpnt1
Tmem255a	Coro1c	Arhgef11	Fbf1	Leng8
Kctd6	Trpm7	Trim23	Ctc1	Fyco1
Nabp2	Ctps2	Smurf2	Ndufb2	Med15
Rps20	Rasgef1b	Fez1	Zfp523	Lasp1
Rnf5	Kat7	Kndc1	Plch1	Prex1
Col25a1	Mrpl17	Grik2	Pdcd2	Lifr
Ralgapa2	2310022B05Rik	B3galt1	Rras2	Zbtb38
Cacna1d	Zfp654	Gopc	Emx2os	Ppt1
Bcap29	Rlf	Pik3r3	Sstr1	Nsmf
Plxna1	Spon1	Xpo1	Fam184b	Immt
Meaf6	Ccdc25	Cnrip1	Slc45a4	Ier5
Pcna	Sec61a2	Snph	Jpx	Dgkz
Wdr44	Ppa1	Mtus2	Rarb	Fbxo9
Rnf115	Hid1	Bpnt1	Gemin5	Wbp4
Ndufab1	Errfi1	Tox	Qsox2	Stard7
Shank3	Syt6	Leng8	Crtac1	Usp54
Cyp51	Ccndbp1	Fyco1	Pcdhb13	Clec16a
Olig1	Atp11a	Med15	Ripk2	Slc7a11
Abcg1	Fkbp4	Lasp1	Kcnk9	Bcr
Serf2	Inhba	Prex1	Taf5l	Tmem245
Daam2	Pygb	Plekhb1	Atg4b	Rgs9
Armcx2	Foxo3	Crim1	Cep112	Dusp18
Pfn1	Crkl	Lifr	Six3	Arl15
Tenm1	Unc13b	Nsmf	Xrcc3	Agap3
D16Ertd472e	5031439G07Rik	Immt	Ccdc137	Ublcp1
Uggt2	Elf2	Ier5	Ttyh2	Mtmr2
Mdc1	Asah2	Dgkz	Slc27a1	Ugt8a
Ryr3	Ntng1	Nab1	Tmtc4	Tma7
Rundc1	Hk1	Wbp4	Ascl1	Mmp17
Lonp2	Cpne3	Stard7	Ryk	Ngef
Rps18	Jak2	Usp54	Ranbp3l	Phf20l1
Sox10	Sox9	Clec16a	Hhip	Rbl2
Gcnt4	Fam131a	Slc7a11	Prep	Mgat3
4931406C07Rik	Lypd1	Tmem245	Sh3bp5l	Jade1
Pigk	Cldn25	Rgs9	Scn7a	Dctn5
Tmsb10	Rassf2	Klhl7	AA388235	Alkbh5
Pcdhgc5	Smad1	Dusp18	Acadm	Vdac3
Abhd17c	Kat2a	Arl15	BC030500	B3galt2
Rbm12b1	Scn4b	Dhx15	Pip5k1b	Kcnt2
Lmbr1	Map4k5	Rnf168	Zfp51	Nme1
Carf	Zfp46	Agap3	Pygo2	Aff2
Ppp1r15b	Sytl5	Ublcp1	Dusp28	Asap2
Csnk2b	Me1	Ugt8a	Tmem43	Acvr1c
Mau2	Asns	Fdft1	Armc9	Gab1
Psmb4	Slc4a1ap	Mmp17	Dot1l	Ankrd13c
Slc36a4	Spock3	Ngef	Fbxo7	Tnpo2
Fnta	Arrdc3	Phf20l1	Ndnf	Zbtb34
Sh3glb2	Rcan1	Rbl2	Commd4	Srxn1
Rsl24d1	Parva	Mgat3	Parvb	Acot7
Rad51d	Serinc5	Jade1	Fgf5	Slc2a3
Lonrf3	C130074G19Rik	Vdac3	Tmem229b	Gng7
Snx14	Tceal3	B3galt2	Ostc	Rnf13
Csnk2a2	Arhgap1	Kcnt2	Rp9	Unc13c
Micall1	Gxylt1	Nme1	D430036J16Rik	Tnks
Psme1	Mylk	Aff2	Map3k1	Acadsb
Rps12	Slc6a7	Asap2	Stc1	Trhde
Rps9	Sulf2	Acvr1c	Sh3rf2	Cct7
Sgms1	Dcaf10	Gab1	Atraid	Kcnq2
Wdr33	Csmd3	Ankrd13c	Raver2	Ttl
Mob1b	Cebpz	Tnpo2	Alg8	Plekha5
Cacna2d3	Cpeb1	Zbtb34	Phf13	Zfp781
Uty	Vmp1	Extl2	Gtf2h3	Map6d1
Vezt	Cnep1r1	Srxn1	Pdpr	Setbp1
Kcnt1	Eno1b	Acot7	Cep85	Pfkm
Lap3	Kcnf1	Adi1	Adra1b	Kcnip2
Olfm3	B4galnt1	Slc2a3	Lsm7	Ralbp1
Eps8	Tle1	Gng7	Trim25	Rusc2
Tcf7l2	Fam32a	Rnf13	Aldh1a2	Ulk1
Gpt2	Adarb2	Ndn	Gm14204	Lhx2
Arhgef26	Prkab2	Unc13c	Piga	Cnot6
Ccdc97	Sfxn5	Acadsb	Arsk	Smap1
Larp7	Cyb5r3	Trhde	Nckap5	Map6
Zmym1	Mink1	Kcnq2	5031425E22Rik	Ackr1
Rpp14	Dtx4	Ttl	Gm20939	Paqr9
Arl5b	Dck	Plekha5	Zfp444	Srsf6
Slc30a1	Hmgn5	Zfp781	Adra1d	Slc25a44
Rab28	Mafb	Map6d1	Gpc1	Cox5a
Nme2	Polr2b	Setbp1	Oser1	Nrbp2
Cdh13	Sv2c	Pfkm	Ganc	Exd2
Dffa	Asic2	Kcnip2	Egr4	Il33
Mt2	Aldh6a1	Ptpn3	Islr2	Arhgef3
Zswim5	Dock10	Ulk1	Il1rapl2	Grm1
Sdhb	Cpne6	Cnot6	Clgn	Bnip3
Ergic2	Trf	Smap1	Arhgap18	Eif2ak1
Eif3i	Mpdz	Map6	Isg20l2	Ctdsp2
Cdh10	Afg3l2	Ackr1	Pde8a	Id4
Ndufa5	Ppp1r10	Paqr9	Pcdhga3	Cxxc5
Ctcfl	Strip2	Srsf6	Gpr101	Ppid
Kctd16	Pgrmc2	Slc25a44	Fam136a	Fgfr2
Fahd1	Lrrcc1	Cox5a	Pnpla3	Mtf2
Kdsr	Smad5	Foxp2	Golm1	Cpne8
Erlin2	Bcl6	Nrbp2	Syt9	Epdr1
Pex11b	Kcnj3	Exd2	Sema6b	Kcnh1
Lrrc55	Snap23	Il33	Tspan17	Zfp281
Nup88	Cep97	Arhgef3	Ccdc157	Dusp8
Timm8a1	Aatk	Grm1	Tpm2	Zfp532
Mt1	Kcnh5	Bnip3	Sh3yl1	Jazf1
Prrt1	Ston2	Eif2ak1	Tmem106c	Terf2ip
Ost4	Car11	Ctdsp2	Kctd7	Tfrc
Myo10	Kcnb2	Id4	Dars2	Rapgef5
Cherp	Pcdh11x	Neat1	Syndig1l	Nalcn
Nrp2	Prickle1	Cxxc5	Snupn	Pid1
Focad	Tdrd3	Ppid	Ipp	Ntrk3
Pkd2	Frmd4a	5330434G04Rik	Lysmd1	Slain1
Pkig	Zfp831	Rbm18	Donson	A830082K12Rik
Ssu72	Slc25a22	Fgfr2	Cpm	Clmn
Emc7	Medag	Mtf2	Rab40c	Appl2
Ndufb3	Zfhx2	Cpne8	Frzb	Fam135a
Papss2	Stx1a	Kcnh1	Gga1	Slc7a8
Hs6st2	Etfa	Zfp281	Tsc22d4	Ell2
Rps16	Clk1	Dusp8	Prss12	Ttyh3
Pigt	Fkrp	Jazf1	Bnc2	Gphn
Raver1	Nploc4	Terf2ip	9330117O12Rik	Rabggtb
Ppp1r1a	Trib2	Tfrc	Dlx5	Bmp3
Zbtb10	Zfp941	Rapgef5	Zfp189	Cdc73
Intu	Dnajb9	Nalcn	Pyroxd1	Stmn3
Prkdc	Lztr1	Pid1	Zfp943	Sccpdh
Swi5	Ddit4l	Ntrk3	Lmna	Atg2b
Kctd9	Hdac5	Slain1	Heyl	Ube3c
Fstl1	Irf2bpl	Leo1	Slc38a10	Pdk1
Rps6kc1	Ankrd34b	Clmn	Kctd20	Pak2
Rnpc3	Flnb	Appl2	Pdk4	Tbc1d5
Psmb2	Mfhas1	Fam135a	Scpep1	Igf2
Mcf2l	Ppp2r5a	Slc7a8	Txndc12	Sorl1
Lrrc61	Usp53	Ctsd	Stk32b	Exph5
Slc35a1	Myo1b	Ell2	Tmem132a	Kctd4
Lsm8	Cttn	Ttyh3	Nr4a3	Slitrk2
Fpgt	Fhl2	Bmp3	Spice1	Dusp26
Cntnap5a	Dr1	Tmx2	Ak6	Lamp5
Rftn2	Cwf19l2	Riok3	Igfbp6	Gng4
Phtf2	Mme	Stmn3	Metap1d	Lzts3
Tmem87b	Grin3a	Sccpdh	Kcnh2	Slc35f3
Adamts3	Asxl1	Atg2b	Zdhhc22	Bcl2
Fbxl2	Cspg5	Hs3st4	Zkscan6	Tox4
Ints10	Bbs4	Ube3c	Pih1d1	Vegfa
Spg11	Gprin1	Pdk1	Fbxo4	Grm3
Ndufc1	Abhd17b	Brd8	Ebf1	Rab3b
Dtx3	Gclm	Pak2	Mars2	Ccnd1
Aldh1a1	Mier3	Igf2	Sec24d	Ap3d1
Asah1	Tob1	Emc8	Cav1	Tomm34
Dpm1	Jun	Sorl1	Oxsm	Abl2
A230056P14Rik	Snapc1	Tro	B3galt6	Lyst
Shc2	Paqr8	Exph5	Sh2b3	Trp53i11
Edrf1	Brd7	Slitrk2	Snhg8	Cntln
Dcaf12	Chst11	Adar	Mthfr	Mast2
Psmc3	Nefh	Dusp26	Kctd8	Sh3bp5
Ccdc93	Sipa1l3	Lamp5	Dennd6b	Mark1
Man2a1	Rasa3	Gng4	Tmem98	Rdx
Grk4	Usp27x	Lzts3	Rlbp1	Fam98a
Rbmxl1	Chchd10	Slc35f3	2810032G03Rik	Bmi1
Chmp2a	Lypd6	Bcl2	Sfi1	Gprasp2
Rreb1	Lrrfip2	Celf3	Oprm1	Ift20
Mrpl16	Grem2	Tox4	Zfp558	Nwd2
Dtnbp1	Tubb2b	Vegfa	Ogn	Rimbp2
Gm14322	Golga1	Grm3	Pcdhb12	Cdk2ap1
Nfya	Dhrs1	Rab3b	F2r	Paip1
Rin2	Tex9	Ccnd1	Ifi27	Svop
Mkrn2	Btf3	Abl2	Pms1	Gnaz
Arhgef10	Slit2	Lyst	Adamts17	Zfhx4
Lnx1	Camkk1	Trp53i11	Xrcc1	Arl2bp
Fkbp8	Afap1	Cntln	Nfil3	Ubap2
Gm5113	Rbm28	Dhx36	Tbc1d4	Sema6a
C1qbp	Nnat	Sh3bp5	Bag2	Pcdh15
Jade3	Cux2	Mark1	Tll1	Sntg1
Irf2	Osbpl3	Rdx	Cfh	Mdn1
Lgr4	Txndc16	Fam98a	Cep131	Lpcat4
Eif4ebp2	Kcnj2	Gprasp2	Fam222a	Kcna6
Vhl	Rnf19a	Nwd2	Gm19522	Cald1
Lemd3	Trappc1	Rimbp2	Pradc1	Apod
Chpt1	Cckbr	Cdk2ap1	Spsb3	Elmo2
Frmd6	Wdr44	Svop	Khdrbs2	Tenm4
