TRP.Sh.Gh	TRP.Norm.Sh	TRP.Anx.Sh	TRP.Norm.Anx	TRP.Flx.Sh
Gria3	Med13	Chgb	Eif5a2	Tcf4
Dmxl2	Tpm4	Ash1l	Pcf11	Sptan1
Shoc2	Cdc42bpa	Olfm1	Pde7b	Ppp1cb
Dnm3	Gjb2	Trim44	Ap3b1	Tuba1b
Myh10	Arpp19	Gria2	Ankrd28	Dst
Usp34	Ahnak	Cnbp	Slc39a6	Ank3
A630089N07Rik	Gprasp1	Zfp106	Tpp1	Capns1
Cfl1	Ube2d2a	Aldh1a2	Bcl11a	Chgb
Nbea	Sipa1l1	Aldoa	Lancl1	Ash1l
Rap1gds1	Zyg11b	Macf1	Sulf2	Gria2
Dzank1	Itpr1	Hsp90b1	Vstm2a	Cnbp
Capzb	Ywhaq	Zfp871	Mapk14	Aldh1a2
Tanc2	Ube2d3	Dynlt3	Coro2b	Aldoa
Akap11	Scn8a	Mbnl2	Vcl	Zfp365
Kif21a	Shank1	Med13	Pygb	Macf1
Gpm6b	Agtpbp1	Tpm4	Klf4	Hsp90b1
Akap9	Hivep2	Rab11b	Odc1	Srgap3
Arpc2	Actg1	Cdc42bpa	Myrip	Zfp871
Kmt2a	Timp2	Gjb2	Nol4	Dynlt3
Myo9a	Hsbp1	Arpp19	Atp6v1e1	Mbnl2
Ppp2ca	Ppp1r9a	Trim2	Mal2	Med13
Stmn1	Ldhb	Gnai1	Zhx2	Tpm4
Cplx1	Arhgap35	Gprasp1	Tmcc3	Rab11b
Unc80	Rph3a	Sipa1l1	Dnajc10	Cdc42bpa
Kcnq1ot1	Mycbp2	Zyg11b	Arl8a	Gjb2
Enah	Plcb1	Itpr1	Gtpbp4	Arpp19
Ncan	Cul3	Ywhaq	Sccpdh	Ahnak
Ntrk2	6820431F20Rik	Ube2d3	Smap1	Trim2
Dnajb4	Dlgap1	Scn8a	Zc3h12c	Gnai1
Dynlrb1	Tmsb4x	Shank1	Ezr	Gprasp1
Rasgrf1	Ensa	Hivep2	Vkorc1l1	Ube2d2a
Dek	Ndrg2	Actg1	Brwd3	Sipa1l1
Map2	Atf2	Timp2	Flnb	Zyg11b
Ptprd	Peg3	Hsbp1	Trnp1	Itpr1
Bptf	Ankrd11	Ppp1r9a	Csnk1e	Ywhaq
Pafah1b2	Camsap2	Rph3a	Fosl2	Ube2d3
