TRP.Sh.Gh	TRP.Norm.Sh	TRP.Anx.Sh	TRP.Norm.Anx	TRP.Flx.Sh
Zc3h15	Aldh1a1	Syn2	Eef1e1	Dip2b
Cend1	Csnk1a1	Ncald	Zkscan3	Dhx9
Eif4h	Ppp1cc	Fhl1	Snhg4	Usp32
Sptbn2	Neto1	Ewsr1	Pard3b	Raph1
Dnal1	Add2	Smap2	Trmt61b	Ncoa4
Llph	Slc38a1	Ogdh	Bloc1s5	Rbfox3
Dynll2	Arhgap26	Snca	Eng	Ap2m1
Uqcrh	Anp32a	6330403K07Rik	Bmpr1b	Myl12b
Ep400	Chl1	Ypel5	Tapbpl	Cep170b
Atp2b3	Fryl	Ralgapb	Rbak	Nrcam
Magee1	Msn	R3hdm4	Tspan17	Ppfia2
Dnajc21	Homer2	Atxn10	Map3k3	Opa1
Unc13a	Serpini1	Smc6	Golm1	Arid4b
Cdk5r1	Armc1	Bnc2	AU023762	Coch
Dzip3	Eif4b	Pea15a	Mfsd11	Dnaja2
Syn3	Rap2a	Atp8a1	Lman2l	Bag1
Xpot	Spp1	Chchd2	Fn3k	Copa
Mras	Car13	Ttll7	Sh3bp1	Rsrc2
Slc4a8	Herc2	Clip1	Sorbs2os	Akr1a1
4930470H14Rik	Gatad2b	Creg2	Cxcl14	Pnisr
Gpd2	Rgl1	Ccdc82	Polr3c	Trio
Brwd1	Vezf1	Ifitm3	Pelo	Arfgef1
Fkbp3	Sumo1	Ttyh1	Tusc1	Srsf3
Ubxn2a	Snx2	Dcn	Car4	Abr
Dcaf6	Ankhd1	Kcnip3	Gcdh	Cck
H1f0	Wdr7	Ube2b	Cd33	Adam22
Pura	Hnrnpab	Rsf1	Kcne4	Pnn
Senp7	Tmem170b	Zfp292	Ciart	Ogt
Madd	Chp1	Myadm	Rpp21	Rpl6
Rpl27a	Cox6c	Ube2e3	Smim3	Rrp1
Igf1r	Ndrg1	Atp6ap1	Arhgdig	Cfl2
Usp33	Tmem178b	Fam163b	AA414768	Prkar1b
Crim1	Paip2	Rab21	Rab10os	Stk39
Hivep3	Pgbd5	Aldh1a1	Slc30a6	Nfasc
Ptprg	Tmem132b	Csnk1a1	Pcdhb22	Pogz
Sfr1	Cyb5b	Ppp1cc	Klhdc4	Cds2
Cir1	Gna13	Add2	Maff	U2surp
Zcrb1	Rapgef2	Slc38a1	Selenbp1	Phlda1
Camsap1	Setd2	Ctxn1	Clcn7	Plxna2
Rian	Smim14	Scaf11	Etnppl	Spop
Tmcc1	Prr14l	Gfra2	Glt8d2	Snx12
Tpi1	Pdia3	Arhgap26	Pcsk2os1	Fundc2
Ahi1	Mapk6	Ola1	Lamc2	Pfn2
5730409E04Rik	Kpna6	Anp32a	Gem	Ranbp2
Syt7	Slc25a12	Chl1	Pycard	Map2k1
Ddn	Lims1	Fryl	Mvk	Cacna2d1
Ptprn	Ptk2b	Homer2	Wdr74	Cab39
Cacna1b	Snapin	Armc1	Plxdc1	Ran
Rasgrf2	Ube2l3	Rap2a	Serf1	Zfp36l1
Ptprs	Usp31	Spp1	St8sia2	Naa50
Rpl7	Kcmf1	Car13	Eif2b3	D430041D05Rik
Man2a2	Vamp3	Herc2	Sh3bp4	Med14
Mrps33	Gdap1	Gatad2b	1700017B05Rik	Rbp1
Slc2a13	Rnf157	Vezf1	Myt1	Ube2h
Ptprj	Zfp609	Sumo1	Bmp1	Ehd3
Dip2c	Pdcd4	Snx2	Tnfaip3	Trim33
D630045J12Rik	Frrs1l	Ankhd1	Ap1s1	Syn2
Cops7a	Chtop	Wdr7	Stk32b	Ncald
Ptprz1	Cmpk1	Mff	Islr2	Fhl1
Mlec	Nono	Srrm1	Cyp20a1	Ewsr1
Lnpep	Klc1	Hnrnpab	Thbs1	Smap2
Cdc40	Usp25	Tmem170b	Tmem163	Kcna1
Ube3a	Strap	Chp1	Col9a3	Sort1
Xpo6	Phyhipl	Nptx1	Tcerg1l	Ogdh
Zmynd8	Prex2	Cox6c	1110019D14Rik	Snca
Rnf11	Hcn1	Slc17a7	Gpsm1	6330403K07Rik
Fbxo22	Hectd1	Zeb1	Slc14a1	Ypel5
C130074G19Rik	Efemp1	Tmem178b	Chrdl1	Lpp
Taf1	Larp4b	Paip2	Sdr42e1	Herc3
Mapk8ip3	Dmxl1	Pgbd5	Trim16	Ralgapb
Csdc2	Ube2j1	Tmem132b	F2r	R3hdm4
Ncor2	Eif2s2	Cyb5b	Hspbp1	Atxn10
Clta	Nav1	Cript	Hrh1	Smc6
Zbed6	Tspyl1	Dennd5a	Hilpda	Bnc2
Pikfyve	Phip	Setd2	Ryr1	Pea15a
Efr3b	Rev3l	Prr14l	Caskin2	Atp8a1
Tgfb1i1	Sorbs2	Sowaha	Pctp	Chchd2
Tet2	Egln3	Pdia3	Fam20a	Ttll7
Ly6e	Hivep1	Slc25a12	Ddx59	Clip1
Cdo1	Rbbp7	Lims1	Tars2	Ccdc82
Psmb7	Parva	Ptk2b	Spire2	Ifitm3
Gfod1	Cox8a	Pde4dip	Inpp5d	Ttyh1
Lats2	Mfap1a	Snapin	Dleu2	Dcn
Tma7	Tpm3	Ube2l3	Tymp	Kcnip3
Zfp318	Arhgdib	Usp31	Pdgfc	Ube2b
Rapgef6	Pdha1	Kcmf1	Pik3cg	Rsf1
Bpgm	Tnik	Mprip	Esyt3	Gad1
C1ql3	Supt6	Dlg1	Mok	Zfp292
Inpp5f	Deptor	Rnf157	Asphd1	Myadm
Htt	Twf1	Zfp609	Stard3	Ube2e3
Cttnbp2	Usp11	Pdcd4	Mreg	Uaca
Nme2	Eif4e	Ppp1r12a	Dvl2	Rab21
Rpl12	Usp24	Zfp706	Gigyf1	Rps25
Slc12a6	Syngap1	Dld	Crip1	Aldh1a1
Pak2	Fgf1	Cmpk1	Ggta1	Csnk1a1
Exoc6b	Cdk11b	Klc1	Susd5	Ppp1cc
Snx4	Klhl9	Dcdc2a	Vwa3a	Neto1
Grm5	Pcnx	Usp25	Nfkbie	Add2
Hs2st1	Vps13a	Strap	Kcnk5	Slc38a1
Nav3	Cyb5r3	Phyhipl	Tmem144	Scaf11
Acap2	Slc35f1	Prex2	Tuba8	Gfra2
Fmn2	Pdlim5	Hcn1	1700028K03Rik	Arhgap26
Chd5	Prpf38b	Stx7	Echdc2	Ola1
Oaz2	Csrnp3	Hectd1	Arid3b	Anp32a
Srp9	Ppp1r7	Efemp1	Esm1	Chl1
Rpl32	4933409K07Rik	Thy1	Dkkl1	Fryl
Rnf187	Atp6v1c1	Dmxl1	Thpo	Msn
Psmd7	Eif4a1	Ube2j1	Enkur	Homer2
Pde2a	Gabbr1	Eif2s2	Gadd45b	Serpini1
Lmtk2	Msantd4	Nav1	Smim18	Armc1
Ap1ar	Lrp1	Tspyl1	Itpr3	Rap2a
4933431E20Rik	Morf4l2	Dennd4a	Plxnb3	Spp1
Ankrd46	Kdm7a	Phip	Dhodh	Car13
Gmps	Tcf12	Ube2n	Otx1	Herc2
Fyco1	Skil	Rev3l	C3ar1	Gatad2b
Lmbrd1	Arpc5	Sorbs2	Cog8	Vezf1
Cnot7	Mmd	Hivep1	Zfp429	Sumo1
Cep350	Mapre3	Yaf2	Dgat1	Snx2
Zfp462	Kcnma1	Rbbp7	Ido2	Ankhd1
Ift20	Pomp	Cox8a	Fxyd7	Wdr7
Plxdc2	Ndufa4	Tpm3	Plcd1	Mff
Aldh5a1	Pcdh9	Arhgdib	Psmg3	Srrm1
Alg11	Cox7b	Tnik	Grik4	Hnrnpab
Rnf44	Gsk3a	Supt6	Cercam	Tmem170b
Lrrtm2	Rgs2	Deptor	Klhl25	Chp1
Wdr13	Metap2	Twf1	Ppp4r1l-ps	Nptx1
Arid2	Tuba4a	Usp11	Srrm4os	Cox6c
Cdh11	D5Ertd579e	Eif4e	Ankzf1	Ndrg1
Ndufb5	Ogfod1	Usp24	Cnksr3	Slc17a7
Pan3	Nrn1	Syngap1	Amz1	Tmem178b
Nsa2	Fbxl16	Fgf1	Tnip3	Paip2
Rhou	Snx27	Habp4	Ccne1	Pgbd5
Gabpa	Sphkap	Cdk11b	Mogs	Tmem132b
Psmd12	Nav2	Sik3	Nme6	Cyb5b
Ttc14	Snap47	Pcnx	Vcpkmt	Gna13
Efhd2	Phyh	Vps13a	Alyref2	Rapgef2
Sh3bgrl3	Rprd2	Nisch	Bard1	Cript
Cdk5r2	Ubxn4	Vcpip1	Gjd2	Setd2
Mdm2	Tmem131	Csrnp3	Nsun5	Smim14
Dennd5b	Arl4a	Ppp1r7	1700019D03Rik	Prr14l
Mast4	Crebrf	4933409K07Rik	Slc35d3	Sowaha
Ralgps1	Lima1	Rc3h1	Abcb1b	Pdia3
Vps13d	Fut9	Atp6v1c1	Notum	Slc25a12
Atf4	Kmt2d	Msantd4	Isg15	Lims1
Ppp1r16b	Vdac2	Lrp1	Klhl14	Ptk2b
Epha7	Hnrnpc	Morf4l2	Pcsk6	Pde4dip
Eif4enif1	Rpl36al	Col1a2	Palld	Snapin
Isca1	Pcsk2	Kdm7a	5330413P13Rik	Ube2l3
Dlgap2	Ppp2r1a	Tcf12	Gmip	Usp31
Tmem230	Camk2g	Fyttd1	Fgf7	Kcmf1
Cstb	Zcchc24	Gatc	Gucy2e	Bdp1
Atg3	Vps26a	Skil	Fam83h	Mprip
Higd1a	Ide	Arpc5	Zfp618	Gdap1
Fnta	Mdh2	Mapre3	Wdfy4	Rnf157
Chd8	Acsl3	Kcnma1	Hes5	Zfp609
Mtor	Rbl2	Pomp	Chat	Pdcd4
Grin2a	Pbx3	Cggbp1	Cfp	Ppp1r12a
Mon2	Gda	Bsg	9330117O12Rik	Zfp706
Flrt1	Chd6	Ndufa4	Atf3	Dld
Tbc1d30	Zfp260	Pcdh9	0610043K17Rik	Chtop
Naa15	Hspa5	Cox7b	Sppl2b	Cmpk1
Meis2	Atp6v0a1	Gsk3a	Eaf2	Nono
Mdn1	Rasal2	Polr2a	Best1	Klc1
Atp2c1	Cped1	Rgs2	Dffb	Usp25
Gosr2	Jph4	Tuba4a	Hcls1	Fbxl3
Mpped2	Klf13	Eny2	Dhx34	Strap
Ahctf1	Epha4	Zc2hc1a	Mybpc2	Phyhipl
Fam120b	Celsr2	D5Ertd579e	Cartpt	Prex2
Ndufs4	Srp72	Nrn1	Pias4	Hcn1
Slc12a2	Ubr4	Ifitm2	Gm16287	Stx7
Dido1	Azin1	Fbxl16	Grwd1	Hectd1
Eif1a	Setx	Cox7c	Nadsyn1	Efemp1
Etfa	Hnrnph2	Sphkap	Zic3	Thy1
Iqsec3	Mapk3	Nav2	Car3	Larp4b
Sav1	Rragd	Snap47	Ddx31	Dmxl1
Uqcrfs1	Adam23	Phyh	Rinl	Ube2j1
Wwtr1	Jmy	Rprd2	Csf2rb	Eif2s2
Tnfaip8l3	Kpna4	Ubxn4	Usp51	Nav1
Ankrd28	Fut8	Tmem131	Coq6	Tspyl1
Hnrnpul1	Pphln1	Arl4a	Acacb	Phip
Trpm7	Ctxn3	Crebrf	1700109K24Rik	Ube2n
Nop56	Nap1l5	Fut9	Cage1	Ucp2
Ube2e2	Nemf	Kmt2d	Pcdhb21	Rev3l
Cnr1	Wdr37	Vdac2	Rph3al	Sorbs2
Slc39a6	Xpo7	Hnrnpc	Hyal2	Rpl18a
Ppp2r3a	Sirpa	Rpl36al	Pyroxd2	Egln3
Ttc33	Scn1a	Trip11	Bcl2a1d	Hivep1
Rab11a	Prdx1	Samd4	Fam216b	Yaf2
Mapkap1	Kdm2a	Tceal8	Pcdhgb8	Rbbp7
Rictor	Ktn1	Ppp2r1a	Kif4	Parva
Specc1	Gabarap	Clu	Rorc	Cox8a
Trrap	Eif5a	Ide	Wnt5b	Mfap1a
Capn7	Nova1	Mdh2	Snora23	Tpm3
Robo2	Elmo1	Acsl3	Gm16523	Arhgdib
St3gal5	Nmnat2	Pbx3	4930556M19Rik	Pdha1
Vps13c	Thoc2	Gda	Rnls	Tnik
Leng8	Ybx1	Chd6	4930479D17Rik	Supt6
Spast	Eya1	Actr1b	Notch4	Deptor
Hypk	Capn2	Zfp260	4930405J17Rik	Twf1
Pitpnm2	Txnl1	Hspa5	Adamts16	Usp11
Hdgf	Snap23	Atp6v0a1	Gm21671	Eif4e
Dock9	Ddah1	Rasal2	Adam4	Usp24
Sin3a	Rbm26	Cped1	Gm5431	Syngap1
Wdr47	Ubn2	Jph4	Fancb	Fgf1
Spred2	Foxo1	Klf13	Vps37d	Habp4
Gria1	Gabbr2	Gap43	Sytl3	Cdk11b
Mest	Nhsl1	Nrgn	Wfdc17	Sik3
Ddhd1	Pcdh10	Epha4	Angptl1	Pcnx
Gtf3c1	Pnrc1	Celsr2	Gm6654	Vps13a
Exph5	Fam171b	Prkaca	Mcm5	Cyb5r3
Psme4	Dtna	Srp72	Vmn2r86	Nisch
Cacna1a	Atp6v0d1	Ubr4	Tdrd1	Vcpip1
Yae1d1	Scai	Azin1	Gm5862	Prpf38b
Sema5a	Mbp	Setx	Runx3	Csrnp3
Clk1	Mpzl2	Hnrnph2	9930014A18Rik	Ppp1r7
Mpc1	Adi1	Prrt2	Gch1	4933409K07Rik
Ptprk	Tomm70a	Mapk3	Grem1	Atp6v1c1
Gabrg2	Sestd1	Adam23	Gm20172	Eif4a1
Cdk2ap1	Zmat2	Jmy	Siah3	Ube2i
Acbd3	Arap2	Tmem263	Nt5c1a	Msantd4
Ndufb9	Srp54a	Kpna4	Klhl30	Mbd2
Strn	Acat1	Necap1	Mms22l	Lrp1
Crbn	Plcb4	Fut8	Zcwpw1	Morf4l2
Puf60	Penk	Pphln1	Gm16576	Col1a2
Hmgn2	Pdzd8	Ctxn3	Arhgap20os	Kdm7a
Rab3gap2	Nktr	Nemf	Galns	Tcf12
Nalcn	Rheb	Xpo7	Ube2c	Fyttd1
Rnf4	Ubqln1	Vapa	Tmem125	Skil
Etf1	Sbf2	Ap3s1	Myb	Arpc5
Tbc1d5	Vps13b	Scn1a	Tonsl	Mmd
Tro	Abi1	Kdm2a	Slitrk6	Mapre3
Nicn1	Pdk2	Ktn1	Mfsd3	Kcnma1
Nek1	Dusp3	Gabarap	Slc43a1	Pomp
Tle4	Ppp2cb	Eif5a	Mir378b	Cggbp1
Peg10	Tcp1	Elmo1	Tomt	Bsg
Aida	Rab12	Hspa4l	Asb5	Ndufa4
Psma7	Slc25a5	Thoc2	Themis	Pcdh9
Tenm3	Grin2b	Eya1	Il11	Cox7b
Lyst	Shank2	Txnl1	Spag16	Gsk3a
Srp19	Cox7a2l	Ddah1	4932413F04Rik	Rgs2
Chmp4b	Zfc3h1	Ubn2	Ankef1	Metap2
Shisa7	Pde10a	Ttc39b	Ubl4b	Tuba4a
Glo1	Kdm5a	Pcdh10	Gm10421	Eny2
Zfp277	Prpf19	Pnrc1	Relb	D5Ertd579e
Uso1	Ccdc47	Fam171b	Tmem86b	Ogfod1
Zdhhc21	Cnot6l	Acp1	Pcdha11	Nrn1
Ndufs3	Disp2	Dtna	Gjc2	Ifitm2
Scaper	Kcnc1	Atp6v0d1	C7	Fbxl16
Cacybp	Osbpl6	Scai	Cd48	Cox7c
Sema3a	Tenm2	Mbp	Acrbp	Rpl7a
Smarce1	Plxna4	Mpzl2	AA387883	Sphkap
Plec	Dbi	Tomm70a	Nradd	Nav2
Ptbp2	Psme1	Sestd1	Spag17	Snap47
Khdrbs3	Ost4	Zmat2	Gm20139	Phyh
Acsl4	Slc7a14	Arap2	Klra2	Rprd2
Trim23	Idh3b	Srp54a	Gal3st1	Ubxn4
Ankrd13c	Zc3h15	Pde4d	6230400D17Rik	Tmem131
Plekhm3	Tor1aip2	Plcb4	9630001P10Rik	Arl4a
Zfp60	Cend1	Penk	Melk	Crebrf
Snx6	Ppp1r1a	Pdzd8	Sypl2	Lima1
Tagln3	Hipk2	Nktr	Slc35d2	Fut9
Atp11b	Nr4a2	Rheb	Skap1	Kmt2d
Lix1l	Stra6	Ppp2r2a	Sprr1a	Vdac2
Zfp781	Sptbn2	Ube2q1	Ccdc116	Hnrnpc
Eya2	Sar1a	Ubqln1	Slc22a21	Rpl36al
Stx4a	Rims2	Sbf2	1700007F19Rik	Trip11
Miat	Stip1	Vps13b	Dpf3	Samd4
Cacna1c	Itsn1	Abi1	Chrna3	Tceal8
Iscu	Prrx1	Pdk2	Acot4	Ppp2r1a
Srp54b	Llph	Ppp2cb	1700024B18Rik	Camk2g
Otud6b	Nid1	Sec22b	Nxph2	Clu
Cox5a	Kdm3b	Mef2d	Rbm3os	Zcchc24
Mia3	Uqcrh	Rab12	Gm4432	Vps26a
Pom121	Ep400	Slc25a5	4930563F08Rik	Ide
Cntnap2	Atp2b3	Ralyl	Lyl1	Mdh2
Zfp652	Tubb4b	Grin2b	Apobec4	Acsl3
Cpd	Gpd1l	Shank2	Mettl24	Pbx3
Zcchc14	Magee1	Dcaf5	Spata32	Gda
Far1	Unc13a	Zfc3h1	Tas1r3	Chd6
Ubp1	Cdk5r1	Pde10a	Cerkl	Actr1b
1110004F10Rik	Aff1	Kdm5a	Impa2	Zfp260
Rapgefl1	Ipo9	Prpf19	Cd86	Hspa5
Txndc17	Tmf1	Ranbp9	4933413L06Rik	Atp6v0a1
Vdac3	Hecw1	Ccdc47	Rgs9bp	Rasal2
Rabggtb	Dzip3	Sec31a	Veph1	Cped1
Dicer1	Cap1	Rnf111	Nnmt	Slc23a2
2310022B05Rik	Syn3	Cnot6l	Aurka	Jph4
Clstn2	Xpot	Disp2	Lst1	Klf13
Nbeal1	Serping1	Kcnc1	Clnk	Gap43
Pcna	Cdk19	Osbpl6	Ms4a4b	Nrgn
Cdc42se2	Gorasp2	Tenm2	Mlf1	Epha4
Cox5b	Cct2	Dbi	Pnldc1	Celsr2
Trank1	Baz2b	Psme1	Aldh3b2	Srp72
Adcy5	Psma3	Ost4	Gm15408	Ubr4
Trappc8	Cyp1b1	Slc7a14	Ccdc78	Azin1
Smap1	Slc4a8	Rnasek	Ctse	Setx
Nme1	4930470H14Rik	Idh3b	Ticrr	Hnrnph2
Insig1	Tfcp2l1	Zc3h15	H2-K2	Prrt2
Bag5	Gas5	Tor1aip2	Col22a1	Mapk3
Rps2	Brwd1	Btf3l4	Dnase1l2	Ubl3
Unc5d	Ubxn2a	Cend1	Sgk2	Rragd
Nrg3	Dcaf6	Hipk2	Oas1g	Adam23
Arid1b	H1f0	Sult4a1	Gm7008	Jmy
Terf2	Pura	Stra6	Lfng	Tmem263
Snapc5	Senp7	Sptbn2	Gsto2	Kpna4
Rbms1	Igf1r	Rims2	Ccdc142	Necap1
Csnk1g1	Usp33	Stip1	Dthd1	Fut8
Ptpn13	Rbm5	Itsn1	Ccl7	Pphln1
Fbxo45	9330159F19Rik	Prrx1	Ppp3r2	Ctxn3
Cdk7	Ppfia1	Llph	Tbx21	Nap1l5
Kndc1	Hivep3	Dynll2	5730420D15Rik	Nemf
Jak2	Wnk3	Nid1	Mmp23	Dcp2
Btaf1	Ptprg	Kdm3b	Hnf1b	Xpo7
Cyfip1	Sfr1	Uqcrh	Kcne3	Vapa
Dync2h1	Atf6	Ep400	Plxna4os1	Maf
Pdxdc1	Cir1	Atp2b3	Ccl2	Ap3s1
Rps16	Rian	Tubb4b	5930438M14Rik	Scn1a
Rbm6	Ptprt	Gpd1l	Gmnc	Prdx1
Cdc123	Tpi1	Magee1	Prx	Kdm2a
2210016L21Rik	Trim35	Wbp2	Trpv3	Ktn1
Adcy9	Ahi1	Unc13a	Gm7457	Gabarap
Fsd1l	Nrbp2	Pik3ca	Tmem150cos	Eif5a
Atrnl1	Syt7	Ipo9	Stmnd1	Elmo1
Zfp770	Ddn	Hecw1	4930488L21Rik	Hspa4l
Phlpp1	Ptprn	Dzip3	Fetub	Nmnat2
Zfp62	Cacna1b	Cap1	Sult5a1	Thoc2
Ipo11	Col1a1	Syn3	Aoah	Ybx1
Mib1	Rasgrf2	Xpot	Adam8	Eya1
Medag	Ptprs	Serping1	Msantd1	Capn2
Eif1ax	Vps54	Cdk19	Serpina9	Txnl1
Pdzd2	Samd9l	Arl6ip1	4930547E14Rik	Snap23
Brwd3	Rpl7	Gorasp2	Gm10538	Ddah1
Csmd1	Man2a2	Cct2	Slc2a5	Rbm26
Acvr2a	Mrps33	Baz2b	Abcc3	Ubn2
Arfgef2	Atp6v1g1	Psma3	Nrap	Foxo1
Smyd3	Slc2a13	Mras	Wnt3	Nhsl1
Gnptab	Errfi1	Grina	Gm16853	Ttc39b
Ubr1	Ptprj	Cyp1b1	Rab11fip4os1	Pcdh10
Dkc1	Snrnp200	Rexo2	4933432I09Rik	Pnrc1
Atl2	Dip2c	Slc4a8	4930455C13Rik	Fam171b
Zfp329	Mfap1b	4930470H14Rik	Cckar	Acp1
Anapc1	D630045J12Rik	Tfcp2l1	Nlrp10	Dtna
Rpl22	Zwint	Gpd2	Ccdc34os	Atp6v0d1
Metap1	Cops7a	Gas5	Cyp2t4	Scai
Fat1	Snx13	Brwd1	Folr2	Mbp
Rab5c	Ube2v2	Fkbp3	Gm16617	Mpzl2
Morc2a	Ptprz1	Ubxn2a	4833427F10Rik	Adi1
Clns1a	Psma4	Dcaf6	Gm7361	Tomm70a
Prdx2	Lnpep	H1f0	Gm13315	Sestd1
Cttnbp2nl	Tfg	Pura	Cer1	Zmat2
Wbp4	Cdc40	Senp7	Atp8b4	Arap2
Dctn5	Kcnv1	Igf1r	Tjp3	Srp54a
Actr1a	Ube3a	Usp33	Gdf9	Acat1
Bcl11b	Zmynd8	Rbm5	Piwil4	Plcb4
Aldh3a2	Gria4	9330159F19Rik	Slc25a54	Penk
Lrrc8a	Fbxo22	Hivep3	Sirpb1a	Pdzd8
Smim15	Bicc1	Ptprg	Lif	Nktr
Mdga2	Taf1	Sfr1	Drd3	Rheb
Srcin1	Mapk8ip3	Cir1	Esrp2	Ube2q1
Timm23	Fmo1	Map7d1	Gck	Ubqln1
Cadm1	Zfp445	Zcrb1	4833417C18Rik	Sbf2
Grin1	Thsd7a	Chd2	Gm11437	Vps13b
Rcbtb1	Ncor2	Rian	Il1a	Abi1
Acot7	Clta	Ptprt	Fbxl13	Pdk2
Epha5	Mocs2	Sst	Slc7a15	Dusp3
Zcchc2	Dock5	Tpi1	Ptafr	Ppp2cb
Sez6l	Rsu1	Trim35	Ccna1	Sec22b
Mospd1	Pikfyve	Ahi1	Acbd7	Rab12
BC005624	Efr3b	Nrbp2	Gm11517	Slc25a5
Ago3	Lrp6	5730409E04Rik	Dnajb7	Ralyl
Rufy2	Tgfb1i1	Syt7	Stmn1-rs1	Grin2b
Rraga	Tet2	Ddn	BC016579	Shank2
L2hgdh	Krr1	Cacna1b	Ttll9	Cox7a2l
Kcnd2	Samd4b	Col1a1	Tm4sf20	Dcaf5
Abca2	Snx3	Rasgrf2	Wnt1	Zfc3h1
Zswim6	Grsf1	Fam98b	Arid3c	Pde10a
Copb1	Cdo1	Kpna1	Nek5	Kdm5a
Naa60	Psmb7	Hcfc1	Ccdc42	Prpf19
Acsl6	Gfod1	Elavl4	Fam178b	Ranbp9
Pitpnm3	Sdhc	Vps54	Rdh5	Ccdc47
Dock7	Cox6a1	Man2a2	Gm19619	Rnf111
Leo1	Dcun1d1	Mrps33	Strc	Pcdh17
Lmo7	Apba1	Atp6v1g1	Pkd2l1	Cnot6l
Lrp1b	Zfp318	Slc2a13	4931403E22Rik	Disp2
Nup214	Rapgef6	Cfdp1	Insl5	Kcnc1
Gpr88	Shroom2	Snrnp200	Nlrc4	Osbpl6
Dusp26	Bpgm	Dip2c	Cndp1	Tenm2
Inf2	Gsta4	Mfap1b	Mdfi	Plxna4
Esd	Peak1	Pdcd5	Mir872	Dbi
Cnrip1	Uqcrb	D630045J12Rik	Cdh15	Psme1
Srgap2	Zfp280d	Zwint	Aqp6	Ost4
Bod1	Inpp5f	Cops7a	Acot12	Slc7a14
Nf2	Htt	Spen	E030025P04Rik	Rnasek
Atg2b	Cttnbp2	Srp14	Gm4814	Idh3b
Zfp804a	Rpl12	Snx13	Amdhd1	Zc3h15
Napa	Slc12a6	Ube2v2	Cdh24	Tor1aip2
Mid1ip1	Zdhhc17	Ptprz1	Tmem26	Cend1
Rapgef1	Pak2	Psma4	Muc5b	Ppp1r1a
Dact1	Exoc6b	Clint1	Myct1	Hipk2
Arf2	Snx4	Cflar	4932435O22Rik	Stra6
Atm	Grm5	Lnpep	4931440P22Rik	Sptbn2
Lrpprc	Hs2st1	Bex2	Scn10a	Rims2
Tet3	Nav3	Tfg	Zfp474	Stip1
Pdcd10	Fmn2	Kcnv1	Card9	Itsn1
Tab3	Chd5	Slc25a51	Gpr87	Prrx1
Gapvd1	Sh3bp5	Ube3a	Il27ra	Llph
Pdap1	Eif2s1	Ube2v1	Kif2c	Dynll2
Prrc1	Oaz2	Zmynd8	Slc5a11	Nid1
Cers6	Srp9	Rnf11	Pidd1	Kdm3b
Edem3	Rnf187	Gria4	Tmem190	Uqcrh
Scd1	Psmd7	Fbxo22	Fgf16	Ep400
Fat4	Lmtk2	Bicc1	Agr3	Atp2b3
Ankfy1	Abcf1	Taf1	Tex35	Tubb4b
Txnl4a	Ankrd46	Mapk8ip3	Snord19	Gpd1l
Atpaf1	Tnrc6a	Fmo1	Mapk13	Magee1
Zmym3	Lmbrd1	Nin	Gm20110	Wbp2
Unc79	Cnot7	Zfp445	4933417G07Rik	Unc13a
Cbfb	Cep350	Thsd7a	Ahrr	Cdk5r1
Psmb1	Asph	Ncor2	Krt18	Got2
Mtx3	Zfp462	Mocs2	Mir6414	Pik3ca
Dtd1	Prdx6	Zc3h11a	Mybpc3	Ipo9
Shprh	Zfp704	Rsu1	Gtsf1	Tmf1
Tenm4	Ift20	Pikfyve	Arl9	Hecw1
Ddhd2	Copz2	Efr3b	Ddx43	Dzip3
Reps1	Aldh5a1	Lrp6	Gm2109	Cap1
Rpl27	Anxa1	Tgfb1i1	Tmem30c	Syn3
Eml5	Alg11	Tet2	Gm12295	Xpot
Tsc1	Lrrtm2	Krr1	Klk11	Serping1
Insr	Fnbp1	Vamp4	Gm14023	Cdk19
Lrrfip1	Wdr13	Trpm3	Gm14137	Gorasp2
Mtmr4	Clcn3	Grsf1	Stac3	Cct2
Nlgn3	Dpy19l1	Cdo1	Crygs	Baz2b
Lifr	Psme3	Psmb7	Psg17	Psma3
Cox7a2	Uqcrc2	Gfod1	Pld6	Mras
Copg2	Cdh11	Sdhc	Gm15941	Grina
Dio2	Rit2	Tma7	Oit3	Cyp1b1
Itgav	Pitpnc1	Cox6a1	Mir350	Rexo2
Oxsr1	Abat	Dcun1d1	Rhox4a	Slc4a8
Prex1	St8sia1	Zfp318	Gm9895	4930470H14Rik
Pwwp2a	Ndufb5	Rapgef6	Fanca	Tfcp2l1
Dcun1d5	Nsa2	Shroom2	Mefv	Gpd2
Trappc1	Agap1	Bpgm	Mir690	Gas5
Fmnl1	Rhou	Gsta4	Ctrl	Brwd1
Lamtor5	Gabpa	C1ql3	Tulp1	Fkbp3
Rplp2	Sbds	Peak1	Xkr7	Ubxn2a
Unc13c	Psmd12	Uqcrb	A930019D19Rik	Gigyf2
Tial1	Ttc14	Inpp5f	Tpo	Dcaf6
Pfkfb2	Efhd2	Htt	Krt26	H1f0
Osgin2	Sh3bgrl3	Cttnbp2	Tm4sf5	Pura
Tomm22	Mdm2	Slc12a6	Zfp936	Senp7
Bbip1	Dennd5b	Zdhhc17	Sis	Tnrc6c
Psmd6	Colec12	Pak2	Amhr2	Igf1r
Pdcd6	Ralgps1	Exoc6b	Prr33	Usp33
Lrba	Ccndbp1	Snx4	Mir1912	Rbm5
Mzt1	Ppp1r9b	Grm5	Hsd3b5	Api5
Rpgrip1l	Sap18	Helz	Ceacam3	9330159F19Rik
Cnih3	Vps13d	Hs2st1	Loxhd1	Hivep3
