XFTU	XFRC	XFNC	XFRN
Dzip1l	Racgap1		Jak1
Rrp36	Glt8d2		Kansl2
Olfr78	Dsel		Ipo8
Kcnk2	Wnt2		Tmem108
Adamts18	Rasgrf1		Pcdhb3
Akap14	Ccdc159		Marcksl1
Ccbl2	Col18a1		Pebp1
Blmh	Col19a1		Trappc2
Zfp667	Kcnd1		Gorasp1
Igf2	Gda		Olfm2
BC018242	Lpin2		Pcdh15
Tpm1	Lrig1		Gtf2b
Megf9	Rai14		Nup210
Btbd9	Kcnk2		Fam45a
Bcat1	H2afy		Acat2
Bola1	S100a6		Lama3
Hpgds	Serpina3n		2810004N23Rik
Gpr137c	Gm19345		Bpgm
Ddx49	Fbxl4		Lrrtm2
Tmem89	Mobp		4930556N09Rik
Mpp6	Ipw		Arsa
Sipa1	Zkscan5		Nkain1
Jun	Zfp59		Mthfd1
Rtn4rl1	Eci2		Hs6st1
Gnaz	Rimbp2		Acot7
Pde7a	Zfp40		Trpc4ap
Rims1	Slc29a4		Fam129b
Spire1	Man2c1		Cd46
Slc2a3	C2cd3		Zmiz1
Zfp160	E130307A14Rik		Rasgef1b
Pllp	Cobll1		Rassf5
Bmp2	Kdm2b		Csnk1a1
Aspdh	Hnrnpd		Naa25
Samd5	Dtx3l		Lgals3bp
Hbegf	Ackr1		Adck5
Eif2s2	Arhgap18		Khsrp
Col5a2	Nupl2		Brpf1
Cdc40	Man2b1		Derl3
Sorcs3	Zfp143		Qk
Eqtn	Clstn2		Lrrn3
1110032A03Rik	Mt3		Plod2
Bend6	Akr1c14		Mcm5
Car7	St8sia2		Fhod1
Pim2	Camkv		Hars
Znfx1	Plcd3		Nek6
Med15	Syngr3		Stip1
Gnptab	Ppp1r15b		Pdzk1ip1
Nek3	Plekhh3		Psmc2
Efna1	Mier3		Fbxw7
Cwc27	Bbs12		Ecsit
Fbxl7	Ero1l		Lars2
Egln1	Bace2		Map2k3os
Cd82	Plxdc1		Ehd3
Ipw	Msantd2		Mcl1
Tiam2	B4galt2		Zadh2
Rhbdl1	Arfgap3		Rilpl2
Nos1	Wdr6		Mcph1
Ncoa4	Rtel1		Pced1b
Necab1	Slc37a3		Dusp4
9530068E07Rik	Rgl1		Pcnt
Kri1	Fam43a		Sco2
Lgi1	Efhd1		Slc24a2
Ak8	Shd		Srsf3
Zfp251	Abhd16a		Ube2i
Lrrcc1	Dact2		Idh1
Fst	Tle1		Spa17
Synpr	Usp13		Rogdi
Grem2	Itga7		Rcn3
Txndc16	Rassf5		Kctd1
Rbm12	Ndrg3		Smarcal1
Tesk1	Aph1b		Gpr153
Slc25a27	4632428N05Rik		Man1a
Adamtsl2	Rnf20		Ifitm3
Ero1lb	Zswim3		Camsap1
Rab33a	Dok5		Gm13238
Ackr1	Mettl1		Tpm2
D430019H16Rik	Bnip2		9330102E08Rik
Adrb1	Fndc9		Man2b1
Fam13c	Jam3		Lurap1l
Dusp12	Cspp1		Hypk
Dyrk2	Napb		Zfp160
Tmem2	Prdm10		Pappa2
Kctd6	Sertad1		Chchd10
Galm	Etv3		Tmem205
Cth	Scrg1		Tanc2
Asphd1	Rilpl2		Habp4
Fabp5	Hist3h2a		Fgf1
Slit1	Mfsd4		Paxip1
Vamp4	Zfp90		Rap1a
Rgag4	Golim4		Kat2a
Pcdhb17	Ankrd13c		Prrc2b
Gusb	Afap1		Mcfd2
Ostc	Ubl5		Gabbr1
Rnf19a	Dtymk		Cep89
Atp6v1b2	Aldh1b1		Tyrobp
Klhdc8a	Alg10b		Ndrg3
Pop5	Srpk1		Kpnb1
Fbxo17	Pim2		Fndc9
Pcmtd1	Mtfr1l		Krt12
Cbfb	Klhl11		Azi2
Cog5	Tnfrsf19		Fam69a
Hapln1	Mvb12b		Dnah1
Nfasc	Pde7a		Zfp825
Nufip1	Itpk1		Frmpd3
Gpld1	Htr3a		Tug1
Acaa2	Ankrd45		Acot2
Ttc7b	Aldh4a1		Snx25
1700016K19Rik	Cdk18		Bysl
AI413582	AI504432		Drd4
Gba2	Ppm1h		Slc25a44
Dgkg	Prkag2		Hivep1
Palld	Rhoc		Gm7694
Adam23	Rims1		Hmgn1
Fam110b	Herc3		AU040320
Scrg1	Bex1		Klf10
Ucma	Apaf1		Zfp68
Tmem231	Cd68		Slc16a9
Arhgap19	Eri2		9930104L06Rik
Abhd11	Golm1		Msrb2
Man2b1	Rab36		Pbrm1
6430571L13Rik	Drp2		Ptger4
Tmem209	Shroom2		Fndc1
Pir	Ctdsp1		Fam43b
Actr10	Rcbtb2		Hsd17b12
Nmral1	Hagh		Pold3
Fcho1	S100b		Slc2a3
Plekha6	Sun2		Tbl1x
Wnt9a	Pdpr		Tshz3
Dhps	Dtx1		Tubgcp6
Ryr1	Por		Srsf2
1700009P17Rik	B3gnt2		Il12a
Pih1d1	Eml3		Pnisr
Lrp11	Nedd9		Elk1
Wif1	Xkr6		Trim54
Lrg1	Onecut2		Mast2
Calcrl	Orai2		Dazl
Glt25d1	Fam114a1		Arpc2
Btbd19	Mturn		Ccr5
Rasgrp1	Krt1		1600012H06Rik
Pcsk7	Pla2g5		Mboat7
Serinc2	Hypk		Nebl
1700003P14Rik	Rab26		Fam135a
Rgs10	Ccdc57		Cul2
Mphosph10	Ppp3r1		Nf2
Arpc4	Hpcal4		Masp1
Ampd2	Rabl2		Ldlrad4
Syn1	Rasgrp1		Zfp677
Srrm4	Mmp17		Igfbp6
Ppie	Hs3st4		Cacna2d3
Sstr4	Pvrl3		Sfrp2
Stxbp6	Tspan31		Cercam
Sfxn4	Eif2s2		Btg1
Arl6ip4	Ica1		Csgalnact2
Kctd15	Tceanc2		Edem2
Sh3bp1	Dennd6b		2900011O08Rik
Colgalt2	Arl6ip4		Mapk8ip1
Dynlrb1	Kctd1		Entpd7
Exph5	Unc119b		Gpr151
Per3	Ankrd44		Sertad1
Ppp1r14a	Farp1		Ets1
Gm15663	Cep68		Srm
Nav2	Hsbp1l1		Klc4
Sertad1	Cul4a		2010300C02Rik
Erg	Smyd4		Nnmt
Rusc1	Zc3h7b		Ccdc173
Dync2li1	Meg3		Ikzf2
Panx1	Dusp1		Hecw1
Clcn5	Lgi1		Enho
Gpaa1	Vwa5b2		Iffo1
Tubb4b	Cdk2ap1		Mtmr9
Cnr1	Dnajc3		Ggact
1700001D01Rik	Rcc1		Esr1
Wdr17	Cdk5rap3		Rabep1
Rnf115	Usp54		Tesc
Ppme1	Zfp703		Dnal4
Gabrb1	Npl		Ralgapa1
Jak1	Coro2b		Chml
Orai2	Il33		Kcna3
Fgf14	Rgs17		Mrpl32
Tmem192	Casc4		Rab11a
Dnah1	Miat		Gm13139
Dusp8	Mccc2		Nipbl
Itga9	Adamts20		Mmd
Actn1	Zfp239		Pikfyve
Srpk1	Homer2		Xab2
Lcorl	Hsph1		Pcdhgc4
Haghl	Dnajb4		St6galnac2
Lrrc3b	Rfx3		Tbc1d19
Erp29	Cnpy4		Prkag2
4930452B06Rik	Hddc3		Rcc1
Cdh13	Prss22		Htr2c
Zfp536	Adck3		Nanos1
Meaf6	Ephx1		Spink10
Kdm2b	Gm1976		Slc35a4
Isoc1	Fstl5		Stxbp2
Mtfr1l	Slc7a4		Frs2
Tmem204	Amotl2		Cpne5
A730056A06Rik	P4ha1		Zwint
Gabrd	Npr2		Fam178a
Rmi1	Tgfb1		Trit1
Cdh20	Cdh9		Stxbp5
Prrc2b	Adcy8		Acta1
Gsk3b	Pttg1ip		Foxp2
Cdipt	Stx1a		Arhgef11
Gcnt2	Fam76b		Tnfrsf12a
Pus7l	Fnbp4		Rpl13a
Prima1	Zc3h8		Fastkd3
Cdyl2	Hdac11		B230219D22Rik
Inf2	Fam162a		Capn3
Whrn	Armc5		Xpc
Slc26a8	Fezf2		Usp49
Dtx4	Mgat4a		Aard
Pde2a	Adnp2		Nrbp2
Wdr6	Atg4a		Dixdc1
Prss22	Dera		Lgi4
Arhgap6	Sccpdh		Bop1
Pttg1ip	Fzd2		Gm16630
Lipa	Fndc1		Txnl1
Bdnf	Acy1		Zfyve19
Col18a1	Tmem106c		Hist2h2aa2
Ppp4r1	AI593442		Sf3b5
Lpl	Camk2a		Ksr1
Sap30l	Slc25a17		Mrps10
Pias2	Ptgs1		Acox1
Shf	Sorcs3		Ankib1
Ubl5	Smyd2		Bok
Ssbp3	Nav2		8430419L09Rik
Nov	Bahcc1		Naga
6430548M08Rik	Rasd2		Tha1
Hnrnpc	D8Ertd82e		Dram2
BC030499	Kcnk4		Ppp2r2c
Cdkn2aip	Syf2		Mrpl28
Slc7a4	Rgs16		Inhba
Ndrg3	Atp10a		Rgs2
Gm13308	Pofut2		Dgkd
N4bp3	Epha10		Parp12
Fam3c	Zdhhc8		L3hypdh
Cnksr3	Enpep		Eif4g3
Dlg5	Plekho1		Zfp59
Sv2b	Ppp1r3e		Ube2o
Mafb	Lonrf2		Nt5dc3
Slc16a10	Slc12a2		Zdhhc21
Tmem40	Zdhhc22		2410016O06Rik
Cdh9	Tbl1xr1		Gnl1
Sec23b	Usp48		Itgb1bp1
D16Ertd472e	Tgfb1i1		Nlrx1
Hgsnat	Nppc		Ptprt
Asah2	Uchl1		Ufsp2
Pltp	Gdpd5		Crkl
Hdac4	Mtfp1		Ogfod1
Hexim2	Khdrbs3		Qpctl
Gad2	Ncbp2		Naa16
Vmp1	Neil1		Htr1f
Ndufaf6	Mtus2		Ppib
Tmem132a	Bmp4		Trim3
Acot8	Vamp3		Taf7
Tek	Glrx		Eya4
Csf3r	Arhgap19		Aspg
Utp23	Nell2		Ipo5
Rasgrf1	Cpne9		Carm1
Trio	Adamtsl2		Erc2
Pknox1	Epha7		Larp1
Kcnk6	Snx18		Txndc15
Itga4	2010107G23Rik		Klhl40
Zfand1	D630045J12Rik		Ccdc149
Echdc2	Rsph3a		Ntn4
Pgbd5	Fam132a		Rnf185
Plcd3	2610301B20Rik		Ctsf
Krt1	Ucp2		Pola2
Tbc1d1	Ecel1		Mbnl2
Nucb2	Hsp90ab1		Ecel1
Apbb1	Efna1		Ubr2
Ggt1	Pgbd5		Capzb
Ccdc71l	Gtdc1		Il17ra
Rasl10b	Acrbp		Col23a1
Mcm6	Ptk2		Akr1c18
Nup214	Arhgap32		Stradb
Flt1	Gsg1l		Dgcr2
Smyd2	Ptprf		Fmn1
Uhrf2	Rbm5		Mettl7a1
Mpped2	Srxn1		Smarca2
Zwint	Snap91		Bend6
Nprl2	Naa10		Ccnd1
Dnaja4	Fbxw17		Dhx33
Rbm28	Hbp1		Zcchc17
Kras	Dyrk3		Pum1
Slc29a4	Stx3		Col4a1
Wnk2	Col3a1		Kmt2e
Nppc	Cthrc1		Zfp281
Gpc5	Abcc8		Spag9
Zfand4	Txnl4b		Cdh22
Fn3k	Stk24		Atad3a
Emc3	Asah2		Pdyn
Adcy8	Kcnt1		Gpr88
Sertad3	Pid1		Clk4
Lair1	Fbxw2		Cald1
Btbd10	Lingo3		Cstb
Lipg	Snrnp70		Mir1949
Wdr34	Gsta4		P2ry13
Otop2	Nkain4		Cebpg
Tubb5	Slc16a9		Fam58b
Cdkn1c	Agmat		Endod1
Gkap1	Nudt5		Tmie
Lrrc4c	Dock5		Necap1
Spred1	Tpm1		Sh2d5
Pex3	Il17rd		Krcc1
Hexa	Gabrd		Igfbp7
Med30	Ugt8a		Coq10b
Zmynd10	Zmiz1		Lsm11
Phlpp1	Usp45		Pgpep1
Rab1b	Plk4		Mbd1
2610001J05Rik	Ppp2r5c		Fxyd7
Bap1	Clec18a		Hrh3
Fat1	Prtg		Med23
Ddx18	Nucb2		Itsn2
Shisa4	Efcab6		Acsbg1
Unc119b	Akap5		Tspan14
Smpdl3b	Efhc2		Dpy19l3
Ap4s1	Sh3yl1		Bean1
Slitrk1	Mak		Gse1
Smoc2	Fam111a		Ccser1
Cenpw	Acvr1		Akr1b10
Vwa5b2	Mrpl35		Zfp182
Myom3	Foxo3		Herpud2
Fhl2	Scn4b		Ero1l
Raf1	Ncam2		Gphn
Lrrc38	Panx1		1190002N15Rik
D130043K22Rik	Fndc3a		Nomo1
Prr16	Rbm46		D430019H16Rik
P2rx4	Lrp11		Dnajc6
Olig2	Lin7b		Tmed9
Pde5a	Mettl16		Bpifb1
Gpr116	Ppme1		Dyrk2
2210013O21Rik	Snrpg		Atrn
Plk4	Cotl1		Adcy7
Prtn3	Raph1		Eif2b5
Fes	Synpr		U2af2
Zc3h12c	Nt5c2		Melk
Pcbp4	Dpm1		Ppme1
Ccdc58	C1ql3		Ubtd1
Smyd4	Nt5e		Gm5141
Dnajb4	Tmem87a		Emc1
Raph1	Pamr1		Gngt2
Hps6	Dusp7		Cry2
Mtus2	Tcfl5		Nudt7
Rnf219	Zkscan6		Smpd4
Psmf1	Zfp84		Plin2
Adam10	S1pr5		Kifc5b
Prkcb	Enpp2		Zgpat
Agmat	Iglon5		Dach1
Mob3c	Cops7b		Iqcb1
Slc9a9	Dbnl		Emc6
Drap1	Foxred1		Zfp689
Slc16a9	Ctsk		Gnb4
Cend1	Smad3		Ssbp3
Cotl1	Rbx1		Gadd45b
Mum1l1	Susd2		Kif12
Jph1	Emc3		Wdr7
Lifr	Dpy19l1		C1d
Golm1	Cenpk		Atoh7
Gpcpd1	BC021891		Ccdc77
Bhlhe22	Abhd8		Mysm1
A330050F15Rik	2610001J05Rik		Pdk3
Pqlc3	Cyp1b1		Dock9
Hivep3	Car14		March5
Acy1	Kcnip3		Med25
H2-Ke6	Cxcr4		Gdi2
Pycr1	Tspan5		Ache
2610018G03Rik	Sema3g		Cxcr4
Phxr4	BC022687		Slc5a3
Zfp882	Spidr		Ankrd63
Igfbp5	Hpgds		Phf6
Myh14	Klhl28		Tcf12
1700047M11Rik	Acot2		Tcf4
Ecel1	Tmem223		Skil
Lrrc75a	Scg3		Mknk1
Flrt1	Utp23		Atp6v0d1
Ndnf	Tmem74		Kdm1b
Pdia6	Hnrnpll		Hax1
Sipa1l3	Map3k8		Plcl2
Fbxo7	Ppp1r14a		Cwc27
Fmn1	Txn1		Mllt11
Gpr12	Sel1l		Nptx2
Gmnn	Stip1		Serpinf1
Fnbp4	Nod1		Zfx
Slc6a6	Zranb3		Sorcs3
Clic5	Spire1		Ecd
Bbs12	Tenm4		Atxn1l
Abcc8	Mllt11		Evi2a
Nipal2	Ppp4r2		Slc38a10
2610028H24Rik	Gadd45a		Akirin1
Tnfrsf25	Fancm		Pygb
Cep85	Epas1		C1ql3
Rrbp1	Gkap1		Sec61a2
Mcf2l	Pknox2		Gprasp1
1700007K13Rik	Ahi1		Tfeb
Cited4	Sirt3		Doc2a
Bst2	Coro1a		Bcl2l12
Cdt1	Fbxo45		Trib2
Tvp23a	Cr1l		Rabl2
Kcnn2	Smyd3		Rrp36
Adrbk2	Ankrd35		Pdcd4
Smad3	Nln		Asphd2
Polr3c	Fosl2		N4bp3
Mboat7	Tmem218		Gm14137
2700038G22Rik	Ccdc107		Slc20a1
Pin1	Srrm1		Acot3
Lpin2	Mvb12a		Dhrs1
E130012A19Rik	Fzd1		AI504432
Gm15706	Rfx7		Trim35
Slc51b	Rfc3		Ssr1
Cacnb3	Fgf14		Cyb5a
Dnajc5	E130012A19Rik		Tk2
Nudt5	Wdr45		Lysmd2
Syt13	Setd1b		Dalrd3
Gmpr	Pvr		1810026B05Rik
Rerg	Nagpa		BC003965
Fam43a	Slc6a6		Kpna2
Cst3	Phf7		Atf7
Cutc	Tek		Slc35e2
Lman2l	Tfam		Sostdc1
Uck2	1300002E11Rik		Opalin
Cyp1b1	Ptpru		Plekhg5
Bcor	Pcsk7		Usp22
Casz1	Hes5		Rdh9
Hmgcs1	Grem2		Cntn2
Mt3	Arhgef16		Oser1
Fzd2	Kif1c		Aig1
Cyyr1	1110002L01Rik		Wdr60
Jup	BC026585		Mbd4
Tlr7	Efna5		Slc25a46
S100a6	Zfp423		Wscd2
Med7	Wisp1		Plat
Mapkapk2	Oxsr1		Snap47
Rab13	Crebbp		Chgb
Ctc1	Slc39a10		Apbb1
Rsph3a	Sco1		Mocos
Wdsub1	Flnc		9230104L09Rik
Ucp2	Hist2h2be		BC029214
Trim2	Cdca8		Rfx7
Micall1	Sipa1l3		Msh3
Nedd9	Fam129b		Nme6
Zfp839	Antxr1		Pts
Osbp2	March11		Lpin1
Rrnad1	Man2a2		Nsun4
Nav3	Cyb5d1		Npy1r
Gpr176	AI413582		Trappc8
Mms19	Tmem30a		Trpc5
Fem1b	H2-Ke6		Reln
Oxr1	Bche		Robo2
9330102E08Rik	Ngb		Phactr2
Cttnbp2	Zfp839		Xxylt1
Ak5	Sox1		G6pdx
Cxadr	Tmem132e		Nedd9
Glra2	Stat4		Pear1
Myl1	Pus3		Mtmr2
Sh3rf1	Gstt1		Serhl
Chkb	Fuca2		Meaf6
Ptpro	Vgll4		Usp39
Cnpy4	Mycl		Mtdh
Ghr	Dhps		Mlip
Tmf1	Herc1		Dhtkd1
Dtx1	Krt12		Sorbs1
Slc20a1	Zer1		Tstd1
Tsnax	Vip		Dcaf7
Edil3	U2surp		4933432I03Rik
Plcb3	Lamp5		Aoc3
Skor1	Cpne1		Arl16
Irf8	Plat		Mycn
9330179D12Rik	Ipo9		Clmp
Epb4.1	Acot1		Celsr2
Brd2	Tac1		Pla2g15
Prickle2	Sap30		Ociad1
Zfp281	Mcu		Trmt1l
Slc4a11	Mcf2l		Prosc
Mirg	Sgk3		Ebpl
Pms2	Egln1		Amph
Atg4c	Lrrc45		Crhbp
Crlf3	Emp1		Snapc3
E2f1	Gm12371		Fyco1
Hsp90b1	Sept4		Hspa2
Marcksl1	Ddit4l		Elovl2
Setd2	Twsg1		Cyp2d22
Pfdn4	A2m		Cth
Chrm3	Nkain1		Memo1
Baiap2	1110008P14Rik		Mcat
Mlc1	Tbc1d24		Acot1
Plcxd1	Rhbdl1		Pigyl
Sorl1	Rin1		2610507B11Rik
Alkbh7	Zyg11b		Pid1
Isy1	Rhbdl2		Lmcd1
Dusp1	Ypel2		Isg20l2
Pla2g6	Padi2		Arhgef2
Zfp637	Myrip		Cbx6
9030617O03Rik	Synj2		Npepps
Tbk1	Mgat3		Senp7
C1qa	Cyb5r3		Tram1
Arhgap20	Stk32a		N6amt2
Cyfip2	Creb1		Osbpl2
Stox1	Mfap2		Gss
Slit2	Mms19		Vdac1
Nacc2	Gpr45		Me1
Slc39a10	Zfp672		Vnn1
B3gnt2	1600023N17Rik		Tenm4
Hdac10	Csrp2bp		Adora2b
Vps35	Abcc1		Rnf8
Runx2	Zfp148		3110079O15Rik
Dusp18	Ccdc74a		Tubb5
Slc1a6	Pvalb		Gpatch2
Ubr4	Prrc2b		Adat2
Spint2	Klhl13		Crip1
Jdp2	Ap4s1		Arsj
Sypl	Fam19a2		4930506M07Rik
Homer2	Pard6g		Abcb6
Gm17597	Hn1l		Runx1
Ago2	Rreb1		Vcp
Fam198b	4833422C13Rik		Snapc1
Dkc1	Ccnd2		Ephb6
Lamp5	C1ql1		Kcnip3
Stk38	Grpr		Rptor
Tmem178b	Tle4		Arfgef1
Ttc8	Ptdss2		Gm20362
Rapgef5	Krba1		Epha10
Dennd6b	Ksr2		Cmip
Umps	Cbx6		Ndufs8
Naa25	Ache		A2m
Tfam	Hdgfrp3		Lyrm5
Ccdc116	Pfkfb4		Pafah1b3
Nr4a3	Tor1aip2		Rdh14
Pcolce2	Ip6k2		Tbc1d31
Htra4	Nfat5		Fads3
Trim67	Opa1		Uhmk1
Wnt10a	Slc8a3		AU022751
Hhip	Sdk2		Fam216a
Smyd3	Sfxn4		Med28
Slc6a17	Stxbp6		Sf3b4
Fras1	Slc16a1		Gpc6
Fam104a	Drd4		
Pdia4	Atmin		
Deptor	Lgals3bp		
Rnf128	Rtn4rl1		
Aph1b	Gm166		
Ypel2	Kcnh3		
Coq4	Rtn4		
Vwa5a	Cobl		
Stat2	Tmem40		
Gga2	Colec12		
Afap1l1	Tada1		
Ublcp1	Vamp4		
Fam111a	Zbtb21		
1110037F02Rik	Sox5		
B3glct	Fam174b		
Ephx1	Adamts16		
Mrpl3	Appl2		
Pknox2	Shf		
Myt1l	Rrp8		
Ufsp1	Kcnh7		
2310067B10Rik	LOC101056236		
Col5a3	Ccdc71l		
Mapkap1	Slc12a7		
Pvalb	Rras		
Ccdc25	Dennd4c		
Lonrf3	Pcid2		
Efhd2	Zfp503		
Nodal	Itpka		
Ppp1r12a	Gm9866		
Riiad1	Nov		
Srcrb4d	Gab2		
Skil	Ccdc22		
Cyth3	Sec14l2		
Dmrtc1a	Rin3		
Crhr1	Rpap2		
Osbpl1a	Myh9		
Ntsr1	Pex14		
Lrrc57	Vav2		
Nrbp2	Setd8		
Usp13	Zfp248		
Alyref	Kcnmb2		
Trrap	Ppp1r18		
Grhpr	Gstm7		
Ephx4	Synm		
Cd6	Mrps2		
Arsg	Ttc39a		
B3gnt8	Rps6ka5		
Fam217b	2310014L17Rik		
Arl15	Tmem163		
Hspa1a	Mllt4		
Dnajb5	Pdia6		
Unc5d	Zc3h12c		
Rabgap1l	Noxred1		
Slc9a3r1	Necab1		
Kdm4b	6430571L13Rik		
Zfp128	Tenc1		
M6pr	Btbd1		
Coro1c	Ncan		
Ddc	Agap1		
Ccdc64	Mcee		
Rnf32	Mkks		
Opa1	Capn6		
Gdi2	Gaa		
Usp28	Rhou		
Med12l	Scn11a		
Wnt2	Rpp40		
Mettl7a1	Tvp23a		
Arhgef16	Trim8		
Adprm	Nt5c3		
Slc39a12	Snca		
Adcy3	Dcbld2		
Zfp503	Pcdhb17		
Ctsd	0610031J06Rik		
Sh3bgrl3	Fgf13		
Mical3	H3f3a		
Ofd1	Cdk19		
Hnrnpll	Prss12		
Lancl3	Lypd6		
Clasp1	Psmb8		
Usp54	Wdfy4		
Vwa1	Derl2		
Nkain1	Rad18		
Fam229b	Ttc9b		
Spidr	Dynlrb1		
Rspo2	Nudt3		
Atp5s	Apbb1		
Npl	Frmd5		
Kif6	Lrrtm1		
Lmtk2	Fbxo17		
C2cd3	Arl4c		
Erlec1	Rapgef3		
Rlf	Lbr		
Mettl4	Agbl3		
Cpne8	Adcy7		
Oxsr1	Nek9		
Tada2a	Rpa3		
Bag3	Nqo2		
Cdk2ap1	Chordc1		
Il1rapl1	Sst		
Slc25a42	Stag1		
Stmn3	C2cd2		
Lins	Mppe1		
BC022687	Pnoc		
Ccpg1	2810403D21Rik		
Ttc12	Dgcr8		
Otof	Tspan4		
Tmsb10	Fam3c		
Rab4b	Fbxl7		
Mettl16	Neu2		
Klf5	Dock10		
Ica1	Btf3		
Wnt7b	Arl1		
Akr1b8	Snapc1		
Pfkl	Pih1d1		
Ift27	Thbs3		
Alkbh6	Gmfb		
Ulk1	Col27a1		
Mgat4a	Bai1		
Gstt1	Ppp1r14c		
Naf1	Sox7		
Stradb	Gimap6		
Camkv	Slc22a15		
Bloc1s5	Mboat7		
Acot2	Ptgr1		
Taf1d	Tanc1		
Rnf19b	Pdlim2		
Mfap2	Rerg		
Abtb1	Sparc		
S100a16	Kmt2b		
Kcnip2	Gpn3		
Ppp1r14c	Gpr25		
Cntln	Rps6ka6		
Flt4	Sema3e		
Ctnnbl1	Klf5		
Itfg3	Rab35		
Cbs	Orc2		
Gabra3	Necab3		
Nsa2	Setd2		
Cdca8	Icosl		
Qrfpr	Jdp2		
Snx5	Adamts18		
Rtn4	BC048546		
Ctss	Drap1		
Clip3	Surf1		
Med10	Me1		
Zfp296	Vcam1		
Heatr6	Cdh13		
Col27a1	Ret		
Sclt1	Zfp963		
C87436	Relb		
Napb	Slc41a1		
Syt9	Gpcpd1		
D630045J12Rik	C330007P06Rik		
Map4k5	Phldb1		
Ap2m1	Flrt1		
6820431F20Rik	Sec61a2		
Camk1g	Mtm1		
AW112010	Mtg1		
Col9a3	Fam160b1		
Psmd13	Sh3bp1		
Parvg	Rgs19		
Gne	Ttc39c		
Plekho1	Plekha5		
Kcnh3	Atxn7l2		
Dnajb1	Muc13		
Aspscr1	Tbc1d19		
D130020L05Rik	Rb1cc1		
Chrm1	Fhod3		
Diap1	Spred2		
Pard6g	Arsg		
Zdhhc13	Nudt16		
Tram1	Tmem184b		
Sgms2	Tusc3		
Slc12a7	Ubr4		
Vipr1	Srsf5		
Ache	Tmem248		
Ccnf	Coro1c		
Pabpc1	Nucb1		
Rpa3	9430020K01Rik		
Pcdhb2	Med7		
Cxcr4	Klf10		
Gpr3	Gmnn		
1110008P14Rik	Mbp		
Stard3	Pcmt1		
Nupr1	Osbp2		
Itga10	Rap1gap2		
Gadd45a	Ptp4a3		
Khnyn	Rspo1		
Rspo1	Tmem198		
Pm20d1	Tmem194		
Zkscan5	Golt1b		
Slc16a7	Fam196a		
Dbnl	Lrrfip2		
Ccdc141	Nr4a2		
Dnajc6	Fmn1		
Trank1	Zfp783		
Slmo1	Spag5		
Mapk11	Exph5		
Stx1a	Supv3l1		
Clcn2	Pcgf5		
Dnajc13	Gspt2		
Slc4a10	Rab33a		
Tmem97	Arl5b		
Gm9866	Cdh20		
Hexdc	Stk38l		
Arpp21	Igfbp5		
Bcl7c	Sept11		
Aldh1a1	Mmgt2		
Dock3	Iqsec3		
Rpn2	Scn3b		
Herc3	Pdzrn3		
Lphn1	Zdhhc18		
Drd4	Tecpr2		
Clock	B4galt6		
Katnb1	Fbxo18		
Hypk	Zbtb22		
Eif3c	Ogn		
Enho	Wfdc1		
Pdss1	Fes		
Glrx2	St3gal6		
Tbce	Gpaa1		
Thoc6	Atxn1		
Tmod1	Cdh7		
Hspa12a	Fus		
Fgf13	Xrn2		
Tmem238	Cpne7		
Lrrc48	Chd1l		
Serpina1b	Sgpp2		
Tmem91	Senp8		
Polr3e	Atp8a2		
Calr	Tmed1		
Nudt4	Kremen1		
Lingo1	Rasal2		
Uvssa	Cntrob		
Vat1l	Lrig2		
Gtl3	Cep85		
Sel1l3	Kcnq4		
Rnd2	Fgd4		
Rdh5	Ctsd		
Nme5	Txndc16		
A430108G06Rik	Atp5s		
Reep2	Tspan13		
Ippk	A830082K12Rik /// A830082K12Rik		
Arsk	Flrt2		
Metrnl	D430020J02Rik		
Lactb2	Loxl1		
Fam63a	Lins		
Ier3	Eif3c		
Kremen1	Anapc7		
Lypd6b	Plcxd1		
Dlgap2	Bcat1		
Celf4	Map9		
Ice2	Trpc5		
Fgd2	Hapln1		
Vav3	Paqr8		
Plgrkt	Pim3		
Fam160b1	Wdr34		
Clk1	Rcan1		
Mea1	Gtl3		
Resp18	Skil		
Itpka	Ccser2		
Ecd	Clic5		
Nrep	Omg		
Mkl2	9430041J12Rik		
Ydjc	Mid1		
Pcdhb15	Lss		
Gaa	Col4a6		
Ddx3y	Hlf		
Tspan14	Kit		
Clec18a	Prkab2		
Ddb1	Igfbp7		
Rhoa	Ppargc1b		
Fah	Sdr39u1		
Msmo1	Dnajc13		
Fundc2	Hnrnph3		
Rnf144a	Lix1l		
Hrh1	Deptor		
Zdhhc23	Fam217b		
Bnip1	Slc25a27		
Slc6a20a	Nfasc		
Cbx6	Zadh2		
Pkn2	Ago4		
Olfml1	Ctsz		
Ccdc51	Skor1		
Mink1	Ptpn3		
Tlk1	Lama3		
Mrap2	Rrp36		
Mid1	Jmjd4		
Cgref1	Meaf6		
Glt8d2	Frrs1l		
Ldha	Fabp5		
Mst1r	Zdbf2		
1300002E11Rik	Gabrg1		
Pcdh17	Tbc1d2		
Oprk1	Ctbs		
Tpcn1	Sall3		
Hipk3	Tbc1d1		
Rnf207	Cfl1		
Rbm4b	Plekha6		
Esyt3	Adra2a		
Klf14			
Nfkbib			
Il18bp			
Gm14204			
Necab3			
Ift20			
Sco2			
Fam76b			
Tmem215			
Aqp11			
Smim12			
Ccdc166			
Agtrap			
Slc38a1			
Osgin1			
Gucy1a3			
Zfp286			
Ptprf			
Ppm1a			
