XFTU	XFRC	XFNC	XFRN
Rhbdl3	Lrrc61	2210013O21Rik	6820431F20Rik
Sdk2	Hn1	Syce2	Gars
Ksr2	Olfml3	Moxd1	Zfp809
Tmem151b	Npy	Cdr2	Gp1bb
Trip10	Lurap1	Pqlc2	Wipf3
Rnf144b	Mief2	Lysmd4	Kif17
Lrfn2	Asphd1	Thbs3	Ackr1
Plxdc1	Adamts2	Itih3	Zfp664
Lypd1	Lmo1	Cnot11	Rps6ka6
Tcof1	Klf15	Rnd1	Lsm14a
Abi3bp	Wfs1	Naa15	Pik3r6
Zmiz1	Nmral1	Gpr133	Rbp1
Ifitm10	Lipe	Ankrd16	Dpm3
Nudt18	Arf2	Igdcc3	Necab2
Sytl2	Aspa	Dusp28	Plxdc1
Plch1	Hsd17b10	Utp15	Grhl2
Mmp17	Fxyd7	Fhad1	Ube2e3
Slc11a1	Vwa1	Gzf1	D16Ertd472e
Slco1a4	Dpm3	Kcnj8	Prkce
Crtac1	Cacna1g	Sun1	Wdr45b
Fhdc1	Top1mt	Alg8	Gtf3c3
Aspa	Lrp8	Ccdc32	Ubr7
Sat1	Usp3	Enox2	Hdac3
Rab27a	Ndrg1	Rbm19	Herc6
Cacna1g	Abcg2	Cenpt	Ndufs5
Prrt3	Podxl2	Il1rl2	Sptlc2
Selo	Prkcdbp	Traf2	Kcnab1
Sirt3	Pcdh8	Hltf	Fbxl6
Sox17	Slc9a8	Cops2	Rpap1
Csrp2bp	Ngef	4930452B06Rik	Mmp17
Fam126b	Macrod2	Neu2	Zfp931
Clstn2	C1ra	Ets1	Stac2
Tspan5	Zfp651	Ppp4r1l-ps	Srxn1
Kcnq2	Rrp12	Arfip1	Zfp458
Medag	Arl15	Pigyl	Ptpru
Ttc27	Dcaf17	Gpatch1	Zfp868
Il1r1	Eif4a1	Lpcat3	Sema4a
Jade1	Disp2	Sdhaf1	Nxph3
Thbs3	Fst	Tead1	Ttll5
Chst11	Lipa	Mmp11	St8sia3
Herc1	Lphn2	Armc10	Rnf6
Coro7	Cflar	Pcsk1	Tubd1
Efr3b	Myo1b	C630043F03Rik	Ttc39c
Cyb5r1	Plk5	Ranbp10	Gmfb
AI504432	Sgsm1	Pcsk6	Megf11
Arhgef7	Rab3b	Atrnl1	Whsc1
Pdk1	Kcnq2	Snrpe	Slc4a10
Frzb	Uck2	1110008L16Rik	Acbd7
D430041D05Rik	Cldn11	Noc2l	Zfp788
Cirbp	Ppp1r3c	Emx2	Pcdhb9
Zfp239	Inhbb	Jazf1	Kazn
Adcy9	Fam13c	Myo9b	Pttg1ip
Ehd3	Cbln2	Ifrd1	Uap1
Chgb	5031439G07Rik	Anks1	Arpp21
2810049E08Rik	Nkain2	Sorbs2	Dym
Tunar	Mdn1	Mettl9	Tmem64
Rasgef1b	Cirbp	Zfp938	Urgcp
Cldn11	Masp1	Cdk4	Tapt1
Olig1	Noa1	Acbd7	Akr1c14
Adcyap1r1	Dicer1	Sass6	Psma2
Lrp8	Prr15	Rrp8	Gcnt2
Bdh1	Kif13a	Pcdhb22	Usp13
Stmn4	Adam19	Ldlr	Ifitm10
Esr1	Ier5	Zfp341	Itpr2
Sh2b2	Cntnap2	0610012G03Rik	Msl2
Hhatl	Ramp3	Rdh11	Etnk1
Shroom2	Rasgef1b	Xpc	Ccdc167
Clmn	Frmd4a	Rgs4	Wnt2
Ankrd63	Adrbk2	Mrps31	Mad2l1
Gdpd5	Anxa4	Thoc6	Klhl22
Lmo1	Ovol2	Grhl2	Sptb
Insig1	Myh14	Slc39a14	Ppcs
Ngef	Timm21	Gpc6	Gclc
Opalin	Cyb561	Ciart	Slc35f6
Sidt1	Tmem117	Col6a2	Psen2
B9d2	Ptpn5	Osbpl10	Slc26a4
Ttc39c	Trnt1	Gemin8	Ube2a
Erf	Igfbp4	H2afj	Dtx1
Alg1	Sorl1	Lpar6	Slc7a6
Trib2	Prss23	Pdgfrb	Cbl
Phlda3	Cort	Adamts2	Sccpdh
Zfp810	Timp2	Katnal2	Lrp11
Bex4	Sgtb	Vac14	Angptl4
5031439G07Rik	Kctd15	Rem2	Bdnf
Cnp	Sh2b2	Mycl	Ufc1
Spaca6	Slc6a8	Cdk20	St7l
Tmem176a	Asb11	Fam60a	Trnp1
Gm1976	Adrb3	Ism1	Hnrnph1
Slc5a3	Poc5	Rgs8	Supt3
Abcg2	Plekha7	Zfp160	Prmt10
Dpm3	Arhgef26	Pcdhb9	Ggt7
Jam2	Col5a3	Zfp472	Wnt5a
Man2c1	Nefh	Ehd3	Kcnip2
Zfr	Fam126b	Sox4	Lysmd3
Myo1b	Vps37d	Rchy1	Sap30
Amph	Prmt3	A430033K04Rik	Pknox2
Prkcdbp	Npy1r	Cdkn2c	Pi4ka
Fnbp1l	Esrra	Ccsap	Lasp1
Tmem165	Rgs12	Nop2	Dennd6a
Mkx	Kras	Cbx4	Amacr
Mef2a	Slmo1	Sh3d19	Smyd3
Kalrn	Serpinf1	Zfp449	Ctsh
Olfml3	1700047M11Rik	Mks1	Cxadr
Slc35a4	Robo3	Tmed9	Cnot6
Napa	Pbx1	Adra1b	Scn2a1
Arhgef26	Selo	Eef2k	Irf1
Uchl1	Ift81	Eif4ebp2	Slc35b4
Fbxl4	Upp1	Wscd1	Pdk1
Ankrd24	Ube2e3	Lmo3	Otub2
Man2a1	Slc7a14	Gadd45g	Mif
Fdft1	Kcnj9	Fam198b	Afap1
Kcnh7	Rapgef4	Celsr1	Vip
Rnf38	Coro7	Col9a3	Gpr125
Prkag2	Ufsp1	Inpp5a	Zfp383
Mmrn2	Tsnax	Lrg1	Fezf2
Fam65b	Phactr3	Fam160a1	Mrpl46
Rrp12	Tbc1d9b	Sec22a	Snx32
Arf2	Pde5a	Akip1	Ddx3x
Mppe1	Olig1	Lman2	Efhd1
Hsd17b10	BC030499	Klhl42	Spns2
Kcnip3	Camk4	Cask	Rasl10a
Dcbld2	Phf21b	Them4	Cyfip1
Dennd4c	Echdc2	Hmgcs1	Pno1
St8sia5	Itgb3bp	Rhbdl3	Slc10a7
Kcnj3	Tunar	Rnpep	Klhl25
Gkn3	Pyurf	Parp8	3632454L22Rik
Itsn2	Chgb	Lrfn1	Nudt8
Per1	Dnaja4	Panct2	Pcyt1a
Safb2	Nxph3	Rcan1	Kctd4
Trnp1	Spint2	Vangl1	Prss23
Rab35	Mcm6	Rmnd1	Fam155a
Zbtb22	Tmem2	Knop1	Afg3l2
Rpa2	Dbp	Rgs14	Mpi
Lurap1	Vgf	Pigp	Efcab6
Arhgap32	Crym	Cnih4	4930503L19Rik
Enc1	Kcnmb4	Sptlc2	Ppp4r2
Dpm1	Met	B230216N24Rik	Neurl1b
Rreb1	Bag1	Icam2	St8sia5
Scd1	Bag2	Taf15	Dyrk3
Pvrl3	Slc27a2	Gnpda1	Scaf1
Zdhhc8	Slc2a6	Mei4	Drg1
Padi2	Cyp11a1	Tada2b	Il18
Hunk	Cutc	R3hcc1l	Foxp1
Mog	Rgs2	Bhmt2	Emc2
Pde7b	Tpgs2	Sorl1	Trappc3
Mobp	Tmem165	Adamts3	Ccni
Ptp4a3	Nr1d2	Srrm3	Camk1d
Akr1c14	Glra2	Enkur	Zbed5
Pomgnt1	Cxcl12	Gmds	Hck
Trp53bp1	Cdc42ep3	Psg16	Ak5
Ppp1r3c	Inpp5f	Surf6	Epdr1
Kitl	Acaa1b	Lacc1	Tle4
Gstm7	Sec14l1	Fat3	Dcbld2
Moxd1	Sun1	Pttg1	Abca3
Ccrn4l	Epb4.1	Cyb561d1	Sftpc
Fbxo18	Fam101a	Cdh8	Gaa
Dhodh	Irf8	Dzip1l	Atf6
Map3k10	Mpv17	Prmt1	Fbxl14
Tac1	Col1a1	Ccdc166	Hapln2
Gpr25	Sh3d19	Tnik	Lhfp
Slc7a10	Spata7	Trip13	Nat9
Atp8a1	Serinc2	Arhgdib	Nwd2
2010300C02Rik	6330403K07Rik	Necab3	4930570G19Rik
2810410L24Rik	Pomgnt1	Spa17	Ccrn4l
Lsm12	Cd34	Slc37a3	Pdpr
Zfyve28	Akna	Slc35f6	Pla2g4e
Gpr68	Sema3a	Katna1	Kri1
Rab40b	Sft2d3	Ttc33	Dtd1
Omg	Gpr68	Dcbld2	Cacna2d2
Cobl	Rbfox1	Abcb10	Nav1
Upp1	Pik3r6	Mir22hg	Ppp2r5a
Poc5	Trib2	Sike1	Abhd12
St8sia2	Irf1	Strn3	Arrb1
Rgs2	Ppp1r1b	Mcm3	Tmem164
Srxn1	Wnt9a	Rai2	Katnal2
Sel1l	Gcnt2	Ndst3	Gps1
Rcan1	Zfp362	Supt3	Lman1
Ptgs1	Avpi1	Dmxl1	Fam13c
Fam98c	Arhgap27	Comtd1	Nans
Nfatc3	Gatm	Zfp423	Nfasc
Anxa4	Zfp46	Rgs3	Magohb
Lhfp	Stk40	Tmco6	Pip4k2c
Cdo1	Amph	Emp2	Elavl2
Sulf1	Slc4a10	Trmu	Acaa1b
Gde1	Tmem200a	Map6d1	Gprin3
Prmt3	Wnt10a	Tapt1	Glrx2
Chd1l	1700008J07Rik	Sox5	Napb
Phf7	Zfp938	Pou3f4	Nckap1
Plp1	Celsr2	Gprin3	Ppt2
Atf6	Ehd3	Fank1	Vps35
Prpf38b	Cyb5r1	Elac2	Mtfp1
Cflar	Lhfp	Gm6787	Ern1
Nrp1	Galt	Sco2	Prelp
Ppp1r1b	Nr1d1	Sox17	Zrsr2
Ramp2	Zfp740	Slc7a14	Xylb
Itpk1	Rasa3	Dscaml1	Prtn3
Trp53i11	Syt9	Kbtbd11	Zfp937
Kcnh1	Fam98a	Hbp1	Tnfrsf1b
Lin7b	Pdgfra	Cacna1b	Cotl1
Penk	Trp53bp1	Hsd17b12	6430548M08Rik
Cyp51	Flt1	Slc6a15	5031439G07Rik
Fam25c	Kitl	Grpel2	B4galt4
Slc35f3	Gde1	Dgkq	Fbxo21
Acaa1b	Zfp667	Tagln2	Medag
Rab36	Usp2	8430429K09Rik	Pex11b
Srpk3	Fam26e	Cd24a	Strbp
Wfs1	Adam10	Tmem141	Klc1
Sco1	Hopx	Wrb	Med13
Patz1	Gkn3	Dna2	Nmt2
A830082K12Rik /// A830082K12Rik	Gpr26	Galnt11	Adamts3
Met	Cbl	Gorasp1	Nos1
Pcdhb12	Lrfn2	Frat2	Rtp4
1190002N15Rik	Plcb4	Clasp1	Ddx18
Nkain4	Olfml1	Pcif1	Dbndd1
Orc2	Nek3	Dhx36	Cdc42ep3
Nudt8	Slc7a10	5830415F09Rik	Sox6
Doc2b	Wscd2	Mapk3	Ccdc157
Ercc5	2610018G03Rik	Slc29a4	Parg
Ccdc80	Epdr1	Nop58	Pnma1
Cables1	Socs2	Acot8	Tmem245
Cdkn1a	Nfatc2	3110070M22Rik	Adprh
Natd1	Nptx2	Tbl3	Ift22
Hecw2	Tfr2	Dlc1	Prcp
Rassf5	H3f3b	Rcor2	Pkig
Sgk1	Sdpr	Cxadr	Prkar1b
D8Ertd82e	Ccdc9	Phactr1	Ddhd1
Rhpn2	Rnf38	Rps6ka6	Loh12cr1
Grpr	Atp8a1	B230216G23Rik	Kcnn2
G3bp2	Pigz	Npy1r	Tmem121
Itgb3bp	Siae	Rnh1	Gm715
Snap91	Ankrd16	Txndc11	Elfn1
Cygb	Ddx18	Abt1	Zfp827
Ovol2	B9d2	Nxph3	Rab26
Gm12371	Magi3	Gabrd	Rapgef5
Firre	Evi2a	Gapvd1	Rhof
Cd34	Smim19	Rnf168	Cdk18
Dbt	Glis3	Phf7	Thbs3
Hddc3	C1qb	Elk4	Kcnj8
Gab1	Lhfpl5	Gpr75	Timp4
Rnh1	Fbrsl1	Gca	Acot9
Coro1a	Fam65b	Rrnad1	Fat3
Zfp318	Sfswap	Golga1	Ncdn
Slc6a8	Tnks2		Nat10
Rab26	Nfkbib		Ptprf
N6amt1	Myt1l		Gpsm2
Rnd1	Cbln4		Mfsd1
Lrrc4	St8sia5		Cdpf1
Rdh11	Frzb		Cops5
Pcdh8	Rusc1		Tceanc2
Diras2	Sag		Rnf152
Snta1	Man2a1		Ppp1r1b
Itga7	Cdo1		Mpv17
Emcn	Dclk3		Metrnl
Necab2	Gjc3		Bloc1s6
Rps6ka6	Prickle2		Fbxo25
Syn2	Tssc1		Plk5
Eif4a1	Slc35a4		Pi4k2b
Arhgef28	Tcap		Med16
Glra3	Gfap		Col5a2
Fdps	Ilvbl		Nfib
Hpcal4	Pold3		Cyp2j9
Golim4	Plp1		Psme1
Wee1	Otop2		Lpcat3
Pfkfb3	Spred1		Klhl12
Ppp4r2	6330415B21Rik		Far1
Setd8	Rassf3		Cryab
Vps29	Gab1		Hscb
Scg3	Cplx3		Ackr2
Chga	Prpf38b		Tmem138
Cbln4	Gpld1		Phf21b
Itpkb	Mkx		Sel1l3
Mrps11	Il12a		Cd68
Dgkz	Ttc27		Pgls
Ncan	Nhsl1		Ctsd
Nln	Sik2		Itpk1
Msantd2	Ccdc93		Uros
Arhgap27	Bcl2l11		Casp9
Lrpap1	Naa25		Pcyt2
Magef1	Arhgef7		Gde1
Epdr1	Blnk		Isoc1
Fjx1	Ppm1k		Med22
Pik3r6	Gm15706		Cpne7
Gfap	Tiparp		Nhlrc2
Adrb3	Slc35f3		Slc46a1
1110038B12Rik	C1galt1		Tanc1
Ncam1	Ramp2		Syn2
Slc9a8	Unc80		Efna3
Cck	Ppip5k1		Dkc1
Dera	Crip3		Lbr
Acp6	Fam13b		Cpn1
Mettl1	Akap1		4632427E13Rik
Zdhhc22	Trim59		Ndn
Kcnj9	Psme4		Crtac1
Pid1	Nos1		St6galnac4
Fndc1	Rasl10b		Wdr73
Srrm1	Syne2		Ap1s1
Myh9	Hoxa5		Tmem181a
Syt7	Kalrn		Rnh1
Neurl1b	Pias2		Ptprcap
Vgf	Itfg3		Arid4b
Dclk3	Trip10		1700037C18Rik
Tagln3	Camkk2		5730409E04Rik
Blnk	Pde7b		Rap1gap2
Cyp27a1	Pcdhb12		Sdhb
Lmo7	Slc16a11		Pgbd5
Sgpp2	Cygb		Cdh4
Col4a2	Mad2l1		Gas2
Gspt2	Nrp1		Nr4a2
Tctn1	Ccdc110		Hsd17b7
Msc	2700046G09Rik		Uchl1
Cd68	Inhba		Setd1b
Rin1	Galnt16		Strn
Ctnnd2	Pus7l		Cdk2ap1
Zfp40	Tanc2		Ccdc132
Ncs1	Sel1l3		Prex2
Rap1gap2	Safb2		Pcdhb12
Trak2	Grm2		Gpr3
Gtpbp4	Edil3		Arl15
Fxyd7	Fam221a		Wdr41
Rpp40	Necab2		Cspg5
Nhlrc1	Akap7		Fryl
Rasa3	Il18bp		Zfp426
Sec14l1	Nefl		Ace
Pyurf	Gpr37		Dtna
Tmem218	Gnptab		Aldh1l2
Klhl23	Rhobtb2		Ccdc28a
Ramp3	Hspa1a		Cyp46a1
H2afy	Sowahb		Msrb3
AI593442	2810410L24Rik		Btbd1
Ptk2	Cacnb3		Col5a3
Abcc1	Zfp217		Sema3e
Acaca	Dcx		Rbm12b1
Epas1	Tmem215		Tbc1d25
C1ra	Atp6v1a		Ppa2
Dohh	Bcar3		Clec18a
Slc25a17	Gpr85		Slc25a39
Ing2	Slco1a4		Ppa1
Map9	Hars2		Dennd1b
Gabrg1	Phtf1		Klf4
Rftn1	Slc29a2		Mfsd12
Relb	Cux2		Tgfb1
Ilvbl	Dancr		Slc2a8
Epb4.1l2	Tyro3		Ttc30b
Ddit4l	Kcnip2		Jazf1
Wbscr22	Rnf144a		Prkaa2
Hsp90ab1	Prtn3		Top1mt
Tcap	Sulf1		Ints9
Ier5	Arsj		2410022M11Rik
P4ha1	Gng7		Cacna2d1
Dsel	Wipf1		Tgfb1i1
Masp1	Nrbp2		Sdhaf2
Hint2	Igf2		Slc25a17
Trmt1l	Trip13		Zfp654
Slc1a1	Slc38a5		AF251705
Akr1c18	Kctd6		Mtmr12
Plcb4	Syn2		Nhsl1
Fndc9	Sytl2		Mchr1
Lrrfip2	Ecm1		Nme1
Wscd1	Tmem183a		Arhgap12
1700017B05Rik	Hk2		Apoo
Ppm1k	Csnk1g2		Usp20
Dtl	Zcchc12		Tox3
Mkks	Mrps6		Slc40a1
Coro2a	Naaa		Arhgap44
