AllCombined	Arc	BLA	BNST	CGC	CMA	dorCA1	dorDG	HB	ILC	InsularCortex	LC	LH	LS	MDT	MPOA	MS	NaCcore	NaCshell	PAG	PLC	PVN	Raphe	SNT	venCA1	venDG	VMH	VTA
ENSRNOT00000049683	ENSRNOT00000075767	ENSRNOT00000021458	ENSRNOT00000049683	ENSRNOT00000042098	ENSRNOT00000043693	ENSRNOT00000021458	ENSRNOT00000022113	ENSRNOT00000025421	ENSRNOT00000023460	ENSRNOT00000050156	ENSRNOT00000046240	ENSRNOT00000074404	ENSRNOT00000025421	ENSRNOT00000022113	ENSRNOT00000021458	ENSRNOT00000043693	ENSRNOT00000049683	ENSRNOT00000049683	ENSRNOT00000021458	ENSRNOT00000001743	ENSRNOT00000003932	ENSRNOT00000022113	ENSRNOT00000046240	ENSRNOT00000028752	ENSRNOT00000049683	ENSRNOT00000049683	ENSRNOT00000049683
ENSRNOT00000042098	ENSRNOT00000054976	ENSRNOT00000025421	ENSRNOT00000042098	ENSRNOT00000047550	ENSRNOT00000022113	ENSRNOT00000025421	ENSRNOT00000028297	ENSRNOT00000013468	ENSRNOT00000025421	ENSRNOT00000074404	ENSRNOT00000022113	ENSRNOT00000025421	ENSRNOT00000028297	ENSRNOT00000001743	ENSRNOT00000025421	ENSRNOT00000022113	ENSRNOT00000043693	ENSRNOT00000043693	ENSRNOT00000037199	ENSRNOT00000011429	ENSRNOT00000023460	ENSRNOT00000021458	ENSRNOT00000022113	ENSRNOT00000028069	ENSRNOT00000043693	ENSRNOT00000042098	ENSRNOT00000042098
ENSRNOT00000043693	ENSRNOT00000022095	ENSRNOT00000028297	ENSRNOT00000043693	ENSRNOT00000074404	ENSRNOT00000025421	ENSRNOT00000001954	ENSRNOT00000001954	ENSRNOT00000073082	ENSRNOT00000028752	ENSRNOT00000054976	ENSRNOT00000021458	ENSRNOT00000039149	ENSRNOT00000024711	ENSRNOT00000021458	ENSRNOT00000017965	ENSRNOT00000025421	ENSRNOT00000047550	ENSRNOT00000047550	ENSRNOT00000016739	ENSRNOT00000025421	ENSRNOT00000025421	ENSRNOT00000037199	ENSRNOT00000021458	ENSRNOT00000011333	ENSRNOT00000040993	ENSRNOT00000043693	ENSRNOT00000043693
ENSRNOT00000050156	ENSRNOT00000025421	ENSRNOT00000001954	ENSRNOT00000047550	ENSRNOT00000011429	ENSRNOT00000007676	ENSRNOT00000024711	ENSRNOT00000028752	ENSRNOT00000021648	ENSRNOT00000058143	ENSRNOT00000011429	ENSRNOT00000055988	ENSRNOT00000028297	ENSRNOT00000002116	ENSRNOT00000016739	ENSRNOT00000020926	ENSRNOT00000028297	ENSRNOT00000042928	ENSRNOT00000003283	ENSRNOT00000021001	ENSRNOT00000028297	ENSRNOT00000028297	ENSRNOT00000016739	ENSRNOT00000025421	ENSRNOT00000025245	ENSRNOT00000023460	ENSRNOT00000050156	ENSRNOT00000050156
ENSRNOT00000047550	ENSRNOT00000075480	ENSRNOT00000028752	ENSRNOT00000040993	ENSRNOT00000073330	ENSRNOT00000027760	ENSRNOT00000075099	ENSRNOT00000020932	ENSRNOT00000009665	ENSRNOT00000024711	ENSRNOT00000073330	ENSRNOT00000007567	ENSRNOT00000015720	ENSRNOT00000013468	ENSRNOT00000021001	ENSRNOT00000028752	ENSRNOT00000007676	ENSRNOT00000040993	ENSRNOT00000022113	ENSRNOT00000014493	ENSRNOT00000014493	ENSRNOT00000014704	ENSRNOT00000025421	ENSRNOT00000020647	ENSRNOT00000021648	ENSRNOT00000025421	ENSRNOT00000047550	ENSRNOT00000047550
ENSRNOT00000042928	ENSRNOT00000033537	ENSRNOT00000020932	ENSRNOT00000022113	ENSRNOT00000023460	ENSRNOT00000075099	ENSRNOT00000021764	ENSRNOT00000075099	ENSRNOT00000068033	ENSRNOT00000027760	ENSRNOT00000057295	ENSRNOT00000033537	ENSRNOT00000011937	ENSRNOT00000019624	ENSRNOT00000014493	ENSRNOT00000024711	ENSRNOT00000075099	ENSRNOT00000022113	ENSRNOT00000073330	ENSRNOT00000028752	ENSRNOT00000002732	ENSRNOT00000035628	ENSRNOT00000028752	ENSRNOT00000051895	ENSRNOT00000020476	ENSRNOT00000028752	ENSRNOT00000042928	ENSRNOT00000042928
ENSRNOT00000046240	ENSRNOT00000020932	ENSRNOT00000021648	ENSRNOT00000025421	ENSRNOT00000025421	ENSRNOT00000051268	ENSRNOT00000013468	ENSRNOT00000021764	ENSRNOT00000028089	ENSRNOT00000033537	ENSRNOT00000014177	ENSRNOT00000002116	ENSRNOT00000021648	ENSRNOT00000073082	ENSRNOT00000002732	ENSRNOT00000047139	ENSRNOT00000018499	ENSRNOT00000025421	ENSRNOT00000014493	ENSRNOT00000014912	ENSRNOT00000015720	ENSRNOT00000007676	ENSRNOT00000074632	ENSRNOT00000028752	ENSRNOT00000011314	ENSRNOT00000044582	ENSRNOT00000040993	ENSRNOT00000025421
ENSRNOT00000064679	ENSRNOT00000002116	ENSRNOT00000020476	ENSRNOT00000028752	ENSRNOT00000028297	ENSRNOT00000028069	ENSRNOT00000020437	ENSRNOT00000018723	ENSRNOT00000002996	ENSRNOT00000067854	ENSRNOT00000020219	ENSRNOT00000027345	ENSRNOT00000009665	ENSRNOT00000018723	ENSRNOT00000015720	ENSRNOT00000042411	ENSRNOT00000013354	ENSRNOT00000028297	ENSRNOT00000020926	ENSRNOT00000074632	ENSRNOT00000004836	ENSRNOT00000028752	ENSRNOT00000075480	ENSRNOT00000012616	ENSRNOT00000022864	ENSRNOT00000012616	ENSRNOT00000048767	ENSRNOT00000007676
ENSRNOT00000003283	ENSRNOT00000075099	ENSRNOT00000002996	ENSRNOT00000015720	ENSRNOT00000007676	ENSRNOT00000001054	ENSRNOT00000023278	ENSRNOT00000023278	ENSRNOT00000006607	ENSRNOT00000002116	ENSRNOT00000033537	ENSRNOT00000025970	ENSRNOT00000006607	ENSRNOT00000021648	ENSRNOT00000074632	ENSRNOT00000027246	ENSRNOT00000073082	ENSRNOT00000007676	ENSRNOT00000028752	ENSRNOT00000033537	ENSRNOT00000033537	ENSRNOT00000023072	ENSRNOT00000033537	ENSRNOT00000046201	ENSRNOT00000021372	ENSRNOT00000024711	ENSRNOT00000025421	ENSRNOT00000015720
ENSRNOT00000074404	ENSRNOT00000028069	ENSRNOT00000006607	ENSRNOT00000023072	ENSRNOT00000019320	ENSRNOT00000013600	ENSRNOT00000021648	ENSRNOT00000021648	ENSRNOT00000025878	ENSRNOT00000019624	ENSRNOT00000020932	ENSRNOT00000011937	ENSRNOT00000054957	ENSRNOT00000068033	ENSRNOT00000002942	ENSRNOT00000023452	ENSRNOT00000010263	ENSRNOT00000015720	ENSRNOT00000019320	ENSRNOT00000047139	ENSRNOT00000075099	ENSRNOT00000032613	ENSRNOT00000020932	ENSRNOT00000013188	ENSRNOT00000025213	ENSRNOT00000075099	ENSRNOT00000028297	ENSRNOT00000044582
ENSRNOT00000001743	ENSRNOT00000025245	ENSRNOT00000011314	ENSRNOT00000014177	ENSRNOT00000021851	ENSRNOT00000006607	ENSRNOT00000020476	ENSRNOT00000020476	ENSRNOT00000054957	ENSRNOT00000018599	ENSRNOT00000017468	ENSRNOT00000026528	ENSRNOT00000028811	ENSRNOT00000011314	ENSRNOT00000004836	ENSRNOT00000011855	ENSRNOT00000066084	ENSRNOT00000044582	ENSRNOT00000044582	ENSRNOT00000021764	ENSRNOT00000021764	ENSRNOT00000024711	ENSRNOT00000027345	ENSRNOT00000007567	ENSRNOT00000001049	ENSRNOT00000021648	ENSRNOT00000035628	ENSRNOT00000019443
ENSRNOT00000075397	ENSRNOT00000001054	ENSRNOT00000008120	ENSRNOT00000001958	ENSRNOT00000016495	ENSRNOT00000011314	ENSRNOT00000028484	ENSRNOT00000006607	ENSRNOT00000071153	ENSRNOT00000023811	ENSRNOT00000015019	ENSRNOT00000023278	ENSRNOT00000034401	ENSRNOT00000008120	ENSRNOT00000033537	ENSRNOT00000025767	ENSRNOT00000014441	ENSRNOT00000023072	ENSRNOT00000023072	ENSRNOT00000042411	ENSRNOT00000042411	ENSRNOT00000010679	ENSRNOT00000042411	ENSRNOT00000023037	ENSRNOT00000026467	ENSRNOT00000020476	ENSRNOT00000007676	ENSRNOT00000075099
ENSRNOT00000048767	ENSRNOT00000023278	ENSRNOT00000025878	ENSRNOT00000027760	ENSRNOT00000026539	ENSRNOT00000008120	ENSRNOT00000006607	ENSRNOT00000008120	ENSRNOT00000022144	ENSRNOT00000023278	ENSRNOT00000002116	ENSRNOT00000001717	ENSRNOT00000000658	ENSRNOT00000019696	ENSRNOT00000020932	ENSRNOT00000020437	ENSRNOT00000068033	ENSRNOT00000024711	ENSRNOT00000075099	ENSRNOT00000027246	ENSRNOT00000028069	ENSRNOT00000075099	ENSRNOT00000011937	ENSRNOT00000033537	ENSRNOT00000064272	ENSRNOT00000022184	ENSRNOT00000028752	ENSRNOT00000028069
ENSRNOT00000021458	ENSRNOT00000021648	ENSRNOT00000034401	ENSRNOT00000075099	ENSRNOT00000075099	ENSRNOT00000025878	ENSRNOT00000008120	ENSRNOT00000025878	ENSRNOT00000073091	ENSRNOT00000006607	ENSRNOT00000013608	ENSRNOT00000015179	ENSRNOT00000041915	ENSRNOT00000000658	ENSRNOT00000021764	ENSRNOT00000023278	ENSRNOT00000004725	ENSRNOT00000027760	ENSRNOT00000013608	ENSRNOT00000011937	ENSRNOT00000019624	ENSRNOT00000013468	ENSRNOT00000011855	ENSRNOT00000002116	ENSRNOT00000028833	ENSRNOT00000024712	ENSRNOT00000044582	ENSRNOT00000011937
ENSRNOT00000015122	ENSRNOT00000002996	ENSRNOT00000019104	ENSRNOT00000051268	ENSRNOT00000014404	ENSRNOT00000001794	ENSRNOT00000025878	ENSRNOT00000037756	ENSRNOT00000029996	ENSRNOT00000040430	ENSRNOT00000024917	ENSRNOT00000021648	ENSRNOT00000025782	ENSRNOT00000004297	ENSRNOT00000042411	ENSRNOT00000021648	ENSRNOT00000028089	ENSRNOT00000023872	ENSRNOT00000013354	ENSRNOT00000057199	ENSRNOT00000028060	ENSRNOT00000019624	ENSRNOT00000025245	ENSRNOT00000011494	ENSRNOT00000073376	ENSRNOT00000002996	ENSRNOT00000023072	ENSRNOT00000051354
ENSRNOT00000075767	ENSRNOT00000013600	ENSRNOT00000025782	ENSRNOT00000011333	ENSRNOT00000026753	ENSRNOT00000000658	ENSRNOT00000005917	ENSRNOT00000029996	ENSRNOT00000008962	ENSRNOT00000075733	ENSRNOT00000001383	ENSRNOT00000006531	ENSRNOT00000067635	ENSRNOT00000004947	ENSRNOT00000026753	ENSRNOT00000001114	ENSRNOT00000002996	ENSRNOT00000019624	ENSRNOT00000021030	ENSRNOT00000064900	ENSRNOT00000027246	ENSRNOT00000012256	ENSRNOT00000048125	ENSRNOT00000011937	ENSRNOT00000012061	ENSRNOT00000006607	ENSRNOT00000024711	ENSRNOT00000021648
ENSRNOT00000054976	ENSRNOT00000006607	ENSRNOT00000037756	ENSRNOT00000009870	ENSRNOT00000004228	ENSRNOT00000019104	ENSRNOT00000021017	ENSRNOT00000021372	ENSRNOT00000025343	ENSRNOT00000075796	ENSRNOT00000023872	ENSRNOT00000020476	ENSRNOT00000004947	ENSRNOT00000021372	ENSRNOT00000027246	ENSRNOT00000020476	ENSRNOT00000011314	ENSRNOT00000010263	ENSRNOT00000025245	ENSRNOT00000031291	ENSRNOT00000011333	ENSRNOT00000004091	ENSRNOT00000020437	ENSRNOT00000011855	ENSRNOT00000000495	ENSRNOT00000011314	ENSRNOT00000010679	ENSRNOT00000009665
ENSRNOT00000003248	ENSRNOT00000040430	ENSRNOT00000004947	ENSRNOT00000021030	ENSRNOT00000034951	ENSRNOT00000025782	ENSRNOT00000037756	ENSRNOT00000022089	ENSRNOT00000003308	ENSRNOT00000019696	ENSRNOT00000074347	ENSRNOT00000014441	ENSRNOT00000023226	ENSRNOT00000018927	ENSRNOT00000011333	ENSRNOT00000011991	ENSRNOT00000008120	ENSRNOT00000025245	ENSRNOT00000066084	ENSRNOT00000020437	ENSRNOT00000004228	ENSRNOT00000011937	ENSRNOT00000023278	ENSRNOT00000023811	ENSRNOT00000011565	ENSRNOT00000075733	ENSRNOT00000067854	ENSRNOT00000028732
ENSRNOT00000037199	ENSRNOT00000025878	ENSRNOT00000029996	ENSRNOT00000007624	ENSRNOT00000000635	ENSRNOT00000050302	ENSRNOT00000004947	ENSRNOT00000019298	ENSRNOT00000023519	ENSRNOT00000022144	ENSRNOT00000051268	ENSRNOT00000002882	ENSRNOT00000048349	ENSRNOT00000015009	ENSRNOT00000004228	ENSRNOT00000024568	ENSRNOT00000025878	ENSRNOT00000011892	ENSRNOT00000004703	ENSRNOT00000015179	ENSRNOT00000056600	ENSRNOT00000034951	ENSRNOT00000015179	ENSRNOT00000021648	ENSRNOT00000068216	ENSRNOT00000008120	ENSRNOT00000075099	ENSRNOT00000011314
ENSRNOT00000003965	ENSRNOT00000024471	ENSRNOT00000021372	ENSRNOT00000066084	ENSRNOT00000029791	ENSRNOT00000008962	ENSRNOT00000029996	ENSRNOT00000049048	ENSRNOT00000071387	ENSRNOT00000000658	ENSRNOT00000023606	ENSRNOT00000003460	ENSRNOT00000051956	ENSRNOT00000022073	ENSRNOT00000025970	ENSRNOT00000002996	ENSRNOT00000037405	ENSRNOT00000000635	ENSRNOT00000001054	ENSRNOT00000028892	ENSRNOT00000066084	ENSRNOT00000066084	ENSRNOT00000021648	ENSRNOT00000006607	ENSRNOT00000006628	ENSRNOT00000025878	ENSRNOT00000016329	ENSRNOT00000008120
ENSRNOT00000016739	ENSRNOT00000028811	ENSRNOT00000042145	ENSRNOT00000021648	ENSRNOT00000066084	ENSRNOT00000021372	ENSRNOT00000021372	ENSRNOT00000028546	ENSRNOT00000028546	ENSRNOT00000027418	ENSRNOT00000013468	ENSRNOT00000040430	ENSRNOT00000042145	ENSRNOT00000049044	ENSRNOT00000005719	ENSRNOT00000013600	ENSRNOT00000025782	ENSRNOT00000017794	ENSRNOT00000020870	ENSRNOT00000021648	ENSRNOT00000018723	ENSRNOT00000021862	ENSRNOT00000020476	ENSRNOT00000028811	ENSRNOT00000017325	ENSRNOT00000025282	ENSRNOT00000051268	ENSRNOT00000025878
ENSRNOT00000011429	ENSRNOT00000019696	ENSRNOT00000010238	ENSRNOT00000020476	ENSRNOT00000001054	ENSRNOT00000042145	ENSRNOT00000042145	ENSRNOT00000033726	ENSRNOT00000001625	ENSRNOT00000001247	ENSRNOT00000004228	ENSRNOT00000028811	ENSRNOT00000001642	ENSRNOT00000019583	ENSRNOT00000011937	ENSRNOT00000006607	ENSRNOT00000050302	ENSRNOT00000021862	ENSRNOT00000003926	ENSRNOT00000020476	ENSRNOT00000017794	ENSRNOT00000023278	ENSRNOT00000024568	ENSRNOT00000067635	ENSRNOT00000001486	ENSRNOT00000000658	ENSRNOT00000013468	ENSRNOT00000054957
ENSRNOT00000073330	ENSRNOT00000022144	ENSRNOT00000025343	ENSRNOT00000022184	ENSRNOT00000012233	ENSRNOT00000025343	ENSRNOT00000010238	ENSRNOT00000048554	ENSRNOT00000022073	ENSRNOT00000031005	ENSRNOT00000010263	ENSRNOT00000034401	ENSRNOT00000012478	ENSRNOT00000027375	ENSRNOT00000037039	ENSRNOT00000011314	ENSRNOT00000037756	ENSRNOT00000044226	ENSRNOT00000026654	ENSRNOT00000014441	ENSRNOT00000028892	ENSRNOT00000021648	ENSRNOT00000002882	ENSRNOT00000023226	ENSRNOT00000010101	ENSRNOT00000009425	ENSRNOT00000019624	ENSRNOT00000025081
ENSRNOT00000025421	ENSRNOT00000011499	ENSRNOT00000001049	ENSRNOT00000023017	ENSRNOT00000050782	ENSRNOT00000033726	ENSRNOT00000025343	ENSRNOT00000019583	ENSRNOT00000025857	ENSRNOT00000004947	ENSRNOT00000010853	ENSRNOT00000019696	ENSRNOT00000023519	ENSRNOT00000033525	ENSRNOT00000066084	ENSRNOT00000040430	ENSRNOT00000004947	ENSRNOT00000014441	ENSRNOT00000014359	ENSRNOT00000024568	ENSRNOT00000068033	ENSRNOT00000023594	ENSRNOT00000002996	ENSRNOT00000030244	ENSRNOT00000014124	ENSRNOT00000006443	ENSRNOT00000073082	ENSRNOT00000028811
ENSRNOT00000005601	ENSRNOT00000009425	ENSRNOT00000012478	ENSRNOT00000011314	ENSRNOT00000026654	ENSRNOT00000054958	ENSRNOT00000015009	ENSRNOT00000048851	ENSRNOT00000049044	ENSRNOT00000023226	ENSRNOT00000018723	ENSRNOT00000023477	ENSRNOT00000028546	ENSRNOT00000027474	ENSRNOT00000031291	ENSRNOT00000008120	ENSRNOT00000008962	ENSRNOT00000023594	ENSRNOT00000068033	ENSRNOT00000002882	ENSRNOT00000012240	ENSRNOT00000050223	ENSRNOT00000003460	ENSRNOT00000048349	ENSRNOT00000012720	ENSRNOT00000010358	ENSRNOT00000012256	ENSRNOT00000022864
ENSRNOT00000039149	ENSRNOT00000019104	ENSRNOT00000028546	ENSRNOT00000008120	ENSRNOT00000009665	ENSRNOT00000042890	ENSRNOT00000022073	ENSRNOT00000015177	ENSRNOT00000019583	ENSRNOT00000008962	ENSRNOT00000002044	ENSRNOT00000016740	ENSRNOT00000025857	ENSRNOT00000019140	ENSRNOT00000020437	ENSRNOT00000025878	ENSRNOT00000025343	ENSRNOT00000034567	ENSRNOT00000001008	ENSRNOT00000006607	ENSRNOT00000013600	ENSRNOT00000028484	ENSRNOT00000006607	ENSRNOT00000010238	ENSRNOT00000070809	ENSRNOT00000021516	ENSRNOT00000010263	ENSRNOT00000011499
ENSRNOT00000028297	ENSRNOT00000016104	ENSRNOT00000004347	ENSRNOT00000025878	ENSRNOT00000028089	ENSRNOT00000073688	ENSRNOT00000027241	ENSRNOT00000019405	ENSRNOT00000065742	ENSRNOT00000048880	ENSRNOT00000014359	ENSRNOT00000000658	ENSRNOT00000010786	ENSRNOT00000028496	ENSRNOT00000015179	ENSRNOT00000030931	ENSRNOT00000010510	ENSRNOT00000014359	ENSRNOT00000026633	ENSRNOT00000011314	ENSRNOT00000011314	ENSRNOT00000027782	ENSRNOT00000013224	ENSRNOT00000025343	ENSRNOT00000015205	ENSRNOT00000049048	ENSRNOT00000011937	ENSRNOT00000025782
ENSRNOT00000014704	ENSRNOT00000025782	ENSRNOT00000019583	ENSRNOT00000027459	ENSRNOT00000002996	ENSRNOT00000073376	ENSRNOT00000028295	ENSRNOT00000049337	ENSRNOT00000060683	ENSRNOT00000025925	ENSRNOT00000028089	ENSRNOT00000027418	ENSRNOT00000027474	ENSRNOT00000011565	ENSRNOT00000021648	ENSRNOT00000028811	ENSRNOT00000018927	ENSRNOT00000068033	ENSRNOT00000002996	ENSRNOT00000008120	ENSRNOT00000040430	ENSRNOT00000045484	ENSRNOT00000028811	ENSRNOT00000072342	ENSRNOT00000015811	ENSRNOT00000043005	ENSRNOT00000034951	ENSRNOT00000046323
ENSRNOT00000013272	ENSRNOT00000067635	ENSRNOT00000024430	ENSRNOT00000026586	ENSRNOT00000013600	ENSRNOT00000055588	ENSRNOT00000027375	ENSRNOT00000028295	ENSRNOT00000064272	ENSRNOT00000012528	ENSRNOT00000013600	ENSRNOT00000005917	ENSRNOT00000064272	ENSRNOT00000034389	ENSRNOT00000020476	ENSRNOT00000025608	ENSRNOT00000025213	ENSRNOT00000004725	ENSRNOT00000011314	ENSRNOT00000025878	ENSRNOT00000054957	ENSRNOT00000028089	ENSRNOT00000071153	ENSRNOT00000002962	ENSRNOT00000049831	ENSRNOT00000021723	ENSRNOT00000001054	ENSRNOT00000049609
ENSRNOT00000022603	ENSRNOT00000004947	ENSRNOT00000028295	ENSRNOT00000001794	ENSRNOT00000068497	ENSRNOT00000058204	ENSRNOT00000027474	ENSRNOT00000031904	ENSRNOT00000014087	ENSRNOT00000072342	ENSRNOT00000006607	ENSRNOT00000023226	ENSRNOT00000036556	ENSRNOT00000068216	ENSRNOT00000009665	ENSRNOT00000028555	ENSRNOT00000001049	ENSRNOT00000028089	ENSRNOT00000008120	ENSRNOT00000022144	ENSRNOT00000022864	ENSRNOT00000006607	ENSRNOT00000003787	ENSRNOT00000010845	ENSRNOT00000001644	ENSRNOT00000015099	ENSRNOT00000021648	ENSRNOT00000050302
ENSRNOT00000035628	ENSRNOT00000023226	ENSRNOT00000060683	ENSRNOT00000005917	ENSRNOT00000028732	ENSRNOT00000012061	ENSRNOT00000001379	ENSRNOT00000027375	ENSRNOT00000028084	ENSRNOT00000017000	ENSRNOT00000040430	ENSRNOT00000048880	ENSRNOT00000002574	ENSRNOT00000006628	ENSRNOT00000024568	ENSRNOT00000022144	ENSRNOT00000054954	ENSRNOT00000011314	ENSRNOT00000025878	ENSRNOT00000043100	ENSRNOT00000022144	ENSRNOT00000011314	ENSRNOT00000043100	ENSRNOT00000024609	ENSRNOT00000003397	ENSRNOT00000015177	ENSRNOT00000050782	ENSRNOT00000023226
ENSRNOT00000007676	ENSRNOT00000029996	ENSRNOT00000027375	ENSRNOT00000025782	ENSRNOT00000006607	ENSRNOT00000019129	ENSRNOT00000019140	ENSRNOT00000027474	ENSRNOT00000017307	ENSRNOT00000056041	ENSRNOT00000019076	ENSRNOT00000065410	ENSRNOT00000017307	ENSRNOT00000031842	ENSRNOT00000002882	ENSRNOT00000000658	ENSRNOT00000024020	ENSRNOT00000008120	ENSRNOT00000030931	ENSRNOT00000003907	ENSRNOT00000027418	ENSRNOT00000075733	ENSRNOT00000017485	ENSRNOT00000010893	ENSRNOT00000028290	ENSRNOT00000027937	ENSRNOT00000023594	ENSRNOT00000022089
ENSRNOT00000001954	ENSRNOT00000073967	ENSRNOT00000027474	ENSRNOT00000067635	ENSRNOT00000008120	ENSRNOT00000031842	ENSRNOT00000028514	ENSRNOT00000064272	ENSRNOT00000012061	ENSRNOT00000039663	ENSRNOT00000033015	ENSRNOT00000008282	ENSRNOT00000009152	ENSRNOT00000015786	ENSRNOT00000002996	ENSRNOT00000027418	ENSRNOT00000020534	ENSRNOT00000054957	ENSRNOT00000013841	ENSRNOT00000000658	ENSRNOT00000011499	ENSRNOT00000008120	ENSRNOT00000000658	ENSRNOT00000024772	ENSRNOT00000075790	ENSRNOT00000042890	ENSRNOT00000028484	ENSRNOT00000042145
ENSRNOT00000014312	ENSRNOT00000021372	ENSRNOT00000064272	ENSRNOT00000029996	ENSRNOT00000025878	ENSRNOT00000066950	ENSRNOT00000012061	ENSRNOT00000005089	ENSRNOT00000049895	ENSRNOT00000015009	ENSRNOT00000022144	ENSRNOT00000010238	ENSRNOT00000012061	ENSRNOT00000001910	ENSRNOT00000013600	ENSRNOT00000046102	ENSRNOT00000022383	ENSRNOT00000022144	ENSRNOT00000022864	ENSRNOT00000008737	ENSRNOT00000019104	ENSRNOT00000025878	ENSRNOT00000027418	ENSRNOT00000012372	ENSRNOT00000017972	ENSRNOT00000073688	ENSRNOT00000024712	ENSRNOT00000025213
ENSRNOT00000021001	ENSRNOT00000022089	ENSRNOT00000014087	ENSRNOT00000006443	ENSRNOT00000054957	ENSRNOT00000024901	ENSRNOT00000028496	ENSRNOT00000027539	ENSRNOT00000028496	ENSRNOT00000002962	ENSRNOT00000017485	ENSRNOT00000007069	ENSRNOT00000023706	ENSRNOT00000032739	ENSRNOT00000011314	ENSRNOT00000005917	ENSRNOT00000035002	ENSRNOT00000001794	ENSRNOT00000034449	ENSRNOT00000027418	ENSRNOT00000004297	ENSRNOT00000030931	ENSRNOT00000005917	ENSRNOT00000023709	ENSRNOT00000024408	ENSRNOT00000001379	ENSRNOT00000004725	ENSRNOT00000065229
ENSRNOT00000014493	ENSRNOT00000048349	ENSRNOT00000028438	ENSRNOT00000021372	ENSRNOT00000075796	ENSRNOT00000001910	ENSRNOT00000006186	ENSRNOT00000011565	ENSRNOT00000011565	ENSRNOT00000049048	ENSRNOT00000000658	ENSRNOT00000072342	ENSRNOT00000024901	ENSRNOT00000014747	ENSRNOT00000030931	ENSRNOT00000019104	ENSRNOT00000001625	ENSRNOT00000000658	ENSRNOT00000008737	ENSRNOT00000025782	ENSRNOT00000025782	ENSRNOT00000054957	ENSRNOT00000004947	ENSRNOT00000002579	ENSRNOT00000010433	ENSRNOT00000073376	ENSRNOT00000045484	ENSRNOT00000023519
ENSRNOT00000013997	ENSRNOT00000025343	ENSRNOT00000028084	ENSRNOT00000026258	ENSRNOT00000034401	ENSRNOT00000014124	ENSRNOT00000068216	ENSRNOT00000034389	ENSRNOT00000016182	ENSRNOT00000065229	ENSRNOT00000011499	ENSRNOT00000024473	ENSRNOT00000014124	ENSRNOT00000050531	ENSRNOT00000055289	ENSRNOT00000004297	ENSRNOT00000060943	ENSRNOT00000008737	ENSRNOT00000024280	ENSRNOT00000067635	ENSRNOT00000046323	ENSRNOT00000009666	ENSRNOT00000023226	ENSRNOT00000068216	ENSRNOT00000036738	ENSRNOT00000005089	ENSRNOT00000028089	ENSRNOT00000028546
ENSRNOT00000028752	ENSRNOT00000015009	ENSRNOT00000002574	ENSRNOT00000024012	ENSRNOT00000037405	ENSRNOT00000024352	ENSRNOT00000045964	ENSRNOT00000006186	ENSRNOT00000034730	ENSRNOT00000012478	ENSRNOT00000022958	ENSRNOT00000017756	ENSRNOT00000002862	ENSRNOT00000007604	ENSRNOT00000022864	ENSRNOT00000016104	ENSRNOT00000022073	ENSRNOT00000022550	ENSRNOT00000021921	ENSRNOT00000029996	ENSRNOT00000004947	ENSRNOT00000000658	ENSRNOT00000029996	ENSRNOT00000037517	ENSRNOT00000003473	ENSRNOT00000024659	ENSRNOT00000002996	ENSRNOT00000022073
ENSRNOT00000014912	ENSRNOT00000004206	ENSRNOT00000012061	ENSRNOT00000049044	ENSRNOT00000024280	ENSRNOT00000013703	ENSRNOT00000065720	ENSRNOT00000019129	ENSRNOT00000001910	ENSRNOT00000008932	ENSRNOT00000025782	ENSRNOT00000039663	ENSRNOT00000046563	ENSRNOT00000060370	ENSRNOT00000043100	ENSRNOT00000025782	ENSRNOT00000021670	ENSRNOT00000055259	ENSRNOT00000004297	ENSRNOT00000043518	ENSRNOT00000029996	ENSRNOT00000008737	ENSRNOT00000030244	ENSRNOT00000065720	ENSRNOT00000066549	ENSRNOT00000017448	ENSRNOT00000011907	ENSRNOT00000027241
ENSRNOT00000012996	ENSRNOT00000049048	ENSRNOT00000031230	ENSRNOT00000019681	ENSRNOT00000022550	ENSRNOT00000019524	ENSRNOT00000024901	ENSRNOT00000068216	ENSRNOT00000014124	ENSRNOT00000048504	ENSRNOT00000046323	ENSRNOT00000002962	ENSRNOT00000073642	ENSRNOT00000027811	ENSRNOT00000027418	ENSRNOT00000037756	ENSRNOT00000015598	ENSRNOT00000011499	ENSRNOT00000025782	ENSRNOT00000021372	ENSRNOT00000021372	ENSRNOT00000065396	ENSRNOT00000043518	ENSRNOT00000000535	ENSRNOT00000073790	ENSRNOT00000012061	ENSRNOT00000006607	ENSRNOT00000019583
ENSRNOT00000019320	ENSRNOT00000028546	ENSRNOT00000000495	ENSRNOT00000010786	ENSRNOT00000011499	ENSRNOT00000006708	ENSRNOT00000010101	ENSRNOT00000006628	ENSRNOT00000037576	ENSRNOT00000052098	ENSRNOT00000020603	ENSRNOT00000020534	ENSRNOT00000015299	ENSRNOT00000013703	ENSRNOT00000005917	ENSRNOT00000004947	ENSRNOT00000020341	ENSRNOT00000001654	ENSRNOT00000030656	ENSRNOT00000008355	ENSRNOT00000010238	ENSRNOT00000009425	ENSRNOT00000048349	ENSRNOT00000001404	ENSRNOT00000006329	ENSRNOT00000073157	ENSRNOT00000011314	ENSRNOT00000010786
