RemVsCurr	RemVsCon	CurrVsCon	TreatControl
CDKN2B	NRIP1	NAT10	NAT10
PDCD2	MAN1C1	AC004696.2	AC004696.2
PYCR2	GPAM	MRPS23	MRPS23
ECH1	LYRM7	CD99	CD99
TTBK2	EIF3H	MAGED1	MAGED1
PTPLAD1	CACNA2D2	CHCHD8	CHCHD8
ALG13	MS4A7	ALG5	ALG5
RBM12	KLRC3	CTPS1	CTPS1
HSDL1	GPN1	GTF3A	GTF3A
NVL	GZMA	KCTD10	KCTD10
GLOD4	ECT2	DDX24	DDX24
SLC16A7	DDI2	PSMB4	PSMB4
C11orf58	CALB1	ALG2	ALG2
HLA-DOA	IMMT	FARSB	FARSB
TYW1	NIT2	SEPSECS	SEPSECS
TAS2R30	PGM3	MAN1A2	MAN1A2
PPCS	ZNF570	APOL3	APOL3
GCFC1	ERCC1	PGRMC1	PGRMC1
SLC39A9	C16orf13	BLNK	BLNK
TTC38	ATMIN	RP5-837J1.2	RP5-837J1.2
ZFAND4	AMZ2	CD247	CD247
RDH14	MZT2A	PRPF38B	PRPF38B
MCM8	RCAN1	S1PR5	S1PR5
AGAP5	USP28	SUMF2	SUMF2
DHRS3	DPY19L1	MESDC2	MESDC2
CIRBP	LEAP2	DUSP5	DUSP5
KIAA0528	CREBZF	ST6GAL1	ST6GAL1
C22orf32	MPHOSPH10	FAM208A	FAM208A
ZNF791	CCL5	RAB11FIP2	RAB11FIP2
PSPH	PHB	SMARCAD1	SMARCAD1
KLHDC3	C21orf7	TRAV21	TRAV21
PVRIG	ITM2A	DMTF1	DMTF1
ODF2L	PPP2R5E	DENND2D	DENND2D
C1QBP	METTL10	MATR3	MATR3
KLHDC1	MAGED2	PRSS23	PRSS23
BPHL	ABCE1	NRIP1	NRIP1
TIPIN	SH3BGRL	MAN1C1	MAN1C1
POLR3GL	NARG2	GPAM	GPAM
OCIAD1	GART	ENPP5	ENPP5
CD22	TRIM59	LYRM7	LYRM7
ZNF461	CMAHP	EIF3H	EIF3H
DHX36	NOL7	CACNA2D2	CACNA2D2
CYTH2	C11orf10	MS4A7	MS4A7
TMX1	SOS1	KLRC3	KLRC3
METTL7A	DMXL1	PLA2G12A	PLA2G12A
CD6	CCNE1	NKG7	NKG7
CBLB	TMEM192	ZNF507	ZNF507
SCARNA14	XPA	GPN1	GPN1
PPAPDC1B	DPY30	KLRF1	KLRF1
MEAF6	KDM4C	PQLC3	PQLC3
GDF11	LIMS1	GZMA	GZMA
M6PR	ARPP19	MTMR2	MTMR2
BCLAF1	PION	RNASEH2B	RNASEH2B
CD28	CCDC50	ECT2	ECT2
NDUFAF3	NAA15	DDI2	DDI2
FIGF	SAMD3	CALB1	CALB1
MAP3K7	GTPBP8	IMMT	IMMT
CHCHD7	FAM120B	NIT2	NIT2
WDR70	PDIA6	PGM3	PGM3
ARMC1	CKAP5	ZNF570	ZNF570
ANXA4	VWF	ERCC1	ERCC1
RALGPS2	SEPT11	C16orf13	C16orf13
ATRX	IMP3	ATMIN	ATMIN
FAM18A	IKZF3	AMZ2	AMZ2
CRIPT	ITGA6	AKAP2	AKAP2
LAIR1	STK17A	RAN	RAN
RARRES1	PRRC1	MZT2A	MZT2A
CTDSPL	DSTN	RCAN1	RCAN1
SLC35A2	RPS6KB2	USP28	USP28
ZNF101	STARD4	DPY19L1	DPY19L1
ITK	CXXC5	PHLDB2	PHLDB2
NR2C1	KIAA1279	ST3GAL5	ST3GAL5
MEX3C	TSR1	AIDA	AIDA
TRIM29	PEX3	YWHAQ	YWHAQ
EBNA1BP2	AASDH	AKR1C3	AKR1C3
PMS1	UBP1	LEAP2	LEAP2
MAGOHB	ZBTB38	CREBZF	CREBZF
OPCML	EIF3F	MPHOSPH10	MPHOSPH10
USP13	RGS12	CCL5	CCL5
ABT1	UBE2V2	PLEKHA1	PLEKHA1
TMEM116	PTDSS1	PHB	PHB
NEDD8	SET	C21orf7	C21orf7
EIF4E	TMEM203	ITM2A	ITM2A
ZNF134	OGT	PPP2R5E	PPP2R5E
ZKSCAN1	PRKD3	METTL10	METTL10
ABCD2	SLC25A5	ZNF480	ZNF480
ZNF606	LARS	GPR56	GPR56
EXOG	LRBA	MAGED2	MAGED2
ZNF782	SLFN12L	NOP58	NOP58
PPIA	ZNF346	ABCE1	ABCE1
WDR36	NDUFA9	SH3BGRL	SH3BGRL
PLAA	CD226	NARG2	NARG2
FXN	GPRIN3	RRN3	RRN3
PROSER1	SNHG12	GART	GART
KPNA5	SUSD3	TRIM59	TRIM59
ZMAT3	IL10RA	CMAHP	CMAHP
LACTB2	ACADM	NOL7	NOL7
PTBP1	NDUFS1	C11orf10	C11orf10
ARHGAP5	ZNF259	ABRACL	ABRACL
LYG2	PSEN2	ZNF275	ZNF275
ZBTB20	ARPC5L	SOS1	SOS1
CYP3A5	S100A16	DMXL1	DMXL1
UPRT	KIR3DL1	CCNE1	CCNE1
ARHGAP17	TFPI	TMEM192	TMEM192
RBM48	TUBB	SRSF3	SRSF3
TRNT1	SMC2	DDIT4	DDIT4
TBXA2R	SGPP1	XPA	XPA
MLX	TES	TGFB3	TGFB3
KDSR	CANX	DPY30	DPY30
QRSL1	CDKN1C	KDM4C	KDM4C
PTTG1	LPXN	LIMS1	LIMS1
AGPAT4	PDE4D	CUTA	CUTA
TUBA1B	RPS6KA3	ARPP19	ARPP19
C3orf37	RNF43	STARD9	STARD9
DAZAP1	WDR77	PION	PION
SBNO1	PYHIN1	BTBD11	BTBD11
GOLGA3	RANGRF	CCDC50	CCDC50
CPEB2	NSG1	NAA15	NAA15
WDR33	CEP78	SAMD3	SAMD3
WHSC1	C6orf228	GTPBP8	GTPBP8
CYP4F2	DNM1L	FAM120B	FAM120B
ZNF3	TRA2A	TMSB10	TMSB10
SPEF1	DIMT1	PDIA6	PDIA6
ZNF135	FAM13B	CKAP5	CKAP5
