RemVsCurr	RemVsCon	CurrVsCon	TreatControl
GRTP1	TOP2B	TAS2R19	OSGEPL1
SYNJ1	EIF1AX	AUTS2	C19orf10
CHP2	ATP8B2	HS2ST1	SPIN1
SLC15A1	PPIL3	OSGEPL1	TAS2R14
MTA3	ALOX12	C19orf10	PXMP2
YSK4	MRPS17	SPIN1	ELMOD2
UBA7	IDE	TAS2R14	PPM1K
GABRE	TRIM32	PXMP2	U2SURP
SLC35C1	MTCH2	ELMOD2	CAPN7
BLID	GNB5	PPM1K	TOX
TCEA3	VDAC3	NIPAL3	UVRAG
FOSL1	ARID5B	U2SURP	NDUFB4
GLDC	PSMB7	CAPN7	BTG3
MBLAC2	TNPO1	TOX	PIK3R1
C12orf77	EIF2AK1	UVRAG	MDH2
RP11-12M5.1	LAIR2	NDUFB4	MTPN
LDLRAD3	ZNF572	BTG3	DNTTIP2
GPR6	HSPBP1	PIK3R1	SNRPB
HSDL2	CUL1	MDH2	GPR183
SLC29A2	SMAD2	MTPN	MTO1
CDKN2AIPNL	RAD52	DNTTIP2	PCID2
ADCY9	UBE3C	SNRPB	FCRL3
PGLYRP4	TTC17	GPR183	ATP10A
JDP2	BCAN	MTO1	SLC35D1
RFK	ACACA	PCID2	TRIM35
SH3GLB1	FAU	FCRL3	DIABLO
CCDC108	MLL	ATP10A	MCCC1
ALPPL2	BTN3A3	SLC35D1	PPP6R2
TARS2	CASC4	TRIM35	GINS2
RAB31	ZC3H12D	DIABLO	EBAG9
DHX37	ITGB1	MCCC1	C10orf88
ARMC12	SLC35A1	PPP6R2	HN1L
SPC25	HEATR5B	GINS2	CNOT1
RPS4Y1	G3BP2	EBAG9	TRNAU1AP
RHOV	HYI	C10orf88	TMEM97
RHBDF1	C1orf112	HN1L	SPAG16
POU4F3	CROCC	CNOT1	PHF6
PODXL2	CPNE8	TRNAU1AP	C2orf69
HHLA1	GSS	TMEM97	CLN3
DGKG	OPALIN	SPAG16	ABHD15
ULBP2	PARPBP	PHF6	PARK2
SLC25A2	DBF4	C2orf69	CXorf65
PPP1R3D	DNM3	CLN3	ZNF654
COL4A2	SRSF5	ABHD15	MALT1
CRX	KARS	PARK2	ARHGAP18
MAGEA12	CMPK1	CXorf65	ANXA7
PDE6G	ROMO1	ZNF654	LDLRAP1
GUCA1C	DDX39A	MALT1	GNB2L1
STON1	CAPN3	ARHGAP18	SYNC
SEC14L4	NADKD1	ANXA7	MYOM3
PGBD5	ARL6IP5	LDLRAP1	ACYP1
JMJD7	RPS20	GNB2L1	MTF2
WIZ	FNDC3A	SYNC	TXNL4A
OR7G1	PTPMT1	MYOM3	CD3G
ZFAND2B	FUT11	CYP4V2	RAP1GDS1
NNMT	ZCCHC7	ACYP1	FXC1
IFNA7	UGT3A1	MTF2	PCNT
ALOX5	ARHGAP31	TXNL4A	MMD
WIPI1	FHL1	CD3G	PDSS1
MASTL	PIGL	RAP1GDS1	RNFT1
FOXD2	POPDC2	FXC1	CAST
CRHBP	DDA1	PCNT	MON2
NUP210L	EIF3D	MMD	NLRC3
TATDN3	EPB41L2	PDSS1	HERC4
VGLL2	SF3A3	RNFT1	RAB27B
ACVR1C	GRPEL2	CAST	SYCE1
DOK4	SERBP1	MON2	MLH1
LINC00337	BTAF1	NLRC3	PDE6B
C10orf111	IGF2BP1	HERC4	KLK15
C8orf49	SLC2A1	RAB27B	IMPA1
ALDH1B1	GNAZ	SYCE1	MRPL1
SPR	SYTL4	MLH1	ETS1
SERPINB13	RPL36	PDE6B	DENR
HOXA6	FAM107B	KLK15	NUP43
PCDHGA7	TNKS2	IMPA1	UHMK1
ASAP1	NARS	MRPL1	DLD
LHX8	PPAP2A	ETS1	DGUOK
FITM2	HEXA	DENR	LINC00657
ASB18	ASB3	NUP43	HSBP1
SERINC2	LMOD3	UHMK1	LUC7L3
RIMBP2	PPM1A	DLD	CCT4
OR5G5P	RPP21	DGUOK	ECI2
ANKS1A	MSI2	LINC00657	ENPP4
KRI1	IGIP	HSBP1	TSFM
PCDHB12	PSPH	LUC7L3	CRLS1
GRIN2B	HAX1	CCT4	C14orf119
PALD1	RASSF1	ECI2	ZNF544
YIPF1	PSMB2	ENPP4	PHF11
HTR1E	STK17B	TSFM	PTPLB
S1PR2	CYB561	CRLS1	KIAA1430
TYRP1	RCOR3	C14orf119	EMC2
CLEC10A	SDPR	ZNF544	PIGH
GPR115	TIA1	PHF11	OSBPL5
RNF217	EXT2	PTPLB	BTBD6
PIP5K1B	RAB11FIP4	KIAA1430	ZNF12
SLC10A3	ELMOD1	EMC2	GALNT12
F10	EMC8	PIGH	GOLGA4
UPP1	WDR76	OSBPL5	CXorf57
TLN2	PIK3R3	BTBD6	GLUD1
RALGPS1	RNF113A	ZNF12	STK38L
TNK1	HSP90B1	GALNT12	C2orf43
NMNAT1	RHBDD1	GOLGA4	DR1
NOL4	NOL8	CXorf57	MAPK8
CLCN4	NUDT19	GLUD1	CEP192
FILIP1	GOPC	STK38L	TMSB15B
HSP90B2P	TP73-AS1	C2orf43	CSTF3
C3orf72	SPG11	DR1	RASA3
UNC119	CTSC	MAPK8	NHP2L1
RAB9BP1	PTAR1	CEP192	CCND2
DEC1	CERS6	TMSB15B	HSPA8
PLAC8L1	FIGLA	CSTF3	ATP5A1
KLC2	ANKRD55	RASA3	PLAC8
MERTK	FMN1	NHP2L1	FOXP1
PRR11	YTHDF1	CCND2	THUMPD1
ADAMTS19	STIM2	HSPA8	ITGB7
SERPINB2	HDAC1	ATP5A1	CDC42SE2
MAFB	VPS52	PLAC8	ZNF91
CXCL17	PPP1CC	FOXP1	CYB5B
SERPINI2	UNC50	THUMPD1	SLMO2
UBR4	RPS29	ITGB7	PFKP
ALDH16A1	ENPP1	CDC42SE2	C3orf17
TAL2	AP3M1	ZNF91	KIF19
IP6K1	PLA2R1	CYB5B	HSPH1
CENPE	IPO11	SKP1	RNF2
VPS51	DUSP10	SLMO2	MRPL48
NEUROG3	MTFP1	PFKP	IMP4
CAMTA2	CACFD1	C3orf17	PHF19
ATP2A3	DMD	KIF19	PHC3
MKRN3	BOD1L2	HSPH1	TMEM170A
ZNF771	SIRPG	RNF2	TRIM41
NUDT10	SNX24	MRPL48	GGA2
ACOT6	GFAP	IMP4	HIST1H2AI
C19orf45	FKBP11	PHF19	PPIL1
DMXL2	FAM117B	PHC3	REG1P
YJEFN3	C2orf15	TMEM170A	FAM126A
SLC26A6	SUPT16H	TRIM41	UBE2Q2
PROM1	PF4V1	GGA2	SEC22C
CRNN	CCDC150	HIST1H2AI	UGGT2
NT5C1A	POLR3G	PPIL1	UNC45B
ABCA3	MGAT4A	REG1P	FAM19A4
BUB1	IRF2BP2	FAM126A	STYXL1
LIPN	DYNLL1	UBE2Q2	TRIM3
MT3	NAPEPLD	SEC22C	LPIN1
ZBTB47	PF4	UGGT2	SYNRG
MXD3	SLU7	UNC45B	ANAPC16
ZBTB48	GSPT1	FAM19A4	OSBPL3
BEAN1	SMYD3	STYXL1	CLIP4
IGHV3-13	PRDX4	TRIM3	PIGK
DUSP23	CRYZ	LPIN1	CD69
POLD1	SOCS4	SYNRG	PEX19
FOXE1	C6orf118	ANAPC16	DCTN5
RP11-522I20.3	TTF2	OSBPL3	DIS3L
DENND4B	RPL30	CLIP4	WWP1
AC114947.1	CLTA	PIGK	CRELD2
GNAT3	IKZF1	CD69	AGL
GPS1	NGFRAP1	PEX19	RAB39B
PPP1R3C	SNRPF	DCTN5	IRF4
LIPM	HNRNPC	DIS3L	MRPS27
UMODL1	TMEM199	WWP1	NUDT21
FMO5	DPY19L2	CRELD2	FCGR3A
TPX2	ATG2B	AGL	TMEM194B
VIPAS39	SIRT1	RAB39B	ATAD2B
DFNA5	COG5	IRF4	LILRB4
HIP1R	ZNF805	MRPS27	ZMYM6NB
SSH3	HIBADH	NUDT21	AP4E1
OR52W1	TXNDC5	FCGR3A	SIK1
SLC18A3	CCL4	TMEM194B	IGKV3-11
C2orf29	POMP	ATAD2B	GJB3
KCND1	USP8	LILRB4	SUCLG2
PIP	SECISBP2	ZMYM6NB	PTPN12
CD300E	DDX21	AP4E1	NMT1
SLC5A5	CXorf26	SIK1	NONO
GSTA5	PNISR	IGKV3-11	MRPL20
DAGLA	CTNNB1	GJB3	TCP1
SERPINA6	GLG1	SUCLG2	LMAN1
MMP21	BACH2	PTPN12	KXD1
KLF6	MGST3	NMT1	SS18L2
DBN1	SOD3	NONO	FYN
CDC6	MYCN	MRPL20	RBM17
OSGIN2	ERVW-1	TCP1	WDR11
OR1D2	C1orf110	LMAN1	LEPROTL1
MRPL2	C1orf86	KXD1	TRAV12-3
CXCL2	COMMD10	SS18L2	GPM6B
CAP1	GRAMD3	FYN	ATP2C1
CAPN1	SCN3B	RBM17	ING1
OR1C1	TOR2A	WDR11	KDM2B
CELF1	PARG	LEPROTL1	DNHD1
RP11-65F13.2	ERO1LB	TRAV12-3	ZNF22
GPR158	TMEM138	PTPN22	WDR44
SHKBP1	OTUB2	GPM6B	COX5B
OR4A15	S100PBP	PIN4	TRDMT1
SLC51A	RBBP7	ATP2C1	PRDM4
IL1R1	ZFR	ING1	WEE1
CNN3	ELK4	KDM2B	PMS2CL
ASB10	TUBB1	DNHD1	TLK1
ABCA1	SLC44A4	ZNF22	ZNF167
SPPL2C	RNF138	WDR44	SEC62
RP11-383H13.1	SRC	COX5B	RMND1
INCA1	SLAIN1	TRDMT1	ZNF772
ILK	GATS	PRDM4	FTSJD1
HERC2	MAP4	WEE1	RPL28
IFI27	TRPV2	PMS2CL	PNO1
RP1	ANP32E	TLK1	BCR
GPR111	PCED1B	ZNF167	WDR67
MIDN	MDC1	SEC62	C3orf26
MSANTD1	IQUB	RMND1	LINC00272
CISH	PPBP	ZNF772	TAF1B
PRX	IGKV1-5	FTSJD1	STARD7
LRFN1	UFD1L	RPL28	CMC1
HIST1H4K	YIF1B	PNO1	KLHDC4
PRDM9	METTL16	BCR	FAF1
PRRX2	ECHDC2	WDR67	SRSF11
COL8A2	RRM2	C3orf26	SSR3
RP11-471J12.1	HMGCS1	LINC00272	HP1BP3
AJUBA	TPGS2	TAF1B	ASF1A
RP5-971N18.3	MAP1LC3B	STARD7	MALSU1
SCGB1D1	SAC3D1	CMC1	OXA1L
SLCO1B3	TM9SF3	KLHDC4	GOLM1
CLDN7	CUL4A	FAF1	BIN1
RASL10A	MTMR12	SRSF11	KCTD11
FAM69C	CD2BP2	SSR3	ELP3
SNTG2	PSMG2	HP1BP3	HPS5
KIAA1522	CCDC53	ASF1A	ZNF136
HOXA4	MTX2	MALSU1	COQ4
PVRL1	SMG8	OXA1L	EIF4G3
ATP6AP1	LGR6	SLC38A1	IMPDH2
TBC1D5	C19orf12	GOLM1	ZNF561
TRIM71	SLC16A1	BIN1	NDUFS4
WDTC1	HBP1	KCTD11	PSMG4
CHIA	TMED5	RABEP1	NAB1
SNORA2A	KDELC2	ELP3	ANKRD32
VWA5B1	KIAA0368	HPS5	ARNT2
KRTAP1-3	EXOC6B	ZNF136	APPBP2
FAM110A	RUVBL1	COQ4	PDE11A
GABRB1	REXO4	EIF4G3	CSTF1
MSTN	PSMC5	IMPDH2	KRTAP21-2
CDK5R2	TRADD	ZNF561	MREG
AMBN	GNPNAT1	NDUFS4	MORF4
C9orf78	ACRBP	PSMG4	ECM2
PRSS37	XRCC5	NAB1	PARP11
AL138968.1	NDUFA8	ANKRD32	HIST1H2AG
SLC25A29	ETNK1	ARNT2	TIMM17A
OR52A4	MITD1	APPBP2	ISOC1
TRIM77P	MFSD8	PDE11A	NENF
EMR2	CEP41	CSTF1	ZNF248
MAGEB3	AP2B1	KRTAP21-2	ATP5G3
HEPACAM	TOLLIP	MREG	NDUFS6
SLC8A1	ACVR2A	MORF4	ZNF557
ELOVL2	CCDC105	ECM2	ATPIF1
A4GNT	ABCC4	PARP11	SH2D1A
FBXW9	CADM1	HIST1H2AG	HCST
PDCD7	RARB	TIMM17A	DNMT1
MICALCL	GALNTL2	ISOC1	ZC3H6
SMG7	DPF3	NENF	TMED2
THTPA	NAP1L1	ZNF248	CHMP1B
IL1RN	C20orf24	ATP5G3	HIST1H2AE
CDYL2	TKTL1	NDUFS6	ATF2
STAB1	ZMYM5	ZNF557	CNPY2
CLDN18	CRTAM	ATPIF1	CD96
NQO2	USP46	SH2D1A	ACPL2
VNN1	SBSPON	HCST	PCGF5
BBOX1	IGF1	DNMT1	PBX3
ADAM30	CLCA2	ZC3H6	SIGMAR1
TLK2	LANCL2	TMED2	MOCS2
UNC13C	MANEA	CHMP1B	P2RX5
APOL5	PEX11B	HIST1H2AE	CDC16
LIPJ	COX7A2	ATF2	KCMF1
RNF5	FKBP2	CNPY2	MS4A1
S100P	GOSR1	CD96	SPON1
CDC20	AAAS	ACPL2	SOD1
TNFRSF18	PDGFA	PCGF5	HLA-DRA
CSTA	GORASP2	PBX3	GLTSCR2
HTR3C	RNF41	SIGMAR1	UMPS
RP11-611L7.1	RUNX2	COPS8	HIST1H2BF
DEAF1	USP38	DBF4B	VKORC1L1
CLIC6	FAM208B	MOCS2	RQCD1
KLHL38	PAPPA	P2RX5	HNRNPA1
VIM	PRUNE	CDC16	C4orf3
ZMAT5	PRMT3	KCMF1	HINT1
FGF6	MEIS1	MS4A1	ASB1
CRLF1	CNTLN	SPON1	NHP2
FSD2	HSD17B4	SOD1	FAIM3
PLXDC2	ZFX	HLA-DRA	EIF2S1
DCLK3	P4HB	GLTSCR2	TRPM7
ZNF385D	PLAC1L	UMPS	TOMM20
INHBB	MGST2	HIST1H2BF	LY9
GPR50	STAG1	VKORC1L1	PDE4B
USP4	HMBOX1	RQCD1	UCHL5
ARHGAP30	KDM1A	HNRNPA1	ATAD1
SIK3	INO80C	DDX47	ADRB2
SLC22A4	ZNF195	C4orf3	EBP
LSM1	SNAP47	HINT1	UBLCP1
SCRT2	CPOX	ASB1	RP11-169K16.7
SP1	ATP1B1	SON	SYAP1
TXNDC2	FAM149B1	NHP2	ZC3H14
GSX1	INTS7	FAIM3	CCDC85C
MAP1S	SLC25A4	EIF2S1	TMTC3
HSPB9	PSG6	TRPM7	VTA1
LDLRAD1	INTS4	TOMM20	PCNXL4
LY96	RING1	LY9	RECQL
RGL4	WDR69	PDE4B	TMEM209
RXFP4	MED23	UCHL5	MAF
SLC35G3	MRPL11	ATAD1	TSC22D1
OSCAR	MRPS25	ADRB2	DOK6
PNLIPRP3	ARL5A	EBP	CA2
RBP7	SCUBE3	UBLCP1	RAPGEF1
S100A7L2	RP11-389O22.1	RP11-169K16.7	IMPAD1
TAAR2	PGLYRP3	SYAP1	GNG2
RP5-1029K10.2	ARHGDIB	ZC3H14	NUDT15
ERRFI1	PRDX1	CCDC85C	SMC6
U52112.12	CD5	TMTC3	ARFGEF2
SCN10A	RBBP6	VTA1	LNPEP
RPGRIP1	CCT7	PCNXL4	LARP4
MS4A14	PNMA1	RECQL	CD2AP
LILRA6	RCBTB1	TMEM209	TMEM206
TNF	TCERG1	MAF	TMEM126B
LPAR2	FCF1	TSC22D1	TASP1
BGLAP	SH3TC1	DOK6	TMEM80
MYO1E	DRG1	CA2	PRPS2
GAPDHS	METTL18	RAPGEF1	INADL
MAGEC2	TMEM161B	IMPAD1	ZWILCH
VAV1	ERLIN1	GNG2	CXorf30
PCDHA8	SNED1	NUDT15	GLO1
SPI1	FCGR2B	SMC6	BTRC
ALDH6A1	YIPF5	ARFGEF2	FARS2
DPYS	TYMS	LNPEP	AKT3
GSN	PIGU	FGFBP3	CCDC25
FOXN4	RNASE9	LARP4	SF3B5
MFSD10	FAS	CD2AP	ESYT1
AC093063.1	SERPINE2	TMEM206	POMGNT1
WDR63	MYNN	TMEM126B	PMPCB
DBX2	C16orf59	TASP1	CUL2
CBL	ATAD2	TMEM80	PRR5-ARHGAP8
AQP8	SLC31A1	PRPS2	MPP7
ZNF787	MAL	INADL	C5orf51
UNC5CL	TIAL1	ZWILCH	NRAS
AC091878.1	TESPA1	CXorf30	UFC1
CC2D2A	TWSG1	GLO1	PDE7A
TBC1D2	CLIC2	BTRC	CLEC2D
PRR14	ATP8B1	FARS2	EXOSC10
DEFB125	PTTG1	AKT3	CASP6
OR4N4	AGPAT4	CCDC25	FAM122B
OR8S1	ADD3	SF3B5	BANK1
NTNG2	REEP5	COMMD7	SNRPB2
MAGEL2	CD1B	IDNK	YTHDC1
OR52K1	SCN5A	ESYT1	C11orf31
MMP9	RAB6A	POMGNT1	TROAP
EHBP1L1	HOOK1	PMPCB	STMN1
FCN3	SSBP2	CUL2	ZSCAN16
FGF3	RBMX2	PRR5-ARHGAP8	TMEM168
IL17RA	DGKZ	MPP7	UBE2K
DYSF	BAIAP2	C5orf51	SREK1
	RBBP9	NRAS	LUC7L
	PNPT1	UFC1	TRAM1
	TAF1	PDE7A	SLC33A1
	GSTA4	CLEC2D	DEM1
	FSTL1	EXOSC10	MAGEE1
	CNIH	CASP6	ZNF74
	ELOVL7	PPHLN1	METTL17
	SOGA1	FAM122B	LIN54
	AGA	BANK1	TCF4
	CYP4F2	SNRPB2	MCPH1
	REEP3	C6orf120	NOP16
	SLAIN2	YTHDC1	KAT6B
	METTL25	C11orf31	KLF9
	TAF6	CDKN2B	BBX
	CTBP1	PCYOX1L	RWDD2B
	MUS81	TROAP	PPM1D
	FUNDC2	PDCD2	ROBO3
	MED19	STMN1	RNASEH2A
	MAPK1IP1L	ZSCAN16	POC5
	SPTLC1	TMEM168	SRI
	OXTR	UBE2K	NCL
	TUBB3	SREK1	PYCR2
	BOD1	LUC7L	RAD17
	MYEF2	TRAM1	NDUFB8
	NQO1	SLC33A1	LAS1L
	KLRC4	DEM1	RABGAP1
	CROT	MAGEE1	BCL2
	DDX52	ZNF74	ATL3
	HSPA9	METTL17	FHIT
	C1orf198	LIN54	SRSF6
	MAN1A1	TCF4	TMEM181
	C2CD3	MCPH1	MED6
	DPM1	NOP16	IKZF2
	BMS1	KAT6B	TMEM50B
	SYN3	KLF9	NCAM1
	CSPP1	BBX	ENOX2
	TRIM37	RWDD2B	HPRT1
	TBC1D29	PPM1D	ACTL6A
	HDAC9	ROBO3	ORC5
	ADPRM	RNASEH2A	SMAD7
	LIMD1	POC5	RAB7L1
	KPNA1	SRI	MCM6
	MDP1	NCL	THEMIS
	ENDOD1	PYCR2	GSTO2
	TMEM110	RAD17	TPD52
	TIMM8A	NDUFB8	MAPKBP1
	NLGN4Y	LAS1L	INTS2
	LLGL2	RABGAP1	ZNF223
	PUSL1	BCL2	SLC25A30
	POLR2I	ATL3	ZNF410
	CDK2AP1	FHIT	UTP11L
	ERF	SRSF6	IL22
	GOLGA8A	TMEM181	RGS20
	TMEM194A	MED6	C1orf174
	TMEM70	ECH1	GSTK1
	SEC14L2	IKZF2	NDFIP1
	FAM161B	TMEM50B	ARMCX3
	AKAP8	TTBK2	PHTF2
	LGALS1	NCAM1	SUPT7L
	ZCCHC9	ENOX2	MRPL16
	PRIMA1	MCMDC2	TMEM19
	SOX5	FBXO6	ILF2
	TMED4	HPRT1	GABRA4
	BLM	ACTL6A	SELRC1
	METTL14	ORC5	NUB1
	FAM117A	SMAD7	UBE3A
	PAIP1	RAB7L1	CCT3
	CCDC92	MCM6	EIF3K
	TTC31	THEMIS	PTP4A2
	TYSND1	FEZ1	TOP2B
	TNFRSF21	GSTO2	DKC1
	FAM184B	TPD52	CTR9
	PRDM1	MAPKBP1	ZNF800
	SARM1	INTS2	TSPAN33
	CCDC68	ZNF223	ICAM2
	GTF2H3	SLC25A30	EIF1AX
	PSME4	ZNF410	NDUFA12
	AMOT	UTP11L	PCDHB14
	C1orf123	IL22	ATP8B2
	TCEANC2	RGS20	FRMD4A
	MCF2	C1orf174	ORMDL2
	EFNA5	GSTK1	ZNF212
	UCP2	NDFIP1	DAB2
	PRKAB2	ARMCX3	ELAVL1
	ENTHD1	PHTF2	DDR1
	EMC1	SUPT7L	MKKS
	CCL25	MRPL16	PPIL3
	LZTFL1	TMEM19	ALOX12
	C9orf123	ILF2	PGRMC2
	ENSA	GABRA4	MRPS17
	ATXN7	SELRC1	IDE
	TMC5	NUB1	TRIM32
	YWHAH	UBE3A	MTCH2
	CFI	CCT3	GNB5
	DCN	EIF3K	FAM227A
	ART3	PTP4A2	VDAC3
	UROS	TOP2B	RHOC
	SULT1C2	PTPLAD1	PPIL2
	STXBP6	DKC1	PANK3
	ZNF16	ALG13	ARID5B
	PTGIR	RBM12	PSMB7
	TOP2A	CTR9	TNPO1
	DNAJB11	EXOSC7	PCNXL2
	RAP2A	ZNF800	TRAPPC11
	LAMTOR1	TSPAN33	EIF2AK1
	CAPRIN1	ICAM2	CHN2
	CD52	EIF1AX	HGD
	RNF11	NDUFA12	RBBP8
	SNRPC	HSDL1	PPP2R2B
	LRRC59	NVL	LAIR2
	CERK	PCDHB14	ZNF572
	C14orf159	ATP8B2	HSPBP1
	AFAP1L2	FRMD4A	WDR55
	MAP2K4	ORMDL2	SEPT6
	OTUD7B	ZNF212	MRPL33
	ETFA	DAB2	CUL1
	HADH	FCRL5	TIMM23
	XPNPEP1	ELAVL1	PSMD7
	BCAP29	DDR1	CDK4
	SMG1	MKKS	SCARB2
	EIF2C3	PPIL3	SMAD2
	SUSD1	ALOX12	PDS5B
	TRO	PGRMC2	RAD52
	AGBL1	MRPS17	PALMD
	AVIL	IDE	BZRAP1
	PKDCC	TRIM32	VTI1B
	DLGAP1	MTCH2	UBE3C
	KRTAP10-2	GNB5	TTC17
	CNNM2	FAM227A	BCAN
	OAF	VDAC3	ACACA
	ARHGAP15	RHOC	EIF3L
	SERTAD2	PPIL2	PDCD4
	PRDX3	PANK3	PUM2
	NEBL	ARID5B	FAU
	FOXC2	PSMB7	IGHM
	BSDC1	TNPO1	PMVK
	MRPL22	PCNXL2	FAM190B
	ERCC4	TRAPPC11	DHX15
	DGKA	EIF2AK1	CHRAC1
	KLHL6	MTBP	CEBPZ
	P2RX4	CHN2	MRPS21
	LRRN4	HGD	KHDRBS1
	PRDM13	RBBP8	MLL
	ARFIP2	PPP2R2B	CCDC73
	GBAS	LAIR2	BTN3A3
	SLC25A15	ZNF572	KIAA1715
	CLDN19	HSPBP1	URI1
	RALGDS	WDR55	STX2
	PLOD1	SEPT6	SEC61G
	PNP	MRPL33	CASC4
	GPR126	CUL1	TRAF5
	TNIP3	TIMM23	COG3
	RDH10	PSMD7	ZC3H12D
	ZBED4	GLOD4	ITGB1
	FKBP4	CDK4	UBE2N
	TREML1	MKI67IP	IL21R
	RYR3	AP001372.2	NSMCE4A
	TRAK2	SCARB2	DDX28
	KRTAP10-5	COPS2	TEX10
	PAPOLA	SMAD2	ISG20L2
	UQCRC2	PDS5B	SLC35A1
	POC1B	ASCC3	TSPAN13
	GFI1B	RAD52	SNAP29
	ACVR1	PALMD	HEATR5B
	MED13	BZRAP1	BCL11A
	FAM134A	DIO1	DNASE2
	BRD8	VTI1B	DENND5B
	SPTLC3	UBE3C	G3BP2
	NCKAP1	TTC17	HYI
	POLI	BCAN	NUP35
	ZNF23	ACACA	HDAC8
	LHFPL2	EIF3L	C1orf112
	TRIM10	PDCD4	CELF4
	GRIN3A	PUM2	CROCC
	SYCE3	FAU	CPNE8
	CDK6	IGHM	GSS
	TIMM50	PMVK	OPALIN
	RXFP1	FAM190B	PARPBP
	DCDC2B	DHX15	DBF4
	PARP16	CHRAC1	DNM3
	PRMT10	SLC16A7	RPL38
	GABRR1	CEBPZ	PPCS
	OSBPL6	MRPS21	SRSF5
	ADH6	KHDRBS1	DNAJC2
	KLHL24	MLL	KARS
	ZDHHC23	C11orf58	UBE2G1
	PDE8A	CCDC73	SRP72
	BRWD1	BTN3A3	EMB
	CCDC90B	HLA-DOA	PAQR8
	ARHGEF6	KIAA1715	MRPS10
	PAQR3	URI1	MAP7D3
	ARHGEF4	C12orf65	CRTC3
	TUBB6	STX2	EAPP
	NAV1	SEC61G	CRYZL1
	CMBL	CASC4	PPP4R2
	VIT	TRAF5	COX14
	ZCCHC24	COG3	SFXN1
	NFAT5	ZC3H12D	CMPK1
	TLL1	ITGB1	FASLG
	OFD1	UBE2N	ROMO1
	CDC42	IL21R	FAM98B
	MAP4K1	NSMCE4A	MED4
	CHRNB2	LMO7	MTA1
	PPP2CB	TYW1	AGAP1
	NDUFA13	DDX28	RBP1
	KLHDC2	TEX10	STK39
	MAS1L	GBP4	DDX39A
	ZFAND6	ISG20L2	CAPN3
	LDB3	SLC35A1	ZNF568
	FAM131A	PUS10	ATPAF1
	SLTM	TSPAN13	LANCL1
	TSPAN3	SNAP29	NADKD1
	SPG7	HEATR5B	DLG1
	WDR52	BCL11A	GCOM1
	GIGYF2	DNASE2	HCCS
	KAL1	DENND5B	PCM1
	OPTN	G3BP2	ARL6IP5
	TBC1D9B	ERAP2	C19orf53
	SRP68	HYI	GRSF1
	SOX6	NUP35	RPS20
	GGNBP2	HDAC8	KLF11
	C3orf30	C1orf112	RHOH
	ITGA9	CELF4	ACOX3
	HFE	CROCC	RFT1
	ACTR5	CPNE8	MSH6
	CALHM2	GSS	FNDC3A
	AFTPH	OPALIN	CCDC43
	STARD13	PARPBP	PTPMT1
	ACE	DBF4	FUT11
	TSPAN31	DNM3	ZCCHC7
	NUSAP1	TAS2R30	UGT3A1
	SLC4A8	RPL38	ARHGAP31
	FGFR2	PPCS	TAS2R43
	C20orf152	GCFC1	FHL1
	SERPIND1	SRSF5	PIGL
	NBR2	DNAJC2	POPDC2
	PCDHB2	KARS	DDA1
	LRRC40	UBE2G1	B3GALT6
	TBC1D10C	SRP72	EIF3D
	CEBPG	NUCKS1	NUP93
	MFAP3L	EDF1	RPE
	AXL	EMB	AKTIP
	PKHD1	PAQR8	EPB41L2
	C19orf52	PRKCI	GRHL2
	CRY2	MRPS10	SF3A3
	RIPPLY2	HSPA4	GRPEL2
	SORBS1	MAP7D3	SERBP1
	CHEK2	CRTC3	BTAF1
	HEBP1	WBSCR27	SACM1L
	SRGAP2	EAPP	IGF2BP1
	ZNF76	CRYZL1	SLC2A1
	APLF	SLC39A9	RIMKLB
	LTBP3	ZNF845	GNAZ
	CTAG2	TAF8	SYTL4
	SEC24D	GNL1	CIRBP
	C15orf43	PPP4R2	TRAC
	DCT	COX14	TOMM22
	NDUFA11	SFXN1	PLEKHA2
	PTF1A	CMPK1	TXNIP
	C11orf49	FASLG	RPL36
	LAMC2	AFF3	COX4I1
	NDUFAF4	ROMO1	PSMA2
	NWD1	FAM98B	DDX18
	CAV1	MED4	ZNF655
	LCMT1	MTA1	FAM107B
	ZNF518A	AGAP1	CYFIP2
	SPIRE1	RBP1	CDKN1A
	GRAMD1B	MAB21L2	HMGN3
	ABL1	STK39	TNKS2
	UBAP2	DDX39A	ANAPC4
	ANP32A	CAPN3	LETMD1
	FAM216A	ZNF568	RFX5
	NEK11	ATPAF1	PRPSAP1
	RDH16	LANCL1	FAM159A
	CDC25B	NADKD1	NARS
	FAM200B	AC063977.1	PPAP2A
	SLC30A4	DLG1	NUP155
	ACTR3B	GCOM1	HEXA
	GAN	HCCS	GCH1
	TTC8	TTC38	ASB3
	MADCAM1	PCM1	MTR
	KIAA0101	ZFAND4	MRPL9
	CRIM1	RDH14	OR11H6
	ESAM	ARL6IP5	LRP5L
	STAT5B	C19orf53	ATXN3
	TRIM42	GRSF1	LMOD3
	MAGI3	RPS20	ZNF268
	CDR2L	KLF11	CD8B
	AC137932.6	MCM8	PPM1A
	JDP2	RHOH	RPP21
	ZFAND2B	ACOX3	MSI2
	TATDN3	RFT1	SNRPN
	HOXA6	MSH6	MRPL51
	ASB18	ARHGEF9	TRBC2
	EIF1AY	CHML	DCK
	ADAMTS19	NDUFC2	PPP1R16B
	ZNF771	FNDC3A	IGIP
	NUDT10	CCDC43	PSPH
