DFTU	DFRC	DFNC	DFRN
SNORD64	C6orf25	XLOC_012249	CASKIN2
COMT	NBPF7	UBXN11	WDR52
CSHL1	ID4	LLPH	LOC100288602
LOC100132006	XLOC_004141	ZC3H3	PRR14
LOC729324	TAS2R45	CLU	ZNF366
PFKFB4	XLOC_003345	LOC100131094	SPIN4
RUFY2	XLOC_l2_006780	INTS3	LOC100130579
RALGPS1	LOC100131510	PIGX	ZNF285
PAK1IP1	XLOC_003742	IRF3	FANCA
XLOC_012162	XLOC_l2_015039	HDHD3	XLOC_001745
GRAP	XLOC_008957	NAPA	ELAVL2
LOC100133130	ACCSL	ZDHHC9	NDUFV1
SLC48A1	LOC729652	GPC3	WDR27
C22orf37	SNORD11	RAB5B	BPNT1
EFNA3	XLOC_013027	LOC100506767	GATA6
ADORA2A	XLOC_009815	SPTAN1	AMZ2P1
SRMS	BCL2L11	SH3GLB2	LOC100287509
LOC100507018	XLOC_010754	CAMTA2	LOC100506516
APBA1	LOC100505930	INSIG1	LOC283482
XLOC_008225	XLOC_007573	HNRNPUL1	ASPSCR1
MYH3	LOC100128019	SPSB4	LOC100505641
SRRM2	LOC286063	C9orf86	XLOC_013683
XLOC_004050	TRIM15	XLOC_l2_001196	MUSTN1
LOC401188	LOC100506051	COL11A2	XLOC_002935
XLOC_009097	XLOC_011804	XLOC_002951	FAM19A5
XLOC_008573	XLOC_009639	PTK2B	ATP6V1B1
XLOC_013685	FLJ45983	EPN1	DHX34
SHPRH	LOC100132247	OSTalpha	SMNDC1
KIAA0020	XLOC_008236	LOC100287792	XLOC_010360
C15orf62	ALPK1	HSPB1	RCN2
ENDOV	DKFZP586B0319	EML3	XLOC_l2_014982
OR5L1	CCK	SFTPA2	SHC4
CCDC18	NRIP2	XLOC_007406	S100A7A
FLJ30679	XLOC_l2_011309	SPINLW1	LRRC38
NOP58	SZT2	C16orf78	XLOC_008355
LOC100129361	OR2T2	UBA1	CREG1
XLOC_011525	CRYBG3	PCGF1	XLOC_013674
UBL7	XLOC_011080	XLOC_l2_005298	XLOC_l2_001664
ANKRD30BP2	LOC100132006	PARP10	LOC100653014
ERN1	MCOLN3	COX2	TMEM65
ZNF644	XLOC_009456	PLK1	CDC26
ZNF451	PNLIPRP2	PPP5C	CNIH
CTAGE15P	LOC339240	FLJ25328	XLOC_010257
PRSS45	FLJ11710	EIF2C4	XLOC_l2_004546
LOC100653033	LOC100506533	PAQR3	XLOC_008697
LOC497256	XLOC_l2_015803	BK250D10.8	C14orf129
ACY3	XLOC_002117	FMNL1	XLOC_009436
TTL	CCDC3	UCP2	OR2A9P
XLOC_006929	XLOC_001455	FBXL6	XLOC_007819
GRAMD1A	GCGR	TOMM20L	EML4
ETV4	HOTTIP	LOC541467	XLOC_007248
IDH2	LOC100506073	C4orf43	WIBG
CEP95	UMODL1	PTPN6	TBX3
LOC100506123	C20orf103	DGKA	XLOC_003574
ALG11	XLOC_011082	C15orf42	TMEM71
FUT11	CHRNA10	SAFB2	F7
LOC100505799	CCDC144A	XLOC_l2_001206	TNFRSF1B
TIMM44	LOC728716	FCER1G	CACNG8
XLOC_l2_015722	LOC100508177	SGK3	FBXO18
CSRNP1	WDR16	OR10H2	BCL2
FAM127B	LOC100506472	LOC100652993	PAPPA
CCR3	LOC284260	XLOC_005263	FLJ14186
HERC2P7	LOC100506123	PRR12	ZNF770
PHIP	TCN2	XLOC_012800	TSPEAR
LOC92249	DKFZp564H213	LTK	SETBP1
SIT1	SRRM2	IL32	GOLPH3L
RIN3	XLOC_009531	COPE	C16orf70
FBXO27	RALGPS1	LOC100653003	CSPG5
XLOC_005590	OR52M1	CD74	PIDD
NKX2-3	NDOR1	C17orf72	CST9
SHKBP1	XLOC_000253	HPCAL1	PCK1
SNORA45	C1orf138	C6orf223	WNT2B
SNORD104	XLOC_012776	EPHX3	LOC100507222
GHSR	PEG3	PKM2	XLOC_004917
NKX1-2	C7orf43	STAT3	C1orf159
PPP5C	KLRAP1	IL2RG	XLOC_000523
LOC646626	DENR	C1orf172	LOC100507213
XLOC_008244	XLOC_l2_014820	CKB	XLOC_l2_015529
ITGA10	XLOC_002287	TRAPPC8	AVIL
LOC392196	LOC100506650	KIRREL2	EP400NL
CST5	XLOC_l2_000010	SYTL3	UBE2L3
GIN1	DKFZp547G183	JOSD2	OR7C2
RNF40	XLOC_l2_006954	ATN1	PAR5
KRAS	LOC100527964	C12orf35	CRIPAK
ANAPC4	ATP6V1C2	H1FX	GSTM3
FANCD2	FLJ13773	LRRC26	ALG8
NELL1	UBE2DNL	C9orf16	C19orf79
BCLAF1	KRTAP19-7	ELK1	CINP
RTN4R	CTAG1A	SNORA2A	HIST1H3E
CAMK1	TAG	TERF2	XLOC_006337
LOC100131820	XLOC_002736	GHSR	XLOC_l2_005517
CLK1	LILRP2	UTP23	RBM6
WBSCR28	TCF21	ERP44	ATP5G1
MACF1	XLOC_008429	XLOC_012709	FBXL17
TMEM8A	XLOC_001274	XLOC_003522	LIMD1
KRT1	KRTAP17-1	MSC	OCM2
PCNA-AS1	XLOC_011403	KRT81	WAPAL
XLOC_004467	XLOC_011786	XLOC_012051	NOC2L
FERMT3	FAM156A	INPP5F	ZNF806
EBLN2	XLOC_001426	MRPL1	DGKZ
CCDC75	VRTN	LOC100506834	XLOC_013040
TPH2	CKMT1A	LOC100505616	TOB1
MPHOSPH10	CD207	XLOC_013955	XLOC_l2_004283
PKN1	WDR52	PARVB	XLOC_000186
ZDHHC18	DNAH10OS	HOXB7	CIB2
PCDHGC4	SCARNA15	ZBTB16	AMHR2
C9orf71	TXNDC3	PDLIM7	BNIP2
TTC22	MGC12488	FAM46C	CTDSPL2
XLOC_005517	MAPK10	RCN2	ZDHHC8P1
C14orf169	XLOC_011282	ND2	XLOC_000236
JUNB	C3orf14	FLJ46446	ZFAT-AS1
LOC154761	CFB	ZNF572	LOC100131878
LOC100506070	XLOC_005729	GSTM4	MTDH
VRTN	PAX5	ERAL1	XLOC_007869
OR52N5	ACTL7B	ATAT1	LOC100509205
LRRC28	XLOC_003883	XLOC_006188	PCDHGB2
VRK3	XLOC_000152	CENPB	C21orf63
TBC1D5	ANKRD37	DTWD1	GJC3
LOC100131035	XLOC_l2_009273	C9orf173	CDKN1B
PTPRN	OR51E1	ETV4	XLOC_l2_009820
MALAT1	XLOC_l2_000900	MOP-1	ATP5J
PGLYRP4	SHPRH	PHF12	DKFZP434F142
ANKFY1	C6orf26	STAM2	IQCH
FLJ45513	DPRXP4	RHOF	STARD13
TCF21	PACS2	SELM	LOC100506540
ANKRD20A9P	XLOC_005185	TBCE	PPP2R5C
XLOC_013711	PCDHGC4	MCRS1	TCF7L1
IDH3G	FLJ45482	MDGA1	Q68PJ0
MAPK12	LCN12	XLOC_008698	XLOC_007615
PURB	LAMA5	RBM45	KPNA4
XLOC_l2_015100	DEFB134	ABCC5	ARHGEF9
C8orf80	FLJ45340	GPR162	MFAP3
