XFTU	XFTU1	XFTU2	XFTU4	XFTU8
Hk3	Obp1a	Zfp429	Mrgprx2	Slc16a9
Hivep1	Utp14b	Abcc4	Igfbp3	Muc15
Aqp3	Cyp2c70	Klk1b26	Tm2d2	Carhsp1
Snph	Aga	Fos	Cyp21a1	Park7
Ins1	Mt4	Traf3ip1	Ndufa6	Rbm47
Vmn2r81	Spopl	H2-M10.4	Fndc4	Ndst3
Cxcl13	Htr3a	Prdm9	Vash2	Aqp3
Mamdc4	Vwa1	Cyp2d13	Rgs7	C8a
Abcd1	B230311B06Rik	Lce1b	Zbtb46	Nsmce1
Ensa	4930555F03Rik	Rgs9bp	Nrn1	4930402F06Rik
Tubgcp2	Sp6	Tnfrsf25	Msl2	Gpr22
Acp6	Tbl3	Spag6	Gak	Arhgap29
Plrg1	Dpp7	Lrrc10	1700123O12Rik	Trim54
Zmynd10	Klf14	Pole	Klk12	1700105P06Rik
Flot2	7530428D23Rik	Vwce	Greb1	Helz
Med29	4931431C16Rik	Krt33a	Ppm1b	Zfp120
Nlrp6	Abi3	Mmp25	Nasp	D830030K20Rik
Myf5	Adamts6	Ott	mt-Nd5	Pbx4
Hbb-y	Cdk10	B430105G09Rik	Aqp1	Sytl5
Slc15a3	Pnpla5	4930458D05Rik	Zim2	Cps1
Kctd14	2310039L15Rik	Nlrp6	Slc38a5	Bmp15
Hoxa7	Lst1	Bmp15	Scd3	Lhb
Fam118b	Cd163	P2rx7	Spink8	Arhgdib
Ubox5	Lipe	Egfl8	Ssh2	Fbxl17
Ifna7	Angptl7	Pitx2	Atp6v1g2	Rabep1
Krt2	Plekhf1	4930480E11Rik	BC016548	Fn1
Slc22a8	Ikzf3	Dusp9	Oprm1	Kif9
Bambi-ps1	Orm3	Klhdc9	Gpr62	Tfb1m
Lrriq3	Cyp11a1	Chm	Snurf	Ubr7
Prl8a2	Eya4	Ugt2b5	Islr2	Aldh5a1
Pex2	Gpbp1l1	Thap3	Zfp444	Clcn2
Pygo1	Fbxw10	Ddit3	Tsc22d3	Tulp3
Hmga2	Defb40	Nostrin	Ccr3	Samm50
Irx4	Marcks	Foxe1	Pla2g4d	Ckap4
1700047G07Rik	Ddx59	Rbp3	Spink11	Cdc25b
Mkrn3	1700028J19Rik	Ankrd29	A330043C09Rik	Pabpc4
Abca5	Pde6c	Sh2b3	Aicda	Msra
Ing5	A530010F05Rik	Ptpn5	4930522H14Rik	Cd79b
Aatk	Ankrd9	Defb39	Tbc1d9	Fgf3
Gprin2	Polr3d	Ugt1a1	Ralgps2	Wdr90
1700001J03Rik	Als2cl	Dhrs7c	Adamts9	Higd1b
Zc3h12b	Tank	Scube2	Nkx6-1	Pwwp2b
Ddx19b	Cdh13	Fbxo39	Pitpnm1	Id3
Hint3	Calcoco2	Dnmbp	Kmo	Creb3l2
Cytip	Magea10	Plxna3	Nek6	Gipc1
Ankrd29	Trmt2a	Serhl	Slfn1	Slc16a1
Rgs7	Lap3	Eif4ebp3	Plcd4	Asb14
Trpm7	Cyp4f14	Crb1	Nol3	2810408A11Rik
Slco6c1	Thbs1	Mc1r	Iffo1	Tmem62
Sohlh2	Flt3l	4932435O22Rik	Lhx6	AI504432
Cdcp1	Fam118b	Cckar	Vip	Stt3a
Mmp28	Adamts4	Ttc16	1700021P04Rik	Cenph
Nmnat2	Gnat2	Myl3	Ppig	Plcz1
2900092C05Rik	Rsc1a1	Ssxb9	Rell1	Kcnmb4
Foxe3	1700034J05Rik	Cacng5	Cyp3a25	Fhod1
4833428L15Rik	Cars2	Daglb	4930599N23Rik	Slc15a3
Higd1b	Srd5a1	Gprc5c	Sin3b	Rcan2
Sardh	Pigt	Klf17	B230209E15Rik	Stxbp5
1700008H02Rik	Apc	Adam22	Glcci1	Aasdh
Cd300lf	Tas2r107	Lyrm7	Zfp689	Rpusd3
7530416G11Rik	Pex2	Ccl17	Mas1	1110002L01Rik
Cldn6	Ddx55	Med29	Nhlrc1	Ropn1
Lysmd3	Gimap6	Stat5a	Fbxo2	2310011J03Rik
Slc16a1	Taf2	Ccr7	Cpa2	Rab37
Slc10a6	Atg4c	Cdc37	Isoc1	Spata20
Col11a1	Ntrk2	Cenpm	2810408A11Rik	4732465J04Rik
Ppp2r2d	4930455G09Rik	Lsp1	Eda	Fbn1
Socs7	Prkcb	Spib	Glrx5	Impdh2
1700102P08Rik	Lpar2	Cyp2f2	Naif1	Eda2r
Cstad	Arrdc2	Casp8ap2	Iqcc	Rtbdn
Slfn2	Sall1	Klk1b1	Entpd5	Aff4
Rims4	Lmf1	Ccdc40	Lcp2	A930004D18Rik
Mcpt4	Sox17	Ccdc42	Wdr93	Pik3c2a
Aldoc	Fancb	Nipsnap1	Lrp6	Cxcr5
Nkx1-2	Cpne7	Fndc7	Tspan18	Ccr6
Asb7	Dph2	Prom1	Aarsd1	Grin2a
Rbm10	Ankrd13b	Scx	Ddx47	Sirt5
Smox	Hmga2	4933439C10Rik	Vwc2	Peg12
Bhmt	1810058N15Rik	Il17a	Insm1	Stk38
Gpr139	Ucp1	Cyp11a1	Mill2	Phxr2
Kcnmb4	Coro1b	Ucp1	Insrr	B4galt7
Pou6f1	Cp	Tyms-ps	Acaa1b	Aatf
Trpv5	Heph	Arc	Tmem140	Brd3
Cd55	Klra9	Mthfs	1700048O20Rik	Glra2
1810058N15Rik	Klf10	1700123M08Rik	Mos	Nwd1
Rest	Bmi1	Samd12	Taar7e	Hyal6
Krtap15	Clca2	Ifna7	Ttc21a	C920006O11Rik
Tgm4	Sohlh2	Fgf11	4930470P17Rik	Fign
Sap30	Folr2	A630023P12Rik	Cldn2	Itgad
4921513H07Rik	Snai1	Mrgpra4	Pcdha7	Zfp764
Lsamp	Hal	Slc13a5	Cryab	Cd1d2
Cdk10	Ar	Ms4a3	Astn2	Ptpn22
Oas1b	Cxcl13	H2-M2	Rab3b	Nudt16l1
Ctsh	Cntln	Ceacam11	BC061237	Adam33
Samd1	Zfp418	Acat2	Jag1	Mcph1
