SFTU	SFRC	SFNC	SFRN
2210016F16Rik	Lacc1	Mthfd1l	1110046J04Rik
Hspa2	Napepld	1110034G24Rik	Emg1
Ctsd	Cacna2d2	Sumf2	Pvrl3
Rasgrf2	Adamts18	Ripk4	Dnajc8
1110008P14Rik	Ptpdc1	Eftud2	Crebl2
E2f3	Krt12	Me2	Nanp
Gtf2e2	Mtcp1	Rnf181	Gpt
Appl2	Galnt16	Mgat5	Dpy19l3
Aloxe3	Nedd9	Chmp1b	Dnal4
Tpm1	Tox3	Clvs2	Fosl2
Vopp1	Spryd4	1300002E11Rik	Pard6b
Pkd2	Ntsr2	Epcam	Angptl6
Med15	Nrep	Ube2c	Dut
Becn1	Ap1s2	Tnfrsf21	BC018242
Tbk1	Mapk8ip1	Ubqlnl	Ramp3
Wdsub1	Ncf4	Elk3	2310009B15Rik
Col5a2	Fam178a	Onecut2	Cpne9
Stk40	Kcns2	Zmiz1	C8g
Lgals3	Smc2os	Trp53i11	Hsd17b11
Snta1	Lmna	Wnt16	Pelp1
Atp13a4	Nbeal2	Calb1	Wdr45
Irak1bp1	Tmod1	Gria2	Slc31a2
Onecut2	Aspscr1	Ankrd50	Dpy30
Map1lc3a	Trip12	Aco1	Dlgap4
C1qc	Stradb	Ccdc23	Slc50a1
Ncf4	Vwa3a	Eea1	Gtl3
Col11a2	Gla	Edem2	Nkpd1
Nt5c3b	2700081O15Rik	AI846148	Gria4
Smyd2	Pcyt1b	Tmod3	Zak
Cd38	Rragd	Chmp2b	Elf5
Brinp1	Cd200	Ankdd1b	Actr6
Chmp2b	Mfge8	Lcmt1	Tm2d3
Rgs2	Rbp1	Xkrx	Mettl20
1700008O03Rik	Rbbp5	Arhgap42	Hkdc1
Gucy1a3	Cml1	Slc26a11	Tmem144
Gabpb2	Galnt12	Sema6c	Ascl1
Rp2h	Smyd2	Pcdh9	Mapk12
Adcyap1r1	Fam13a	Erc1	Snrnp35
Nipsnap3b	Fam131a	Atp6v1d	Aen
Tbc1d8b	Jade2	Psmd9	Ddx24
Sh3bp4	Fgf10	Htra4	Rrbp1
Dnm3	Map1lc3a	Tmbim4	Mtfp1
Pdzrn3	Ndfip2	Plcxd3	Ddhd1
Trabd2b	Stac2	Mpdu1	Tmem109
Reln	Zfp934	Serpinb8	Tmem47
Syngr3	Wdr91	Eid3	Chrd
Gpx2	Ccdc6	Pdlim2	Golga5
Rasd2	Me2	Exoc3l4	Cmtm2b
Acsl5	Rhou	Scn8a	Mrpl34
Klhdc8b	Cdh13	Lrrtm2	Fezf1
Ccdc82	Lgals4	Ccdc61	Snhg12
Slitrk5	Adcy3	Mdn1	Aimp1
Amd1	Appl2	Nubp2	Rgp1
Efemp2	Gadd45a	Rasd2	Nbn
Tox3	Aqp11	4933407K13Rik	Cenpj
Tpd52l1	2700049A03Rik	Nav2	Cpd
Itih3	Mcm6	1110038F14Rik	4930474N05Rik
Cbx2	Eftud2	Cryab	Limd2
Pdzd3	Rab33a	Ak5	Acer1
Rab11a	Ccdc50	Cdc42se2	Psmg3
Alad	Ptprg	Fam102a	Irgm2
Prokr2	Dlk2	Arglu1	A330076H08Rik
Syn1	Wwtr1	Spock3	Gkn1
Gm715	Galnt7	Gal	Mcm9
Rif1	Cc2d2a	Fam129b	Larp4b
Gla	Rnf8	Echdc3	Map2k1
Cdh13	Tmem47	Ggt1	Asphd2
Lhx2	AI846148	G6pdx	Cars2
Stxbp1	Auts2	Ntpcr	Map3k4
Psrc1	Cttnbp2nl	Nr3c1	Pcnt
Gabarap	Gpr125	Plp2	Ap3b1
Syndig1	Smpdl3b	Vwa3a	Galnt16
Klf6	Apol8	Klhdc8b	Pnck
Ccdc177	Tmed8	Penk	Ulbp1
Psd2	Camk2b	Spcs3	Pde7b
Rgs14	Wdr13	Tle4	Gpc6
Sh3gl1	Umodl1	Igsf9	6330408A02Rik
Cyth1	2610001J05Rik	Zfp934	Pgd
Gal	Sema3c	Pgm5	Epn3
Axin2	Lhx2	Zbtb41	Aqp2
Sccpdh	Nt5c3b	Pqlc2	Mybl2
Rassf5	Nxn	Ptprn2	Gpr61
Icam4	Ptx4	Rgs14	Alad
Epb4.1l4b	Ttc39c	Bcl2l2	Akip1
Aldh2	Ctxn3	Spats2l	Eef1d
Hmgn3	1700008O03Rik	Spryd4	Cdcp1
Cds2	Wdr35	Bri3	Suv39h1
Setd6	Tmc6	Ppp1r16b	Stk11
Ccdc23	Trabd2b	Taz	4632427E13Rik
Nxn	Pip5k1c	Ak3	Gle1
Gm266	Axin2	Galnt13	Telo2
Med13l	Ppdpf	Ice2	Prim1
Fbxl7	Cited4	D430041D05Rik	Vps37a
Mapk8ip1	Agpat5	Cenpn	1500012F01Rik
Ppp2r5c	Rttn	Fnbp1	Aox1
Npc2	Gas1	Zfp691	Hspa4
Atp2b3	Ift122	Bod1	Pithd1
Rps19	Mirg	Pafah1b3	Vps52
Sirpa	Ptpn21	Taf6	Adam8
Fkbp7	Cntn1	Rrp1b	Nudt16
Pgpep1	Tram1l1	Pald1	Wdr24
Cnst	Tbc1d10a	Rnf185	Enox1
Cpne6	Pkd2	Unc80	Sh2d2a
Dact1	Adcy1	Mfap3	LOC102632463
Klhdc8a	Mfap3	Rab12	Tnfrsf11b
N4bp2l2	Sh3gl1	Anks1	4932438H23Rik
Manba	Atm	Fkbp11	Nipa2
Scn1a	Slc35f3	Ppp1r14c	Chuk
Slc25a18	Gck	Rfesd	Mtrr
4930579G24Rik	Rnf11	Fastkd5	Inpp5k
Btrc	Bcl2	Hmgn3	Cenpo
Nrxn1	Ttyh1	Pds5a	Eif3f
Dlk2	Cap2	Tpm1	Eepd1
Abca5	Golm1	Cox8c	Ndufa7
Akna	Rps6ka2	Cyp20a1	5830454E08Rik
Trp53inp2	Hrsp12	Ddx3x	Lpar4
Pafah1b3	E2f3	Nrep	Csnk1d
Mtcp1	Slc30a10	Cmtm2b	Cmss1
Aldh5a1	Aloxe3	BC030499	6330415B21Rik
Greb1l	Tdgf1	Impg1	Dnajc12
Lphn3	Bhlhe40	Mettl8	Fam132a
Krt12	St5	Pvrl3	Tmem9
Cttnbp2nl	Fam129b	Cited4	Kansl3
Mcm6	Ap3s1	Cygb	Cgref1
Rnf152	Prps1	Lix1l	Ift140
Zc2hc1a	Rnf122	Hspa2	Mipep
Fam13a	Mcm9	Cd52	BC029214
1500009L16Rik	0610010F05Rik	Ank	Il17rd
B4galt1	Psma5	Klhl2	Porcn
Pithd1	Fam53b	Gucy1a3	Mapk11
Nrip2	Zmym1	Antxr2	Phlda1
Fam213b	Pgpep1	Cetn2	Tmem186
Syt10	Rtn4rl2	Mia	Sema3e
Ctnnbl1	Sytl2	Chrna1	Pycard
Slc41a2	2300002M23Rik	Rassf8	Ramp1
Tnnc1	Fam184a	Cdpf1	Dclk1
Col6a2	Large	Sft2d3	Rps26
Ap1s2	Rgs9	Pcyt1b	Sh3rf1
Inpp4a	Smarcd2	Lincpint	Gpatch4
Htatip2	Tnrc6c	Bgn	Xkr6
Cdc42ep4	Itih3	Mcfd2	Fign
Wipf2	Jph1	Plat	Ppp1r14c
Cacna2d2	Psd2	Purb	Prdx5
Ss18	Phlpp2	Tnfsf10	Ctsf
Vkorc1l1	Cpd	Rasgrf1	Cdc123
Tbc1d10a	Ccno	Braf	Fam115a
Asb5	Hhip	Atp1b3	Csnk2a2
Sdf4	Polr3g	Greb1l	Arhgap33
Ctsl	Ermn	Unc5c	Tmem222
Tmsb15a	Gabrd	4921524J17Rik	Atxn2
Card10	Tmem178	Lmo1	Npas3
Ctxn3	2900011O08Rik	2810459M11Rik	Ngdn
2300002M23Rik	Matn4	BC035044	Urod
Hip1r	Col3a1	Col25a1	Uqcc1
St3gal5	Adamts1	Spata7	Mical3
Mtrr	Vwa3b	Lmna	Gpn3
Apbb2	Lmo1	Kcnj10	Apol8
Sowaha	9430041J12Rik	Ccdc122	Arpp21
Syt5	Efhc2	Fam118a	Cxcl10
Mertk	Plcxd3	Olfm2	Poc1a
Jade2	Rimbp2	Naa35	Rps4x
Aldh3b1	Nckap1	Tacc2	Lzts1
Gfra1	Fkbp1a	Acyp2	Map2k7
Gpc1	S100b	Ltc4s	Commd5
Umps	Wdyhv1	Gm5617	Mxd4
Emid1	Exosc8	Nim1k	Gpr12
Kcnab2	Adora2b	Mki67	Nfkbil1
Cldn26	Snta1	Fam53b	Maf1
Cacna1g	Rab11a	Rgs4	Ermard
D2Wsu81e	Tbc1d2	1700029I15Rik	Nr2f2
Cabp7	Tmem50a	Msl1	Eci1
Aqp11	Nrg3	Txn1	Ahcy
Rims1	Col11a2	Ccdc82	Taldo1
Kat2b	Spats2l	Aldh3b1	Anks3
Mmd	Rassf2	Prkca	Spag17
Doc2a	Fnip2	AI504432	Scube2
Fam178a	Gypc	Gpx2	Mrpl9
Ostf1	Dnah2	B4galt2	Slc44a3
LOC102632463	Dera	Nhlrc2	Ccdc177
Pkp4	Eepd1	Zfp280b	Add2
Tmod3	Erich3	Cdkl1	Tmem40
S100pbp	Aldh1l2	Tmem14c	Txndc16
Ntsr2	Mapk3	Lamp5	Larp1b
Ubqlnl	Cks1b	Yif1b	Adamtsl2
Arhgef11	Cc2d1a	Pdzd3	Il4ra
Rftn1	Aven	Aste1	Stxbp1
Celf6	Efemp2	Fkbp6	Acsm2
Dnpep	Txn1	1700019N19Rik	Ckmt2
Erbb2ip	Siva1	Akna	Mrpl45
Ilf3	Stx2	Cfd	Mrpl23
Anp32b	Aldh5a1	Med13l	Cep170b
Fbn1	Sstr2	Amd1	Sowaha
Alox8	Crym	Anxa1	Mlxip
Tspan33	Ephb1	Tgfbr3	Ifrd1
Ptpn5	Paqr9	Isoc1	Cdk5
Smpd3	Dek	Fcgr3	Nphp4
Ankdd1b	Osmr	Tmem123	Ftsj2
Ggact	Rpp25l	Ergic1	Klhl8
Unc5c	Inpp5f	Gpn2	Alox5ap
Rbp1	Lmo3	Grhpr	Ski
Rgs9	Gpr153	Akr1b10	Nol12
Prkg1	Papss2	Mme	Fahd2a
Ano6	Rftn1	Atp13a4	Onecut1
Vmn2r29	Otop2	Fbn1	Acbd3
Tuba1a	2610018G03Rik	Baat	Zfp280c
Prdx2	1110017D15Rik	Vkorc1l1	Otop2
Ptgs2	Eml4	Cd14	Mettl7a1
Cntn4	Erbb2ip	Sirpa	Grin2b
Tmod1	Pkp4	Foxp2	Cox7a2l
Grik4	3110039M20Rik	Frmd8	1110001J03Rik
Slc45a4	Cyp2e1	Tmc6	Fgf13
Myh7b	Pycr2	Simc1	Hivep2
Neurl1b	S100pbp	Tmem144	Mc5r
Gabrd	Gstm5	2610018G03Rik	Raph1
Isoc1	Adamtsl2	Slc16a2	Baat
C1qa	Klhdc8a	Cntn2	Tmem238
Zak	Umps	Adora2b	Osmr
Apcdd1	Eqtn	Itga7	Ptpre
Bnip3	Ung	Grn	Rassf5
Cpne4	Emp2	Arap3	Tmem50a
Dcp2	Ctsd	Cnrip1	Ptgs2
C1qb	Doc2a	Slc9a5	Sorcs1
Plp2	Idh3b	Slc27a2	Sypl2
Lrrc8a	S100a10	Plekhg5	Zfp764
Tnfrsf19	Flrt2	Mllt11	Hapln3
G0s2	Supt16	Ryr1	Zfp286
Mccc2	Cxcl12	Sstr2	Fance
Mmaa	Prim1	Rfc1	Gpr83
Adcy1	Timp2	Fads6	Spata2
Bnip2	Brinp1	Sdk2	1810026J23Rik
Sema4a	Usf2	Dusp15	Gabrb1
Antxr2	Nfkbiz	Slc22a23	Rsph4a
Sec1	Plekhg4	1810010D01Rik	Ilkap
Mypop	Rnf157	Tpd52l1	Foxo4
Arfgap3	Psrc1	Mlip	Usp4
Cox7a1	Stxbp3a	Glod4	Nrde2
Galnt12	Lphn3	Gmnn	Gk5
Wdyhv1	Pno1	Angptl2	Slc25a28
Akirin2	Scrn2	St6galnac4	Eqtn
Fam131a	Wdsub1	Zfp180	Echdc2
Zfp580	Zgpat	Kdm3b	Homer1
Pkd1	Zfp711	Acsl5	Plekhh3
Tmem109	Klhl26	Ahcyl1	Bnip3
Slc16a2	Rp2h	Sema4a	Notch4
Erich3	Zfp931	Tomm20	B230118H07Rik
Slc16a11	9830166K06Rik	S100b	Gpam
Rab32	Slc25a18	Polr1d	Rbm44
Thap7	Dusp12	Ulbp1	Cuedc2
S100a10	Btrc	Aif1	Icam5
Nfkbiz	Cars2	Ube2h	Alkbh2
Arglu1	Kif22	Ache	Tgfb1i1
Cldn3	Npy	Ctsh	Gm5148
Ptx4	Nhlrc2	Inip	Vegfc
Gpr125	Marf1	Atraid	Morc2a
Atxn10	Sv2c	Sstr4	Gtse1
Gba	Nipsnap3b	Ctsd	Prex1
Dlg5	Eml6	Socs6	Jpx
Vstm4	Polr2h	Sbf1	Rit2
Lxn	Etv6	Rab32	Ces1h
Podxl2	Gm266	Panx1	Agpat4
Pag1	Nudt4	Pkia	Klhl12
Ewsr1	Asb5	Idh1	Taok1
Lims2	Hip1r	Xiap	Ptbp2
Auts2	Eci1	Nrxn1	Lamtor1
2210015D19Rik	Fastkd5	Manbal	Tspan18
Prkar2a	Ppp6r1	Fosl2	Tomm22
2700081O15Rik	Chgb	Adnp2	Dars
Elac1	Pold2	Tmem151b	Faah
Arsb	Dtd1	Mfsd3	Sh3tc2
Cd81	Gabpb2	Mgmt	Psmg2
Stradb	Dirc2	Pdlim4	Siva1
Gtf2i	Tmem100	Rif1	Chfr
Ctss	Nrxn3	3110040N11Rik	Slc7a6
Cnot10	Acer3	Lrch1	Polr3g
Akap8	Ctxn2	Akap17b	Cep44
Spg21	Psen1	Lhx9	Cdkn2d
Sdk2	Slit1	Cox7a1	Epb4.1l4b
Car2	Aldh2	Atp10d	1700019G17Rik
Parp2	Trim34a	B3gnt5	Isoc2b
Sh3d19	Sertad4	Wdsub1	Med28
Dek	Plgrkt	Nol12	Pde6d
Sf3a2	Slc26a4	Slc2a9	Sstr4
Cgref1	Miat	Sycp2	Bcl2l11
Prmt6	Cdadc1	Htr5b	Nsun7
Ncf2	Pdgfa	Avpr2	Actg1
1700016K19Rik	Frmd4b	Rasa4	Cited2
Prap1	Celf6	N4bp2l2	Map3k5
Phkg1	Kcnip2	Kl	Ndn
Bcl2l2	Ube2ql1	Ankrd36	Adamts8
Ndfip2	Rhot2	Chd5	Mxd3
Fnbp1l	Tekt5	Slc1a1	Gzf1
Rad51ap1	Dapk1	Csf1	Islr
Primpol	Kifc3	Msantd2	Sass6
Gnai1	Batf3	Sirt7	Asb1
Nop56	Frat2	Strbp	Fdxr
Zbtb16	Fggy	Ccpg1os	Zfp473
Ap2m1	Gpatch4	Mmaa	Bcl2
Stambpl1	Me1	Zeb1	Rpusd3
Nedd9	Il20rb	Csgalnact1	Mettl7a2
Wnt9a	Ppp1cc	4930452B06Rik	Mrpl2
Huwe1	Nanp	Nrip2	Itpa
Zbtb41	Wipf2	Cspp1	Ino80
Rab33a	Mthfd1l	Tmed8	Mrpl14
Iqgap1	Zyx	Smurf1	Dhrs7
1810010D01Rik	Zc2hc1a	Caml	Chd1l
Lyz2	Sema5b	Inpp4a	Fam219a
Cyb5r3	Trpt1	Rnf31	Snx15
Rbbp5	Inhba	2010107G12Rik	Sfr1
Dapk1	Napa	Amigo1	Hmgcr
Fnip2	Kctd4	Mgat4a	Timm10
Krt77	Ano6	Tgfb3	Tdgf1
Rasl10a	Nefh	Uhrf2	Cby1
Eml4	Edem1	Tmed1	Lsm4
Wisp1	Uqcc1	Hint3	2410131K14Rik
Vat1	Atp13a4	Hrk	Vmn1r58
Mxd1	Sypl2	Atp6v1b2	Mettl18
Zfp598	Atp2b3	Erp29	Hiat1
Gypc	Rpusd1	Gabpb2	Pex16
Ppp1r3e	Cpne4	Cth	Orai1
Sv2c	Pitpnm3	Vmn1r42	Gdf10
Stac2	Cd93	Tbkbp1	Tnip2
Ccdc6	Nmral1	Eif6	Ctxn2
Laptm4b	Kat2b	Mbd5	Sec24c
Cyth4	Tubgcp2	Zfc3h1	Pigc
Col3a1	Unkl	Tub	Ddb2
Rttn	Dkk3	Itgb8	Zfp711
0610037L13Rik	Add2	Muc16	Gjc3
C2cd2	Bai1	Neurl1b	Zcchc5
Jup	8430419L09Rik	Zswim8	Cenph
Tubb4a	Phf2	Pdgfra	Cox8a
Pkib	F8a	Atpaf1	Pkib
Pip5k1c	Asic4	Cdk18	Supt5
Ppp1r11	Irs1	0610010F05Rik	Dpcd
Epb4.1	Hspa2	Ccno	Poll
Nelfcd	Card10	Colec10	Ifi44
Mfsd3	Ppp1r11	Mum1	Dock3
Gsx1	Prss53	Erc2	Map7d2
Slc26a2	3110035E14Rik	Nipsnap3b	Smad6
Ackr1	Sardh	Pcdhb9	Zfp3
Zgpat	C230004F18Rik	Hlf	Wdr35
Urah	0610037L13Rik	Ccbe1	Sema5a
2700049A03Rik	Dll1	Jup	Robo4
Supt16	Skida1	Ykt6	Ubap2
Myo18a	Fxyd6	Cyp2d22	Sdf4
Abcb7	Mypop	Dbx1	Cmc1
Aven	Podxl2	Pirb	Pqbp1
Ift43	Rif1	Ppp1r1a	Adarb1
Ipmk	Ppm1l	Lyz2	Mab21l2
Lsm4	Glra2	Brinp1	Mios
Fam184a	Gng3	Mamdc2	4930579G24Rik
Grsf1	Zbtb16	Dvl3	Tgfa
Cd52	Acaa2	1700001K19Rik	Col4a5
Clip1	Scn1b	Vrk1	Jmjd6
4930452B06Rik	Telo2	Rp2h	Bag4
Hint3	Tef	Ifitm6	Epn2
Ccsap	Tnfrsf21	Zar1	Tmem101
Tiam1	Acsl5	Clta	Lrrfip2
Bhlhe41	Mbd3	Pcdhb3	Cdk8
Atm	E130119H09Rik	Tha1	Mtap
Sorcs1	Gnai1	Pank1	Stra6
Gsn	Car2	Wdr13	Cnot10
Txnrd3	Flywch2	Fxyd2	Lysmd3
Rabgap1l	6330403A02Rik	Vstm4	Taf15
Ahcyl1	Lrrc8a	6330415B21Rik	Atraid
Rfx1	Cntn4	D3Bwg0562e	Mrps5
Emp2	Wdr31	Nrk	Acot3
Papss2	Acvr2b	Hcn3	Mettl17
Zfhx2	Gnas	A230057D06Rik	Ddx3x
Glce	Tpm1	Tjp3	9430041J12Rik
Sez6l	Glce	Lrrc42	Miip
Sdr42e1	Akap8	Mmgt2	Yipf3
Ubtd1	Nhsl2	Gabarapl2	Zmynd15
Zfp612	Arsb	Mrpl24	Akt2
Rhoq	Snhg11	Osbpl3	Adamtsl3
Vash2	Fam213b	Poc1a	1700016K19Rik
Trim44	Stambpl1	2210011C24Rik	Hectd3
Tvp23a	Foxj2	Serinc3	Mtx1
Eif4e3	Lman2l	Dgcr2	Camkk1
Smug1	Lifr	Ccne2	Galnt7
Cc2d2a	Tpd52l1	Prr13	Fzd4
Lman2l	Tesk1	Tspan2	Mark2
Nrarp	Krt77	Atxn10	Pak7
Omg	Tvp23a	Pnck	9130401M01Rik
Slc12a5	Rdh12	Zswim7	Fam71d
Gm11744	Gfra1	Nudt8	Hsph1
Itga6	Ywhag	Fgf4	Nrsn2
6330403A02Rik	Amd1	Sgk1	Orc4
Utp14a	Gopc	Atp2b3	Extl2
Clns1a	Tbc1d16	Spg21	Cacna1f
Ppic	Twf2	Paip2	Fam69b
Shcbp1l	Vgf	Epn3	Hoxb13
Ctps2	Dand5	Sepw1	Cln3
Sgk1	Il16	Mex3a	Eaf1
Ttyh1	Mmd	Kcnu1	Trappc6a
Nhsl2	Rspo2	Arl6ip5	Igj
Elmsan1	Pak1	2210015D19Rik	Prss36
Inha	Tdo2	Snta1	Vcam1
1110017D15Rik	Kansl3	Pde6c	Rapgef6
Galnt18	Ddx26b	Col11a2	Dnmt3a
Tmem100	Wnt9a	Chst2	Brca1
B3galt2	Pcolce2	Srsf7	AI429214
B4galnt1	Parp2	Clip1	Anp32a
Cox6b2	Kcnd1	Capn3	Slc1a1
Paip1	Smpd3	Slc26a2	Mus81
Sept9	Paip1	Desi1	Rbfa
Sytl2	Tgfbr1	Rasgef1c	Tmem234
Slit1	Hs6st2	Fam195b	Got2
Cd83	Prkar2a	Aldh2	Rsad1
Gria2	Cenpv	Plec	Ebpl
Kcnip2	2810032G03Rik	Flcn	Ppp6r1
Nek7	Cdk14	Tmem79	Mrpl51
Nup88	Zfp949	Tmem161b	Slc46a1
5033430I15Rik	Cdr2l	Kdm2b	Tagln2
Matn2	Rap1b	Plxnc1	Adcyap1r1
Spcs3	Cisd1	Cd300a	Araf
Arap3	Lphn1	Pknox2	Hdac4
Dera	Pag1	Tnfaip6	Tars2
Dgki	Gpx2	Akr1c19	Pitrm1
Cep76	Zfp664	Zmynd15	Paxbp1
Hk2	Arid3b	Sema3a	1700109K24Rik
Cd24a	2810428I15Rik	Fam213b	Fras1
Zfp37	Btbd19	Arhgef3	Agrn
Phka2	Ccdc82	Olfr16	Rxrb
Zswim7	Prmt6	Basp1	Dnajc9
H2-K1	Ccsap	Slc26a6	Vta1
Nudt4	Pdzd3	Sec1	Osbp
Csdc2	N4bp2l2	Krtap5-1	Sec24a
Mirg	Slc16a11	Cd151	1500004A13Rik
Fam117a	Tnfrsf19	Brwd1	Tiam1
Ndufs7	Gucy1a3	Fnbp1l	Olfm2
Lrrc42	Tuba1a	Rep15	R3hcc1
3110040N11Rik	Adam11	Slc45a4	Tctn2
Eid3	Brpf3	Acot6	Scnn1a
G6pdx	5033430I15Rik	Creg1	Ucp2
Tnfrsf25	Rpap3	Gm15800	Ubn2
Ptplad2	Iqgap2	Pcdh8	Phf20l1
Adra2c	Plk2	Extl2	Inpp5f
Coq7	Tmem81	Aloxe3	Zfp592
Cdr2l	Gls	E2f3	AI837181
Rtkn	Nefm	1600012H06Rik	Magee1
Tubb2b	Chrm1	Ccdc71l	Zfp955b
Liph	Ak4	Asb6	Fmn1
AI464131	Gtf3c5	Fam206a	Zfp874a
Bai1	E2f1	Tbccd1	Krt71
Ipo9	Gfpt2	Car5b	Apba2
E2f1	Ltbp3	Taldo1	Stard4
Brpf3	Gpr146	Psrc1	Bax
Bckdhb	Naa38	Dync2h1	Fuca1
Sin3b	Crocc	Tnik	Zfp28
Slc5a5	Ggact	Fut4	Cks1brt
Rph3a	Me3	D17H6S56E-5	Cenpq
Calhm2	Pcnt	Gsn	Naf1
Nrg3	Fam132a	Coq7	Ccdc137
B4galt2	BC030336	Srgap1	Ypel4
Gnas	Med13l	1700037C18Rik	Tbcd
Zfp703	Ina	Rab42	Socs2
Mfap3l	Nrxn1	Gm266	Rasa2
Sf1	Zfp580	Wdr44	Ccdc91
Tmcc3	Atp6v1a	H2-K1	2010308F09Rik
Fra10ac1	Camkv	Efemp2	Lrrc75a
Me3	Myo18a	Gtdc1	Sec22c
Mkrn1	Rdh10	AU022252	4930483K19Rik
Cc2d1a	Gpr75	Pkd2	Ago2
S100a4	Gabrb1	Nucb1	Tmem81
Ssbp3	Gatsl2	Sec24c	Sap30bp
St5	Esrrg	Cldn3	Grhpr
Gm15800	Tspan5	Plac1	Efs
Baiap3	Arfgap3	Rab11fip3	Glod4
Dok7	Gsx1	Abca4	Dab2ip
Jph1	Anapc13	Ift43	Ihh
Rnf169	Sirpa	Zfp703	Wbp5
Ifi27l2b	Grik4	Zfp57	Gm527
Ltbp3	AI854517	Cacna1a	Icmt
Ctsh	Ep400	Adra2c	Atl1
Acyp2	Nrip2	Bag2	1700040L02Rik
Pld3	Inpp4a	Suox	Ncaph2
Cstf2	Ppp1r3e	5430421N21Rik	Mag
C230004F18Rik	Nptx2	Lrrc3	Wnk2
Zeb1	Gba	Tbc1d2b	Smpd4
Ykt6	Tsen15	Pxmp4	Xkr4
Cdc42bpa	Asxl1	Cd84	Rplp0
Tmem181a	Snrnp70	Nos1	Nphp1
Rab22a	Fibcd1	Obox2	Prss3
Azin1	Onecut2	Zc2hc1a	Sbno2
Cdc42se2	Ppapdc1a	Dcx	Sall3
Aqp4	4930578M01Rik	Rwdd1	Prkg1
Mrpl23	1700052N19Rik	Cox6b2	Gatsl2
Arhgap29	Eif4e3	Cmc1	Atp5s
Pdcd6	Chmp2b	Sat1	Mpnd
Erlec1	Sass6	Pqbp1	Foxj2
Kcp	Ctps2	Igbp1b	Rps3a1
Mn1	Amdhd2	Npdc1	Pabpc6
Tgm4	Bnip2	Mkrn3	Ankrd39
Socs6	Gtf2e1	Igbp1	Mvp
Prps1	Asic2	Rab11a	Ntf3
Nrxn3	Chek2	Tnfrsf8	Pafah1b2
Cdkn2aipnl	Kdm8	Man2a1	Rnd3
Bri3	1700086L19Rik	Peg3	Cdipt
Rgs10	Klhdc8b	Gm608	Ankrd24
Adamts20	Il15ra	Ewsr1	Smek1
Fancl	S100a4	Gfra1	Slc26a4
Hmgb3	Sult6b1	2310022B05Rik	Mageh1
Nudt16l1	Med15	Ensa	Csf1r
Cpne9	Rasd2	1700026D08Rik	Wars2
Cd151	Txnrd3	Tnni3k	Rtn4rl2
Lmo3	Hmgn3	Mccc2	Med20
Anxa5	Nek7	Scrg1	Pcca
Chrd	Akirin2	Timm22	Ube2m
Map3k4	Plxna3	Vash1	Mxd1
Dusp15	Myeov2	Smarcd3	Rnf32
Galnt7	Pole3	Tnfrsf9	Arhgef15
Scrg1	Nfxl1	Ccndbp1	Prpsap2
Adnp2	Akna	Ap1s1	Cntn5
Stxbp3a	Rem2	Lrrn3	Fat4
Prr13	Hiat1	Appl2	Mia3
Psd3	Mccc2	Zfp612	Sys1
Abcd3	Gpr176	Mmd	Cabp7
Mocos	Scpep1	1110007C09Rik	Spcs2
H2-D1	Trpm3	Ccng2	Mapk3
Ckap4	Pak7	Trem2	Ccdc28a
Defa-rs7	C2cd2	Rgs17	Ms4a1
Pdrg1	Ccdc157	Mib1	Ergic2
Specc1	Mdga2	Ebp	Ccnyl1
Hcn3	Rfx1	Calhm2	Tmem242
Chrdl2	Sh3d19	Grik4	BB557941
Cryab	Fam173a	Epdr1	Mrps9
Sgsm3	Neurod1	Vps13c	Tlx3
Il10rb	Anp32a	Gm10804	Klhl21
Mbd3	Slc45a4	Ggact	Spop
Stxbp6	Rab40b	Slc35a5	Ecsit
Tmem79	Sept9	Cenpj	Nek1
Cep152	1810058I24Rik	Adamtsl3	Cenpe
Mien1	Usp32	Fibp	Ap3s1
Ppap2a	Cdon	Csn1s2a	Gm20362
Izumo2	Uhrf1bp1l	Ccdc32	Chka
Kirrel3	Rgs14	Ppp3cc	Nprl2
Lgals3bp	Zhx3	Btrc	Stpg1
Plxna3	Nfasc	Angptl4	Ints4
Dpp3	Chil1	Psma7	Phkg1
Napb	Pcca	B2m	Akap6
BC030499	Hap1	Casp8	Fcf1
Arhgap19	Pik3ip1	Ninj2	Top1
Large	Gdpd3	St8sia2	Tmem184b
Top2b	Ndc1	Trim8	Spdyb
Golm1	Arf4	Slc17a6	Lhfp
Miat	Cd81	Romo1	Pbk
Arhgef3	Psmc3ip	Slc25a18	Flna
Ywhag	Snrnp35	Cabp1	Golm1
Timp2	Bckdhb	Sdc1	Kl
Xiap	Smc4	Fzd7	Ufc1
Rgs17	Trak2	Nt5c3b	Rps14
Pdlim2	Becn1	Tuba1a	Rbm25
Ercc6l2	Utp14a	Liph	Bhlhe41
Hsp90b1	Gal	Card10	Plk2
Sat1	Elmsan1	Pde7b	Tbc1d16
Nfxl1	Omg	Tmem160	Ezh1
Polk	Fhad1	Paqr6	Zkscan14
Nrbp2	Fyco1	Wipf2	Cys1
Gabarapl2	Shcbp1l	Ppp1r3g	Fbxo5
Erc2	Eif1b	Clec16a	Osgep
Unc13b	Vopp1	Bnip2	Amer3
Irs1	Hist2h2be	Tmem147	Lhfpl3
Id3	Rbx1	Nrarp	Dcpp1
Asxl3	Iqgap1	Adarb1	Ptgr1
Rtfdc1	Fam45a	Scml2	Ptgfrn
