SFTU	SFRC	SFNC	SFRN
Nrsn2	Pnma2	Sorcs2	Me1
Grp	Ptbp3	Manba	Ciao1
Pck2	Negr1	Cd1d1	Hapln1
Kcnf1	Pcdh11x	Plekha2	Mamdc2
Oit3	Dgkb	Ralgapa2	Lemd1
Vipr1	Ppp1r14c	Ddr1	Zfand2b
Ddr1	Cadm3	Dcc	Med24
Ntf3	Fam206a	Slc6a1	1110032F04Rik
Cxadr	Ar	D16Ertd472e	Tssc4
Gda	Gfap	Pde4b	Ube3b
Sfrp4	Uchl1	Smpdl3b	Exosc8
Bcl6	Dpysl3	Ecm2	Necab3
1700017B05Rik	Tmem144	Prdx2	Yipf1
Tspan18	Acot5	Foxq1	Sugt1
Flt3	Arhgef15	Calb2	Trip12
Cd68	Kcnf1	Rgs13	Gtf2f1
Il27ra	Kcng2	Lcorl	Osbp2
Fam160a1	Il27ra	Brd4	Zmym1
Calb2	Tor1b	Hsbp1	Apbb2
Il1rapl2	Trnp1	Ddn	Kit
Rbm24	Fosl2	Nbn	Emid1
Vti1b	Ier5	Plekhg4	Dbx1
Entpd3	Chd7	Fbln2	Ang
Pla2g2d	Entpd3	Stx7	Fhad1
Lhfp	Snrpb	Osbpl1a	Lrp1
Homer2	Lrrn3	Gfap	Mta3
Mcu	Fhl2	0610031J06Rik	D230025D16Rik
Nanos1	Col6a1	Stard13	Cdkn2aipnl
Rpsa	Ints6	Med22	Ahsa1
Negr1	Lrp1	Ube2e3	Tarbp2
Ube2e3	Acot6	Pck2	Ednrb
Tmprss2	Icam4	Oit3	Rnf167
Grb14	4932441J04Rik	Fat4	Ubxn11
Fam189a1	Man2a1	Flt3	Il20rb
Ddah2	Ddn	Mn1	Hp1bp3
Sept8	Dab1	Batf3	Use1
Prdm11	Fbln1	Ccdc134	Cdca8
Idnk	Diap1	Parp8	0610011F06Rik
Zfp804a	Foxk1	Tagln3	Ms4a2
Leprot	1700017B05Rik	Man2b1	Mnat1
Ecm2	Bcl6	Ddx26b	Snrpf
Ptbp3	Pnck	Tac2	Trmt112
Kcng2	Cxadr	Zfp462	Park7
Rnasel	Olfm2	Bcor	Napepld
B3galt5	Ipmk	Wbp1	Man2b1
Cxx1c	Sstr4	Olfm4	Daam1
Ppat	Tenm1	Fndc3a	Actn2
Sh2d5	Bdnf	Dock11	Dcps
Palmd	Nanos1	Cdc20	Polr2i
Mpdz	Efr3a	Sh2d5	Chd5
Bcor	Ppp1r13b	Pxdc1	Kat8
Ier5	Grhpr	Nampt	Tjp3
Pnma2	Grb14	Bach1	Fgf10
Zfp462	Tmeff2	Hsph1	Lgals4
Shisa5	Sox8	Tor1b	Dcxr
