SFTU	SFRC	SFNC	SFRN
Iglon5	Fam189a1	Nmbr	Prr9
Sema5b	Arhgef15	Pvrl3	4930513O06Rik
Parp8	Tmem144	Grp	Igsf21
Adamts18	Gck	Frzb	Ifnar2
Nrip3	Rgs4	Adamts18	Tac2
Mmp17	Hdac1	Tor1b	Fggy
Slc9a5	Pfkp	Capn3	Slc25a13
Dapk1	Pafah1b3	Grb14	Krt2
Serpina3n	Ccbe1	Rps6ka2	Gm10804
Parvb	Golm1	Fam206a	Parvb
Mfge8	Dusp26	Csmd3	Shisa7
Hdac1	Il27ra	Ctdspl	Smcp
Fam206a	Il16	Nrip3	Mettl7b
Pxdc1	1700017B05Rik	Sept9	Ntf3
Klhdc8b	Trabd2b	Lacc1	Msmb
Pgm5	Fgf18	Ypel5	Cry1
Tbc1d8b	Slc27a2	Gm10421	Abcc8
E330009J07Rik	Sox8	Prkab2	Taf13
1700017B05Rik	Smyd4	Ranbp3l	Klk4
Clvs2	Gm10421	Panx1	Plk2
Pdzrn4	Cdhr1	Fndc5	Nt5dc2
Lrrtm1	Bach1	Tpm1	6430710C18Rik
Gck	Tmc6	Rasd1	Kmo
Cxadr	Cyth4	Ar	6430548M08Rik
Ramp3	Tpm1	Kcng2	Prss23
Gadd45a	Sorcs2	Lrpap1	Camkv
Nampt	Slc1a1	Pcdh11x	Ergic1
Lacc1	E330009J07Rik	Lmo2	Wwtr1
Kcnk10	Gypc	Cxadr	Fhod3
Kif21b	Slc6a1	Ibsp	Rbp1
Dcx	Mfsd12	Pappa2	Sowaha
Fam134b	Prkab2	Fam134b	Cct6b
Rap2a	Ints6	Arpp21	Otof
Pald1	Sh2d5	Pdzrn4	Wdr91
Il16	Pdzd3	Phka2	Pcdh7
St6galnac5	Tor1b	Lrrc10b	Gimap8
Lmo2	Gpr12	Parp8	Asgr1
Lemd1	Man2a1	Nampt	Cep152
Ccbe1	Diap1	5830411N06Rik	Psen1
Lrpap1	Sema3c	Rap1gap2	Lhfp
Prokr2	Fhl2	Gm1673	Sstr4
Pafah1b3	Bgn	Sgtb	Lypd1
Ppp1r13b	Pald1	Pde4b	Enpp3
Ddx26b	Cck	Slc9a5	St6galnac1
Foxq1	Ier5	Fastkd3	Fam160a1
Cck	Nrip3	E330009J07Rik	Ednrb
Gfap	Rap2a	Dapk1	Lemd1
Flt3	Ntf3	Hdac1	Edem1
Sorcs2	Ptbp3	Med15	Agpat9
6430548M08Rik	Fam124a	Nrarp	9430037G07Rik
Cd24a	Lpin2	Klhl40	Parp8
Pdzrn3	Actn2	Gfap	Cd82
Rap1gap2	Cygb	Tbc1d8b	Mamdc2
Bdnf	Ppic	Pdzrn3	Ccdc67
Kl	Gadd45a	Pfas	Dpy19l3
Sec14l3	Flt3	Plekha2	Camk1d
Cyth4	March1	Spg21	Ltbp1
Rgs6	Asic4	Prorsd1	Bcl2l15
Me3	Acsl5	Parvb	Uba3
Laptm4b	Aloxe3	Kcnip3	S1pr3
Tac2	S100pbp	1700017B05Rik	Pitpnm3
Lrrc10b	Ptprn	Cdc20	0610010F05Rik
Slc7a14	AI504432	Gadd45a	9030619P08Rik
Lrrn3	Kitl	Mfge8	Tmprss5
B3galt5	Bcor	Hist2h2be	Ptgis
Sox8	Cpne9	Mdm1	Hs3st1
Nfxl1	Igfbp5	Pxdc1	Arfgap3
Irak1bp1	Kcnip2	St6galnac5	Relb
Esyt3	Laptm4b	Eno2	Eno3
Caln1	Adamts18	Pdgfa	Hist2h2bb
Kcnip3	Prokr2	Pparg	Col25a1
Dusp26	St6galnac5	Nsg1	Amdhd2
Prkg2	Greb1l	Cd68	Cast
Abcc8	Rxra	B4galt1	Krtap19-1
Slc1a1	Kl	Il15ra	Kcna5
S100a6	Esyt3	Rap2a	Mettl4
Crym	Iglon5	2900011O08Rik	1700019B03Rik
Apcdd1	Eml6	Prokr2	Hagh
Cd68	Nrsn2	Pald1	Zmym1
Nbeal2	Efr3b	Clec7a	3930402G23Rik
Pcdh20	Pcdh20	Gck	Lcorl
Eno2	Jph1	Clvs2	Ndfip2
Fbn1	Sdk2	Caln1	LOC102638722
Rasd1	Socs2	Pdgfra	F9
Il15ra	Osbpl3	Cobll1	Abhd15
Asic4	Pdzrn4	Ramp3	Arhgap29
Sdk2	Sec1	Il16	Pak7
Plp2	Myh3	Flt3	Muc5b
Nsg1	Ecm2	Sec14l3	Tmem123
Spg21	Rgs6	4933402C06Rik	Chodl
Cdh7	Calb1	Cck	Grp
Lcorl	Nampt	Osbpl1a	Hkdc1
Tgfa	Prkg2	Kcnk10	Ddb2
Zfp37	Kcna5	Odf4	Hmgcr
Pparg	Tub	Kif21b	A4gnt
Diap1	Mmp17	Nckap1	Acsbg2
Plekha2	Wisp1	Ccbe1	Elf1
Zfp804a	Fam206a	Crym	A430093F15Rik
Uchl1	Serpina3n	Aven	Bach1
Map3k4	Nwd2	Irak1bp1	Crem
Man2a1	Tgfbr2	Anp32b	4930474H20Rik
Hist2h2be	4930578M01Rik	Homer2	Me3
Lmo1	Pdlim4	Rgs6	Tgm6
Rasgrf2	Rfx1	Pafah1b3	LOC102633805
Jph1	Krt10	Clmn	S100a4
Rps6ka2	Sec14l3	Kl	Ctla2a
AI504432	Fbn1	Lemd1	Thap3
Ncan	Lhfp	Nbeal2	Ppp2r5c
Tagln3	Elfn2	Hhip	Fgf8
Il17d	Acvr1	Sorcs2	4930502E18Rik
Matn4	Ackr1	Ppp1r13b	Crybb1
Exoc7	Mapk8ip1	Ddx26b	Astn1
S100pbp	1110008P14Rik	Matn4	Hpse2
Trnp1	Rasgrf1	Wnt9a	9330151L19Rik
Pkd1	Cadm3	Nfkbiz	Bdnf
Clmn	Map3k4	Rwdd3	Pvrl3
Csf1	Nt5dc2	Apcdd1	Fbxo27
Slc27a2	Iqgap2	Lmo1	Ssr2
Umodl1	Card10	Plp2	Kif21b
Acsl5	Sema5b	Cldn3	Camkk1
Iqgap2	Gfap	Zfp804a	Bgn
Pfas	Trp53i11	Laptm4b	Lamb3
Sox11	Oit3	Exoc7	1700010B08Rik
Rgs14	Ncan	Mtss1	Slc6a1
Rasgrf1	Trp53inp2	Il17d	Fn1
Pdgfa	Rasgrf2	Mapk10	Hsf2
Cd1d1	Mpdz	Slc25a37	Lamp5
Trim67	Pkd1	Slco5a1	Adamtsl2
Rwdd3	Trnp1	6430548M08Rik	Srgn
B4galt1	Lpar4	Esyt3	Dnhd1
Dpy19l1	Plcg2	Shisa4	Cttnbp2nl
Zfp462	Cap2	Prkg2	Tmem81
Fstl1	Cd38	Pir	Vstm4
Acvr1	Cxadr	Acer3	Dock11
Shisa4	Dscam	Umodl1	Dhcr24
Draxin	Nt5dc3	Cyth4	Cacng5
Antxr2	Efr3a	Klhdc8a	Txnrd3
Fra10ac1	Fam134b	Bdnf	Bves
Mcfd2	Pnck	Cdh7	Adamts10
Foxk1	Ndfip2	Tagln3	Grb14
Osbpl1a	Uchl1	Fbn1	Art2b
Iqgap1	Irak1bp1	Zfp462	Kpna2
Fndc5	Zfp423	Zfp37	Efr3b
Sec1	Sox11	Erg	Atp2b3
Zfp423	Apcdd1	Cd1d1	Slitrk5
Aven	Pdzrn3	Me3	Ptbp3
Rxra	Cdh7	Sox8	1700018A04Rik
Nckap1	Fam13a	Prdm8	Csf2rb2
Ints6	Kmt2a	Lrrn3	Dscam
Myh3	Rgs14	Tac2	Gm5129
Nos1ap	Lacc1	P4ha2	Hs6st1
Ahcyl2	Csf1	Pcdh20	Itpr1
Prdm8	Zfp37	Oma1	Apold1
Slc25a37	Lmo2	Adamts1	Wbscr28
Flywch2	Mcfd2	Sdk2	Pitpnm2
Tgfbr2	Col3a1	Stk4	Calcb
Arhgap42	Crym	Dpy19l1	Sox17
Elfn2	Plp2	Uchl1	Mcam
Chgb	Fnip2	B3galt5	Sox15
E130012A19Rik	Nbeal2	Calb2	Dsc3
Mpdz	Cpne6	Dusp26	Tub
Ranbp3l	Ltk	Slc1a1	Csrnp1
Osbpl3	Rap1gap2	Fra10ac1	Esam
Wdsub1	Chek2	Asic4	4930412B13Rik
Trp53i11	Lrpap1	Rasgrf2	Krt10
