SFTU	SFRC	SFNC	SFRN
Psd3	Mettl7a1	Dok7	Drd1a
Fam129b	Pcdh19	Fibcd1	Clec1a
Porcn	Mettl8	Ulk2	Scnn1a
Creg1	Fndc5	Spryd3	Ramp3
Zfhx4	Ccdc85a	Akap17b	Ttc29
Stk10	Hace1	Slc35f4	Cpne9
Sorcs1	Fyco1	Fnip2	Gm17399
Fam184a	Atp6v1b2	Sgk1	Snapc4
Itpka	Psd3	Gda	Zfp451
Zmiz1	Gm266	4930578M01Rik	Calhm2
Abhd2	Osmr	Col1a1	3110001I22Rik
Cdhr1	Trib3	Fat1	Epha7
Bhlhe40	Trim67	Sh3d19	4930478P22Rik
Cdh8	Sepw1	Slc26a2	C1ql2
Pkp4	Ccpg1	Rnf19a	Stk38l
Me2	Mgat5b	Pik3r6	Mast1
Pgm2l1	Fam131a	Serf1	Cd46
Fam188a	Lifr	Dock9	Trim14
Ppp1cc	E130119H09Rik	Arhgap28	Clec4n
Lmo3	Card6	6030419C18Rik	Cdc40
Dll1	Rhoq	Spon1	Hyal5
Mast1	Lmna	2700081O15Rik	Vkorc1l1
Mdga2	Diras2	Klk1b24	Zfp953
Tcerg1l	Zfp711	Card10	Shisa5
Crtac1	Spns2	Fam101a	Rhoj
Zbtb34	Fam118a	Arhgap26	Wbscr27
Aspg	Sorcs1	Tuba1a	Zfp692
Faim	Antxr2	Ctsd	Slc10a2
Tanc1	Mfap3	Setd6	Adrb2
Chd3	Mapk4	6430531B16Rik	Pip5k1b
Myo18a	Pag1	Slc25a16	Axin2
Mettl8	Gabpb2	Ubash3b	Bcor
Aff1	Marcksl1	1500009L16Rik	Nat8
Dnajc16	Appl2	Hist2h2bb	Smco4
Cks1b	Mlip	Txlna	Ankrd22
Idh1	Tgfbr1	Zfp664	Tbl3
Fibcd1	4930570G19Rik	Lrrtm2	Tgm2
Plxnc1	Isoc1	Rab12	Klk12
Tnfrsf21	Shisa7	Fbxo25	Ier3
Setd6	Spag5	Paip2	Ring1
Mmd	Pak7	Grik4	Coq10b
4933402C06Rik	Wnt9a	Trpm3	Il1rl2
Nr3c1	Olfm4	Bgn	Parp2
Fastkd3	Lgals3	Cwc22	Krtap13-1
Ap2a2	2700038G22Rik	Paip1	Acot3
Unkl	Fabp7	Ccr10	Acvr2a
Adamtsl3	Cish	Nt5dc3	Ablim2
Fabp7	Anp32b	Tmc7	Vav1
Trpc1	Prdm11	Ptbp3	Pbk
Lamb3	Spryd4	Tmem178	Acot2
Htr4	Astn1	Bfsp2	Igdcc3
Arsb	Slc41a2	1700048F04Rik	Lrp12
Ntn5	Psrc1	Grhpr	9030612E09Rik
Tmem178	Mgat4a	1110008P14Rik	Wasf3
Igsf1	Tgfb2	Gpnmb	Sulf1
Ppapdc1a	Slc2a9	Ckap4	Bmx
Klhl40	2610018G03Rik	LOC102638722	Plscr3
B3gat1	Zbtb34	Cnrip1	Abhd2
Pdzd3	Dlg5	Card6	Fbxo4
Caskin1	Pcsk5	Gsta4	Sec16b
Sh3bp4	Cenpp	Tpt1	Dusp5
Olfm2	Taf13	Faim	Dapk1
Lifr	Rragd	Diras2	Aifm3
Zbtb16	Ranbp3l	Pbk	Evpl
Tgfbr3	Kndc1	Slc26a8	Dact1
Isoc1	Slc38a5	Dcp2	Fam184b
Ctsd	Homer2	Pdrg1	Plek2
Bhlhe41	Stk4	Lect2	Mms19
Ctnnbl1	Rnasel	Rasl10a	Ccdc85a
Tpd52l1	Slco5a1	Rccd1	Rogdi
Nav2	Draxin	Prc1	Nudt17
Rdh10	0610010F05Rik	Ppp1r1a	1700052I22Rik
Snap91	Nr3c1	Zbtb1	AY761184
Tbc1d16	Rccd1	Slc41a2	2210019I11Rik
Mex3a	Sardh	Gm15471	Smpdl3b
Ppp2r5c	Ndc1	Kndc1	Stx7
2900011O08Rik	Sgk1	Akt3	Sox21
Shisa5	Acot5	Agrn	Hoxc8
Rap1gap	Atp11a	Lmna	Sh3gl1
Paqr9	Snap91	Col23a1	Rasa2
Anxa4	Ckap4	5430417L22Rik	Emp3
Fam102a	Sh3bp4	Pdyn	Zfp689
Pappa2	Dact1	Abcg2	Calb1
Fam114a2	Tm7sf3	Ggact	Nmt2
Srxn1	Rap1b	4933433G15Rik	Mafg
Hes1	Gpnmb	Kcnj10	Rreb1
Cyth1	Tgfbr3	Lamc3	Fer1l4
Car4	Zc2hc1a	St6galnac4	Ccdc57
Tmem164	Cdh8	Iigp1	St6galnac2
Fam131a	Rhoc	Syt17	Ecscr
Scn3b	BC030336	Spag5	Prl7c1
Mcm6	Ifnar2	Bckdhb	Brpf3
Plxdc1	Caskin1	Tnfrsf21	Pde12
Lrp4	Stambpl1	Adamtsl3	Scd2
Hmgn5	Cyb5r3	Srrm4	1700056E22Rik
Adamtsl2	Tspan5	Cish	Vmn1r51
Chsy3	Tmod1	Prkcd	Gbp3
Axin2	Megf6	Kcns2	2810006K23Rik
Fam118a	Prorsd1	Hrk	Shpk
Foxj1	Fam102a	Abca4	Gpr75
Ppp2r1b	Wdr44	Unkl	Bpgm
Pde1a	Ptgfrn	5730559C18Rik	Igfbp6
Sowaha	Nop56	Card11	Stxbp6
Csf2ra	Map1lc3a	Cxx1c	Pea15a
Aldh3b1	2900026A02Rik	Chd3	Erap1
Stk40	Calb2	Tor1a	Akr1b8
Ubash3b	Dsp	Wisp1	Fras1
Dock9	A330050F15Rik	Fam19a2	Cpox
Kcnd1	Spink10	5430421N21Rik	Mrpl15
Mme	Tcerg1l	4933402J07Rik	Ribc1
Paip1	Acer3	Mlip	Pcgf1
Ptchd4	Fam114a2	4930447F24Rik	Yap1
Frmpd1	Apbb2	Kcnip2	Trim68
Hmox1	Rap1gap	Hsd17b10	Zfr2
Gpx2	Prps1	Zmat1	Nap1l2
Atp10d	Pde1a	Rab8b	4930432O09Rik
Mllt11	Fras1	Flnb	Irf7
Spryd4	Chd7	Ctc1	Pttg1ip
2310009B15Rik	2900052N01Rik	Top1mt	Ppp1r13b
Gabrd	Kcnd1	Mme	Ccdc25
Stambpl1	Spata13	Dsp	Miat
Meg3	Bag2	4930474H20Rik	Cacna1d
5033430I15Rik	Inpp5a	Rrs1	Gm12359
Nop56	Cnot10	Rtkn	Cdc42ep3
Ly96	Ewsr1	Hba-x	4930488B22Rik
Gpc2	St5	Aff1	Inpp5a
Agtr1a	Cdk14	4933427G17Rik	Thbs3
Arhgef6	Afap1l2	Golm1	Col5a1
Zfp521	Ipo8	Ankrd50	Dusp26
Cnrip1	Gpam	Tnn	Msn
1700029I15Rik	Plekho1	Ccdc3	Msmo1
Mid2	Mcm6	Gpc5	Trim65
Far2	Zbtb16	Fosl2	Rapsn
Mrpl23	Hmgb3	Wbscr28	Telo2
Mettl7a1	Lct	Tmsb4x	AW495222
Ptgr1	Ccsap	Sv2c	Elmsan1
Nudt4	Gpr19	Ptgis	Tbc1d2
Sv2c	Plxnc1	Rmdn3	Tnfrsf8
Dcaf12l1	Cbr3	Sema3f	Lad1
Zcchc7	Arhgap24	Wnt4	Mctp1
Utp14a	Hlf	Tet2	4930570E03Rik
Brinp1	Hrk	Ephb6	Ptprb
Sh3gl2	Nedd9	Ctsb	Pik3ip1
Mfap3	Pls3	Vash2	Tmem170
Gm608	Tmsb4x	Marcksl1	Lzts3
Vrk1	Cks1b	Mcpt-ps1	Tubgcp2
Itgb8	Cd83	Sds	Sod2
Gfpt2	Ophn1	Agtr1a	Tceal8
Megf6	Ryr3	Rassf2	Nmur2
Pcsk5	Aldh3b1	Pkp4	Odc1
Mpc2	St6galnac4	Igsf1	4930470P17Rik
Aldh5a1	Vps13c	Etv6	H2-T24
Pde7b	Cryl1	Qrsl1	Cdk14
Apobec1	Klhl32	Ankrd37	Mrpl23
Runx2	Zfp692	Pdlim4	Reg3b
Sept8	Frmd4b	3110039M20Rik	Arhgap28
Acaa2	Cd99l2	Dscaml1	Vipr1
Gabpb2	Zdhhc15	Ccnf	Cys1
Gfra1	Dock3	E130119H09Rik	Trib3
Arhgap15	Sccpdh	Plekhm1	1110008P14Rik
Gprc5c	Arhgef3	Dpysl5	Tmem139
Mex3b	Rem2	Six4	Syt1
Zbtb1	Ap2m1	Colgalt2	Pth
Spata2	Mpp7	Renbp	Zfp212
Foxp2	Tnfrsf19	Mapk8ip1	Armcx4
Cd99l2	Cdk18	Krt79	Serpinb8
Serpinf1	Rif1	Lrba	Tmprss4
Adamts1	Pkp4	Rbbp5	Miip
Spryd3	Pkib	D430041D05Rik	Actg2
Icam4	Rdh10	Npr3	Trak2
Galnt12	Slc35f3	Tram1l1	Ifrd1
Elac1	Klf7	Ngb	E230029C05Rik
Shisa9	Dcc	Mgat4a	A930033H14Rik
Fyco1	Med12l	Tlr13	3300002I08Rik
Zc2hc1a	Pop5	Gpx2	Ambn
Dpy19l3	2210015D19Rik	Srsf7	Bmp2
Lrp1	Gfpt2	Ntm	Pabpn1l
Hn1	Slc12a5	Ppp2r1b	Tcstv3
Dnajc27	Cldn3	Fam26f	4930578M01Rik
Tuba1a	Tbc1d16	Ccdc82	Krt79
Zbtb43	Cat	Pdlim7	1700039E15Rik
Vash2	Sulf1	Ppil2	Lrrc19
Txnrd3	Srxn1	Htr4	Fam43a
Mylk3	Pdcd6	Fam189a2	Tpx2
Slc6a11	Tmem164	Cd33	Cyp1a1
Ippk	Nefh	Aldh5a1	Mesp2
Lrrn1	Plxdc1	Lum	Abcb10
Rem2	Gabrg2	Tlr2	Notch3
Lamp5	Pitpnm3	Tbkbp1	Mief2
Slc26a2	Asic2	Pigu	Icam1
Lrrtm2	Pcdh8	Cpa6	Appl2
Podxl2	Foxj1	Gpc1	Oxld1
Cdkl1	Ror1	Abcb1b	Pcolce
Prps1	Cd93	Ctnnbl1	1700034I23Rik
Abcb1b	Acaa2	Suv420h2	Hhat
Serf1	Eno1	Efr3b	Smad7
Thbs3	Ppap2a	Nwd2	Lyz1
Ifngr2	Smarcd2	Herc3	Psma5
Pprc1	E2f3	Gm438	Ahnak2
Negr1	Sox4	Liph	Pxdc1
Rnf11	Ncoa1	Fbxo24	Fgd3
Nefh	Rtfdc1	Dlg5	Dock3
Itih3	Col5a1	Lrmp	Dcun1d5
Csgalnact1	Mylk3	Tspan11	Clec7a
Gm5141	Sept8	Plekha7	2410133F24Rik /// Man2c1os
Iqsec3	Hus1	Rhoq	Pdss1
Avp	Ypel5	Hn1	Chek2
Ccdc28b	Lyz1	Smim3	Porcn
Mtcp1	Ippk	Nkx2-6	Tomm20
Gtl3	Gdpd3	Gip	March5
Zfp664	Rgs13	Tpd52l1	Il31ra
Ggact	Cc2d2a	Gucy2g	Zfp948
Cenpp	Myh10	Insm2	Apon
Trim71	Ptchd4	Dcaf12l1	Siah2
Amer3	Hes1	Mid2	Gprc5d
Flnb	Rabgap1l	Flad1	Vwa3a
Zeb1	Unc5c	Lrp1	Klk1b27
Bckdhb	Nfkbiz	Chek2	Foxl1
Plekhg4	Paqr6	Smarca1	Stk40
Pole4	Htr4	Fblim1	Fat4
Fam101a	2610001J05Rik	Hsd3b3	Adam2
Fgfbp3	Cxcl12	Tmem200c	Ankrd33b
Gpr19	Zfp521	Paqr9	Rtp3
Onecut1	Klhdc8a	Zcchc7	Ecm1
Spink10	Il1rapl2	Slc16a2	Esco2
Colgalt2	Erich3	Necab2	H6pd
Azin1	Gm17597	Hmmr	Nrbf2
Tbr1	Cdkl1	Atp6v1b2	Pgk2
2700038G22Rik	Itga6	Nepn	Csn1s2b
Ewsr1	Tpd52l1	Pip5k1c	Rnf207
Ung	Camkv	Brinp1	Ppib
Paqr6	Nap1l1	Pax3	Scrn2
Trp53	Rbp1	Als2cl	Tbp
Tnfrsf19	Shisa9	Lamb1	2810403A07Rik
Snx12	Aff1	Tnrc6c	Gm996
Rftn1	Stx2	Cks1b	3110043O21Rik
Pcdhb9	Vrk1	Kcnk1	Muc1
Nr2f1	Mtcp1	Angpt4	Usp25
Tbkbp1	Itgb8	Spsb1	Acvr2b
Ccsap	Paqr9	Defb15	Crabp2
Ephb1	Me1	Serpina3i	Pou2f1
LOC102632463	9330151L19Rik	Cdh8	Gbe1
Lamb1	Lphn3	AF251705	Utrn
Cnst	Mex3b	Tnik	Spry2
Fam210b	Nanos1	Fat3	Itpka
Rtkn	Tdgf1	Ak7	BC065403
Bri3bp	Gm4980	Tcerg1l	Rasal1
Ryr3	1810058I24Rik	Acta2	Pnliprp2
Gm11744	Cacna2d2	Txn1	Slc9a5
Ank	Pbx2	Gypc	Ifitm3
Basp1	Adamts9	Akt2	Pop5
Myeov2	Lmo4	Hey2	Rad51ap1
Pcdhb3	Extl2	Rasd2	Sqle
Chrna1	Ccdc177	Plxnc1	Stat5b
Mfsd3	Chd3	Zglp1	Olfr2
Mcm9	Abcb7	Scn9a	4931414P19Rik
Nptx2	Tmem198	Capn5	Cabs1
Rapgef2	Tubb3	Pds5b	Spire2
Asic2	Igsf1	Ebf4	Zbtb5
Cd38	Ctnnbl1	2410022M11Rik	Lins
Nt5c3b	Ly96	B4galt2	Larp6
Ccpg1	Apobec1	Ntf3	Slc16a6
Epha3	Tmpo	Ate1	Clec4e
Cd274	Trdn	Tmem86b	Card10
Cttnbp2nl	Ppdpf	Vav3	Gpr83
Clns1a	Iqsec3	Unc13b	Bhlhe23
Abcb7	Aga	Phf20l1	Numbl
Cyb5r3	Ina	Trim8	Snx6
Lphn3	Faim	Ccl27a	9630033F20Rik
Ache	Nr2f1	Tdo2	0610039K10Rik
Spock3	Hap1	Cc2d1a	Amer3
Fbxl7	Tmem50a	Ptprj	Gcm1
Sfrp4	Arid3b	Hk3	Klf4
Wdr44	Zfhx4	Frmpd1	B230216G23Rik
Mgat5b	Unc13c	Podxl2	Rnaset2a
Extl2	Med15	Ppara	Qrfpr
C1ql2	Far2	Hes1	Ahi1
Acadl	Ubtd1	Foxp1	Fzd6
Srsf7	Tnfrsf21	Krt86	Kras
Cpne6	Amigo1	Tbx5	Psmb8
Rhot2	Slc4a4	Erc2	Elmod3
St5	Atp10d	4930488B22Rik	Rcl1
Ppdpf	Gprc5b	Tbc1d16	Man2a1
Vps13c	Lin7a	Luzp1	Mtg1
Smarca1	Doc2a	Tub	Angel1
Ckmt1	Unkl	Slc13a4	Mroh2b
Isca2	Ctla2a	Ribc1	Ddx26b
2610018G03Rik	Sdf4	Atp10d	Zfp704
Rin2	Adamtsl3	Lactbl1	Psme3
Smpd3	Ube2e3	Sbf1	Zkscan14
Pou2f1	Frmpd1	Prlr	Pdgfrb
Rps6ka4	Ano6	Tmod3	Tdo2
Rhoc	Ptgr1	Emid1	Zbbx
4833423E24Rik	Adam19	Sfrp5	1600015I10Rik
Psrc1	Dab1	Wasl	l7Rn6
Nedd9	Kcnh2	Cdk1	Epgn
Unc13c	Runx2	Syne3	Ept1
Igsf9	Dnm3	Gprc5c	LOC102638080
Taf1d	Htr1a	Smyd2	Ccdc14
Suv420h2	Kntc1	Sesn1	Spef2
Pck2	Fgf5	Sorcs1	Emd
Aifm3	Rps6ka4	Il27ra	Spns3
1810058I24Rik	Mllt6	Rdh10	Elk4
Tle4	Arhgap15	Mdfi	Gadd45b
Lmo4	Basp1	Obfc1	Smc5
Trak2	Slc6a11	Tmem109	Cnot10
Lrba	Wipf2	Srxn1	Nptx2
Slc35f3	Coq2	Pole4	Slc22a8
Ppp1r3e	1700029I15Rik	Ppp1r16b	Mmp14
Nln	Speg	Plekhg4	Fam47c
Rspo1	Arhgef25	2610528J11Rik	Chd7
Syt5	Anxa5	Cd52	2610034B18Rik
Kcns2	Bri3bp	4930452B06Rik	5430421N21Rik
Tada2b	Phlpp2	Dnajc27	Tex43
Pcyt1b	Gm1673	Zbtb34	Irf4
Prelp	Ap1s1	Ednra	Nt5dc3
Pkib	Itih3	1700029I15Rik	Rxra
Gpam	Zbtb43	Sohlh2	Cfh
A330050F15Rik	Fgfbp3	Rbm41	D5Ertd615e
Liph	Setd6	Ajap1	BC048546
Plekho1	Pcyt1b	Pcdhb9	Fam71b
Atm	Syce2	Tmem164	Nme4
Gpr155	Ccno	Mgat5	Capn5
Phlpp2	H2-D1	Plxdc1	Trim2
Grb2	Ppp2r1b	Psd3	5430402E10Rik
Spata13	Rnase2b	Slc52a2	Fam216b
Mllt6	Rbm47	Tnni2	Adamts16
Il17rd	Azin1	Zbtb16	Fosb
Wnt4	Telo2	Cabp7	Metap1d
Unc13b	Pde4b	Chrdl1	Ldlr
Adcyap1r1	Ifngr2	Sipa1l3	Ccdc177
Wipf2	Rnf169	Zgpat	Frzb
Map1lc3a	Fibcd1	Galnt6	E330021D16Rik
Lurap1l	Tbr1	Ache	Defb42
1700052N19Rik	Ank	Bai1	Nr1i2
Gdpd3	Sept3	Foxj1	Kcns3
Col25a1	Tmem178	Fam126a	P4htm
S100a4	Nap1l2	Onecut2	1810026J23Rik
Gucy2g	Gm5141	Rbm39	Mtmr9
Fgf5	Prpf38b	Lrrc8a	Exo5
Ipmk	Il20rb	Ly96	Gpr33
Fzd5	Gpr125	Miat	Ctla2b
Ddit4l	Col6a2	Ptgr1	Mapk12
Nsmce4a	Lama4	Agpat9	Itih2
Hmgb3	Elac1	Sppl2b	Megf11
Nrarp	Slit1	Krt10	Gzma
Tor1a	Megf11	Ptchd4	LOC102632463
Tmcc3	Chrna1	Mapk15	Anxa2
Xkr6	Pmm1	Gria2	Vwa8
Trib3	A830082K12Rik /// A830082K12Rik	Nr3c1	Mycl
Atp2b3	Tubgcp2	Nrg2	Uts2
Acyp2	N6amt1	Dtymk	Pcdhb22
Iigp1	Wbp1	Ptn	Ncf4
St8sia2	1700052N19Rik	Otoa	Aldh1a2
Wfdc18	Stk10	Rab32	Pdgfb
Foxp1	Gpx2	Rchy1	Vwa5b2
Bai1	Nefm	Ccdc88b	Gabarapl2
Scyl2	Bnip3	Creg1	Sox8
Pkd2	Clns1a	Fkbp2	Rap1b
Ipo8	Oma1	Rnf11	Prex1
Cwc22	2700049A03Rik	Plek2	Slc26a1
Grk6	Fam188a	Lurap1l	Igfals
Atp1b3	Ccdc28b	Xkrx	Armcx5
Edem2	Hspa2	Glcci1	Hmbs
Gls	Anks1	Snx12	Rfxap
Traip	Shcbp1l	Zeb1	Nrxn3
Kcnh2	Ctsd	Npy	4930415F15Rik
Ccdc85a	Nup88	4930415F15Rik	Ptprm
Cc2d2a	Wnt16	Asz1	Diap1
Smyd2	Nrxn1	Bhlhe40	Acot9
Me1	Ipmk	Katnal2	Lmo3
Ophn1	H2-K1	Abcc1	Krt77
Col3a1	Ap1s2	Sema3a	Gm13032
Appl2	Pdgfrl	Pkp2	Atp2c1
Gsn	Gprc5c	Far2	Mpp7
Slco2a1	Mme	Elac1	Ttc38
Shcbp1l	Parp2	Npnt	Fbp2
Fastkd1	Mei1	Cdc42ep4	Gm11744
Zdhhc15	Mid2	Galnt13	2310001K24Rik
Pdyn	Kcne1l	Pnma2	Ctgf
Frmd4b	Midn	Tmem144	Spata2
Hspa2	Prelp	Pcdhb3	Phlda1
Chst11	Nt5c3b	Igdcc3	Galnt12
Fnbp1	Brinp1	Grk6	Gjc3
Snapc5	Wbp1l	Htatsf1	Ppap2c
Gramd1b	Dcaf12l1	Caskin1	Prrx1
Insig2	Zcchc7	Rapgef2	Rad50
Erich3	Col5a2	Pgm2l1	Triobp
Gpr61	Atpaf1	Tmem135	Osbpl3
Mir22hg	Mdga2	Selp	Selk
Mertk	Syt5	Rnh1	Atg13
Cd52	Neurl1b	Slc22a4	Lce1a2
2210015D19Rik	Akr1b8	Sfrp2	Pou2f3
Jup	Cdc7	Ccng2	4930404A10Rik
Rpsa	Sgtb	Sox17	Hddc3
Il33	Mirg	Slx4	Mtrr
Rap1b	Dhx33	Stx7	Mmp3
Elk3	4833423E24Rik	Tgfbr3	Hint3
Wnt16	Agtr1a	Sh3bp4	Tspan12
Pcdh19	Mfsd3	Coq7	Sufu
Ctsb	Myeov2	Dtd2	4932414N04Rik
Il1rapl2	Rab11fip3	Vipr1	Ppap2a
Mei1	Nat1	Arhgap15	Col15a1
Lct	Baalc	4930513O06Rik	Fbxl14
Pdlim7	Elmsan1	Cnst	Fam212a
Stxbp3a	Dnajc27	Kcna5	Gm22
Zfp280b	Insig2	Rap1gap	Ms4a4d
Pdgfrl	Ubc	Pnck	Sspo
Omg	Tanc1	Fabp7	Syce3
Eea1	Gsn	Mcm6	Mkl1
Ppp1r18	Rnf11	Runx2	Soat2
N6amt1	Panx2	Sh3bp1	Crx
Srrm1	Prkcg	Msh3	4933433G15Rik
Pdrg1	Dleu7	Aldh3b1	Hivep3
Tmem86b	Stxbp3a	St8sia2	Cts8
L3mbtl3	Bcas3	Serac1	Ftcd
Ntm	Vopp1	1700003H04Rik	Htr1a
Syce2	Atp6v1c2	Zfp521	Zfp873
Rab11fip3	Lhx9	Fam228b	Gtpbp8
Crocc	Reep1	Rhot2	Stx2
Sytl2	L3mbtl3	Pcdhb10	Fam221a
Rmdn3	Samd14	D2hgdh	Trp53inp2
Arl6ip5	Ubash3b	Nt5c1b	Slc1a1
Ppp1r7	Rpsa	Rtn4rl1	Ube2l6
Tug1	Srrm1	Rab42	C2cd4c
Doc2a	Zeb1	Zmiz1	Tfap4
Glrx2	Smpd3	Plekhs1	Cep76
Galns	Adam11	Kif2c	Dok5
Gpr153	Zfand5	Mettl8	Ulbp1
5830418K08Rik	Ctxn2	Snph	Tnip2
Arhgap29	Phka2	Ankrd36	Opn4
4930452B06Rik	Mertk	Xkr6	Slc37a3
H2-D1	Paip1	Ckmt1	Tekt5
Ccno	Cntln	Pck2	Tbl2
Dleu7	Gabarapl2	Epas1	Eltd1
Il1rapl1	Ap2a2	Trim15	Get4
Ttyh3	Sertad1	Cd274	Gm2762
Coq2	Zfp280b	Cngb1	P4ha2
Zhx2	Edem1	Fam114a2	Fign
Adam23	Prr16	Sfrp4	Ppapdc1a
Sepw1	Socs3	Cth	Pkdrej
Dnmt3l	Sv2c	Thsd7b	Cox5a
Snrpb	Mrpl39	Aldh9a1	Gna15
Nsa2	Aldh5a1	Pth2	Nanos1
Cobll1	Cblb	Ccl28	Med12l
Atpaf1	Gatsl2	Fam117a	Gm7173
Coq7	Podxl2	Vdr	Trappc6a
Hlf	Dock9	Fbxo36	Edn1
Pcgf3	Rit2	Bmp1	Gimap6
Il20rb	Fndc3a	Xylb	Pde6a
Mamdc2	Mtmr11	Htatip2	Smo
Baalc	Rnf152	Fam102a	4933433F19Rik
Gabarap	Zmym1	Epha3	Prdm5
Pbx2	Ppp1r3e	Dynlrb2	Trpc6
Srrm4os	Eml4	Prps1l3	Gtl3
Tmem135	Chmp2b	Olfr976	Hic1
Ccdc50	Inpp5f	Vrk2	Serpina9
Nup88	Tmem8	Tada2b	Nrxn1
Wbp1l	Kras	Snap91	Ppp2r5e
Med22	Snrnp70	Lbp	Btrc
Mdm1	Jade2	Me2	Rassf4
Lin7a	Anks3	C1qb	Pcolce2
Prkcdbp	Rala	A930033H14Rik	Mgat5b
Fam135b	Tmem159	Prrt1	Capns2
Erc1	Tnip2	Pde1a	Cnksr1
Rnf32	Nsmce4a	Srrm4os	Adam19
Prkcd	Crtac1	Gimap4	Engase
Lyplal1	A2m	Chst11	Cryl1
Chd7	Lrp1	C1ql3	Vopp1
Arhgap23	Ermn	Omg	1700017G19Rik
Jade2	Tmem189	Insm1	Magoh
Ipo9	Trpc1	Ccdc28b	Fut8
Zfp711	Ssx2ip	Zfp81	Foxd1
Gm17597	Tmcc3	Slc10a1	Dcn
2610001J05Rik	Hs6st2	Itgb8	Selo
Eftud2	Dll1	Dsn1	Syne3
Ncoa1	Kctd5	Isoc1	Tnfaip8
Fam160a2	Cnst	Fxr1	Set
Glcci1	Syt16	Keg1	Nrn1l
Rnf19a	Ppp1cc	Vrk1	Derl1
Clcn5	Hn1	Tnfrsf8	Lama1
Cnot10	Lrp4	Sh3glb2	Pnma2
Anks1	2810468N07Rik	Fnbp1	Slc23a2
Sdf4	Usp32	Sh3bgr	Sphk1
Hes5	2210016F16Rik	Oas1a	Fntb
Dbt	Krt77	Myo18a	Zfp768
Dact1	Cacna1d	Gm13103	Rnh1
Mypop	Snx12	4930555F03Rik	E2f3
Kcne1l	Pkd2	Zbtb43	Phldb2
Raph1	Igfbp7	Aspg	Krtap6-3
Cryl1	Cnrip1	Col9a1	Glt25d1
Thsd7a	Plekhg4	Cml3	Ppp1r3fos
Erlec1	Rspo1	Apobec1	Pan2
Cacna2d2	Efnb1	Ppp1r11	Aebp1
Ankrd55	Mtss1	Dscam	Tnfrsf1a
Tgfb2	Ppp1r7	Fam184a	S100b
2700081O15Rik	Apol8	Uts2	Inmt
Prkcg	Wwtr1	Ddx56	Cdadc1
Ndufa5	Gls	Lifr	Amigo2
Necab2	Pole4	Gm5141	Gpc3
Zdhhc23	Arfgap3	Kcnd1	Lrch1
Cat	Alg11	Ifngr2	Ptf1a
Fbxo25	Mkl1	Taf1d	Sema3a
Plgrkt	Dgki	Nup160	Acer2
Tmem50a	Epha3	Ctps2	Pdcd6
Mrps10	S100a10	Slc6a11	Ccpg1
Daglb	Rnf32	Tnfrsf25	Ubc
Dnm3	Sfswap	Bloc1s5	Gpx8
2700049A03Rik	Fastkd1	Krtap6-3	Akr1e1
Slc45a1	Scyl2	Nup205	Acsl5
G6pdx	Lrch1	Zfp953	Dnajc16
Fstl4	Zyx	2610020H08Rik	Dmc1
Onecut2	Pcdhb3	Smpdl3b	Tgfb1i1
C1qb	Abcb1b	Vpreb3	Ap3b1
Car2	Cd274	Ghr	Itga6
Tmem203	Frmd4a	Rnf39	4930563E18Rik
Lum	Mrps10	Smim6	Pet2
Akap17b	Fgg	Mreg	Naf1
4930570G19Rik	Pcdhb9	Mex3b	Ung
Stac2	Ddit4l	Tap2	Serpinb11
Slitrk5	Rasal1	Slc7a7	Rp2h
Abca8a	Nln	H2-Oa	Serping1
Fam26f	Arhgef6	Fst	Eml4
Trdn	Sytl2	Gm5129	Arf6
Wdr35	Dus3l	Zak	Olfr49
Ptcd1	Uhrf1bp1l	Fam101b	Hivep1
Neurl1b	2310030G06Rik	Zfp536	Myh9
Mtmr11	Gpc2	Idh1	Gpr6
2310030G06Rik	Rpusd3	1700019B03Rik	Med10
Trim8	Sfrp4	Sh3rf3	Larp4b
Mpp7	Fam135b	Eea1	Fry
Hoxa5	Lrrn4	Tbx21	Syce1
Sbf1	Dock10	Itih3	Myom1
Il1r1	Nphp1	Acyp2	Etv3
Fras1	Rapgef2	Zdhhc21	Arhgap21
Arhgef25	Traf5	Cgref1	Skap2
Tmem159	Umps	Sctr	Ctns
Cic	Serping1	Fzr1	Wfdc6a
Gm1976	Wdr91	Bhlhe41	Bap1
Bcas3	Raph1	Glra1	Insig1
Polr1b	Taf1d	Acsbg2	Gfra1
Pdcd6	Gpr155	Zfp612	Mapkapk2
Tmem8	Hhip	Tat	Sept11
Pcdhb10	Pcsk2	Zfp185	Elp3
Cartpt	G6pdx	Casq1	Arid2
Arhgef28	Mmd	Grb2	C920006O11Rik
Cdk14	Gramd1b	Creb3l3	Slamf8
Pigu	Acvr2b	Ap1b1	Elf5
Tspan5	Vash2	Slc37a4	Ccdc114
Plk2	Tph2	Snrnp48	Ifnb1
Med12l	Map7	Sept8	1810012K16Rik
Ccl27a	Pdgfra	Nsa2	Micall2
Rhoa	Peli1	Zhx2	Aurkb
Inpp5a	Mettl7a2	Col11a1	Unc45b
Wbp1	Nek7	Rgs17	Tspan17
Gpc5	Grb2	AI464131	Eif4e
Plin2	Zbtb1	Gfpt2	Myh3
Speg	Stk32b	Aldh2	Grpr
Manbal	Snhg10	E330021D16Rik	Tmem198
Smc4	Adam23	Ndufa5	Kcna1
Pik3r1	Col27a1	Arl6ip5	Scn3b
