XFTU	SFTU	SFRC	SFNC	SFRN
Hras1	Rnf34	Grk5	Icmt	
Timp4	Ipo5	Umodl1	Rgs12	
Lmo7	Tubb2c	Ralgapb	Tmem232	
Pla2g5		Ccno	Hr	
Sema3a	6530401D17Rik	Rpl27	D3Bwg0562e	
Rps15a	Ak5	Shisa5	Cinp	
Hey1	9630041G16Rik	Hist2h2be	Myh3	
Mgst1	Vti1b	Pim1		
Arntl2	Gstm7	Ndufa3	Ndufa3	
Apaf1	Cnn3	Slc25a29	Etfb	
Crls1	Fgf13	Fbxl2	9030409G11Rik	
Ednrb	Bcar3	Csrnp1	E130309F12Rik	
Fbxl2	Zbtb8a	Rspo1	Scube1	
Gtf2e1	Greb1	Uck2	Sema3c	
Chst9	Pcdh15	Snrnp25	Ano2	
	Zcchc14	Ccnf	Pcbd2	
Wee1	Rnf19b	D10Jhu81e	Cyb561d1	
Rgs4	Wnt7a	Padi2	1810019J16Rik	
Gstm1	Phgdh	B3galt5	Get4	
Ano10	Cpxm1	Unc13d	Rasgrp2	
Paqr7	Rps28	Golim4	Hes6	
Cx3cl1	Golim4	Kcnmb4	Tpmt	
Unc5c	Dlg1	Adrbk1	Sgtb	
Ramp3	Gm12824		Stmn1	
Rab11fip4	Gmpr	Il17rd	Bcl11b	
Nudt9	Usf2	Dynll2	Rab6b	
Gabrg3	Dapk2	Adck3	Ankrd50	
Kpna2	Hes6	Capns1	Plcg2	
Magi2	D630045J12Rik	Rps8	Fam136a	
Rpl35a	Tyro3	Olfml2b	Myh2	
Sirpa	Trpv2	Spata13	Slc25a29	
Cdkl1	Rpl18a	Bach2	Egr1	
Tacc1	Drd5	Plek	Nudt4	
Tiam1	Calr4		Cry2	
Trhr	H2-M3	Apitd1	Tmem35	
Ykt6	Krt1	Fbn2	Fgf13	
Cttnbp2	Nsmaf	Cyb561d1	Pygb	
Rph3a	Rnf5	Timp2	Gabrd	
Zfp536	Pkp4	Ephb1	Bcar3	
Atg4c	Bend6	D2hgdh	Prkg1	
Rbm24	Nudt4	Myh2	Gabrg3	
Gja1	Shisa5	Scn3b	Rps28	
Fgf12	Gss	Csf2rb2		
	Tmem188	Adamts14	Chac1	
Srf	Nmb	Rora	Loxl1	
Rmnd5b	Iglon5	Gfap	Csf2rb2	
Fam132a	Kcnj12	1810019J16Rik	Rlf	
Adrb1	Kcna6	Ip6k3	Prkar1b	
Rgs11	Clu	Paqr6	Zmiz2	
	Ing2	Kcnb1	Pygl	
Zfp446	Myh2	5033430I15Rik	Gm4883	
Rps6ka3	Scn3b	Rnf24	Rragb	
Hsd17b10	Gm4838	Nudt4	Dtl	
Xpa	Eif4ebp1	Phgdh	Mapkapk5	
	Sgpp1	Grik4	Sf3b5	
Gng13	Zfp367	Cav3	Marcksl1	
Mlf1ip	Kcnh1	Cltb	Stard13	
Nrl	Cgrrf1	Rhebl1	St6gal2	
Bcl7c	Sf3b5	9030409G11Rik	Gabarap	
Ndufa6	Trpm6	Tmem150c	Mgst1	
Wls	Il1rapl1	Asb11	Arhgef10l	
Serpina3n	Zfp316	Tiam1	Rnf19a	
Igfbp4	Sh2d5	Pygl	H2-M3	
Naaa	D330012F22Rik	Bmyc	Ascc1	
Ap1s2	Bdp1	Rfwd2	Usf2	
Sidt1	Rragb	Ppp6r1	Sept11	
Kctd6	Kif6	Limd2	Nrp1	
Secisbp2	Rorc	Amdhd2	Gm12824	
Serpini1	Steap2	Csgalnact1	D16Ertd472e	
Tap2	D10Jhu81e	Mxra7	Sh2d5	
Agpat3	Ngf	Ptgs1	Upp2	
Kcnk3	Uba52	Nub1	Echs1	
Crlf1	Dcaf12	Zmiz2		
Lyrm2	Cyb5r1	Ccdc113	Kcna6	
Agl	Cdkn1a	Rpl10a	Snrnp25	
Atxn7l3	Zfp105	Tbxa2r	Inpp4b	
Plcb4		Pdia2	Camk1g	
Gatad1	Mc4r	Hrh1	Galnt3	
D3Bwg0562e		Cinp	Myh1	
Diras2	1700045I19Rik	Lrrn3	Cnn3	
Uck2	Clstn2	2900079G21Rik	Prkaa2	
Abcd4	Ppp6r1	Rragb	Tbxa2r	
Rap2a	Pla2g12a	Enpp2	Ccnd2	
Hecw2	Csf2rb2	Cno	Cox6b1	
Dnm1	Rbpj	Map3k4	Cttnbp2	
Slc6a17	Ntm	Uap1	Stradb	
Galntl4	Celsr1	Cthrc1	Gipc1	
Apeh	Sorcs2	Rasgrf1	Rspo1	
Fam136a	Cish	Caly	Kcnb1	
Orai2	Trip4		Cabp1	
Caln1	Caly	Nap1l1	Bean1	
Pcp4	Zfp946	Mgst1	Rps6ka3	
Rorc	Timm23	Slc9a2	Ednra	
Dnahc9	Traip	Rilpl1	Uap1	
Rps28	Mybpc1	Stmn1	Hrh1	
Fbxl7	Hdac8	Fyn	Ngfr	
Anp32b	Fgfr1	Tmsb4x	Lxn	
Dcn	Tmsb4x	Dnajb5	Snrpg	
Ggct	Mamdc2	Celsr1	Rfwd2	
Dab1	Ankrd50	BC018242	Dcn	
Cwh43	Vti1a	E130309F12Rik	Hsd17b11	
Egr1	Slc7a14	Sgtb	Spata13	
Gnl1		Gkap1	Ebf4	
Gabarap	Kcnt1		Tmem14a	
P2rx4	Ptp4a1	Prelid1	Il1rapl1	
Acp5	Eef1b2	Kcnh1	Adamts14	
Smyd3	Cblb	Prkar1b	Lrrn3	
D130043K22Rik	Atp2b2	Cnn3	5730522E02Rik	
Eif1ad	Kcnip2	Pcsk1	Mul1	
Gm6816	Srp14	Ngfr	Stk11ip	
Chchd5	Stard13	Plcg2	Atp11c	
Synpo	Unc5c	Wee1	Kcnip2	
Safb	Prkra	Adrb3	Rpl10a	
Rad21	Asap1	Pbx2	Adam22	
Tmem150c		Tlk1	Cryaa	
Ntm	Syt4	Ddx21	Gss	
Sync	Pmaip1	Tead1	0610007P14Rik	
Necab3	Pik3r5		Kcnu1	
Nup153	Spry2	Ankrd50	5730469M10Rik	
Eif4e2	Gfap	Gemin7	Apeh	
Ppapdc3	Gucy1a3	Stk32c	Mas1	
Rcn3		Cdc42ep3	Nudt3	
Cdr2	Grhl1	Mapk4	Sec24d	
Rnf19b	Fyn	Adora1	Fam149a	
Cblb	Elmod3	Hes6	Klf6	
Pnck	Kcnu1	Atp6v1a	Psma6	
Rpl27	Mtap4	Orai3	Il17rd	
Nos1ap	Sema3c	Gipc1	D3Ertd751e	
Usp5	Eml2	Erp29	Limd2	
	Nme3	Tbc1d9	BC018242	
BC046404		Scn4b	Zfp316	
	Rad51c	Lyzl4	Sult4a1	
Csnk2a2	Amdhd2	Acp5	Comt	
Garnl3	Stmn3	Ak5		
3200002M19Rik	Lamb1	1190003J15Rik	Moxd1	
Dus1l	5430405G05Rik	H2-M3	Gnptg	
Rogdi	Stk39	Tmem49	B4galt4	
	D3Ertd751e	Rps6ka3	Traip	
Zbtb10	Plp2	Ccdc64	Psmd8	
Gm6813	Cdr2	Rgs12	Derl1	
	Osbp2	Kcnj10	Smad5	
Prkcd	Gria4	Psma6	Gpr125	
Ncan	Ctnna2	Gabrg3	Eef1b2	
Setd1a	Dntt	Ppl	Hey1	
Cdc42bpa	Rlf	Chd8	C1ra	
Myh3	Mas1		Slc39a12	
Itga4	Pip4k2c	Ppm1l	Spry2	
Thy1	Ramp3	Adam22	Gfap	
Ppm1a	Josd1	Nsmaf	D130043K22Rik	
Acot9	Grik4	Zcchc14	Nsmaf	
Tusc2	Dnahc9	Snrpg	Tubb2c	
Fam98c	Chst8	Rps28	Accn4	
Clu	Dhx33	Lrrn1	Cdc42ep3	
Kcnip1	Neto2	Dph3		
Ptchd1	5730522E02Rik	Aldh1a7	Rpl27	
Snrpg	Fxn	Rasa2	Mtap4	
Htr2c	Foxred2	Slc4a4	Calca	
Glcci1	Mrpl52	March11	Shisa5	
Chd8	Ttc12	Gria4	Hnrnpab	
Rgnef	Stat4	Ppap2b	Jakmip1	
S100a6	Smad5	Prosc	Etv4	
Zfp961	Gna13	Galnt3	Limk1	
	Ntn5	Fgf12	Grik4	
Habp4	Clstn1	Mamdc2	6530401D17Rik	
Tppp	Tnnt1	Rph3a	Adck3	
Zbtb46	Npb		Ap3b1	
Smap2	Gm5468	Pygb	Lpl	
Chrm3	B4galt4	Traip	Ndel1	
Coro1a	Ramp2	Nfib	Dus1l	
Stk39	Adcyap1r1	Trpv2	Fgf12	
Sh3glb2	Parp1	Lancl2	Xpa	
	Sphkap	Slco2a1	Slc1a6	
Pmpca	Sec24d	Odz1	Mtss1l	
Rhebl1	Ppp1r3f	1700045I19Rik	Aldh1a7	
Erf	Myh3	Spry2	Tor1b	
Tcf4	Sulf1	Cyp4b1	Mctp1	
Rassf3	Scap	Sult4a1	Asb11	
Cnih2	Lsmd1	Prkcb	Stmn3	
Ece2	Mt3	Mageh1	Unc13d	
Stard5	Tpmt	Trip4	Crispld1	
Scn8a	Abcd4	Eef1b2	Mc4r	
Zic3	Pbx2	Ermp1	Mageh1	
Rnf34	Cttnbp2	Mc4r	Tlk1	
Hspa4	Matn4	Snw1	Rnf24	
Tpmt	Shmt1	Neto2	Rps8	
Krt10	S100a6	Myo1e	Mt3	
1810019J16Rik	Nbeal1	Fam160a2	Gstm7	
H2-Q10	Icmt	Plxna2	Spsb3	
Hmgn5	Sytl4	Mas1	Cacng5	
Lmtk2	Prelid1	Dlg4	Cdkn1a	
Epha6	Pin1	Capn3	Cebpa	
F2r	Eml6	Rad51c	Gm4963	
Bhlhe40	1810019J16Rik	Ptgfrn	Dpy19l1	
Tmcc2	Tbc1d2	Sh2d5	Sulf1	
Iglon5	Dnajb5	Usf2	Arnt2	
Rasgrf2	Tbr1	B4galt4	Rorc	
Wbp1	Ermp1	Ramp2	Gna13	
Herc3	Syt6	Stard5	Ptp4a1	
Rps4x	Rps9	Lxn	Mospd3	
Zcchc14	Kcnj4	Flrt1	Tmem49	
Slc24a3	Fgf12	Lrrtm3	Acp5	
Csnk1e	Snw1	Pin1	Syt13	
Ldha		Pard3	Dapk2	
Zbtb8a	Jdp2	5430405G05Rik	Ing2	
Stxbp1	Exoc5	Mapk3	Ncan	
Zfp259	Lyzl4	Cry1	Caly	
	Calb1	Gtf2h3	Ptgfrn	
Nono	Lancl2	D630045J12Rik	Plp2	
Kbtbd5	Foxp1	Ankra2	Ip6k3	
Rlf	Rpl3	Zfp105	Zfp865	
Nod1	Mapk8	Ap2s1	Atp2a2	
Zfp521	Dpy19l1	Rgs14	Dntt	
Vgf	Hr	Nr2f6	Acadl	
Ipcef1	1500003O03Rik	Lrrc1		
Tbc1d2	Hecw2	Comt	Cxcl12	
Plcd4	Acp5	Snx5	BC049715	
Itga11	Thbs3	Tmem188	Gamt	
Tmem97	Cryga	Hnrnpab		
Celsr1	Phlpp2	Sgpp1	Nr2f6	
Acadsb	Pdia2	Etnk2	Tnk2	
Olfr629	Rpl27	Rnf113a1	Mrpl52	
Mboat7	Amot	Slc35f2	Lrrtm3	
Zfp367		Mrpl52	Neto2	
Slit3	Ssb	Rlf	D630045J12Rik	
Rusc2	Cib1	Camk2g	Ptk2	
Trp53rk		Rnf5		
Ngfr	Ncan	Mtmr7	Rad51c	
Myo19	Lyrm2	Clstn2	Zfp180	
Pknox2	Kcnk3	Marcksl1	Folh1	
Galnt3	Hmgcr	Abcd4	Mtmr7	
Rps11	Cdc42se2	Nbeal1	Rps16	
Psmc5	Htr3a	Parp8	Camk1d	
Ivns1abp	Ndufs4	Avpi1	Ipcef1	
Csgalnact1	Stk17b	S100a6	Hebp1	
	Dkk3	Jakmip1	1190003J15Rik	
Thrb	Hrh1	Asb13	Celsr1	
	Znfx1	Mtap6	Gli3	
Hipk3	Zic3	Kcnj12	Zfp467	
Flot1	Asb11	Nono	Flrt1	
Sec24d	Pbxip1	Rnf19a	Wnt7b	
Drd5	D16Ertd472e		Dhx33	
Rdx	Prkg1	Atp2b2	Gm5468	
Bckdhb		Spdef	Aldoc	
Ttc39b	Mad2l1	Ano2	Atp2b2	
Taf5l	Kcnj10	Stk33	Prkcb	
Gm12824	Rnf2	Cish	Cars	
Fosb	Adrbk1	Stard13	Ngf	
Aloxe3	Adam19	Gtf2e1	Epha6	
	Mapk4	Accn4	Kcnj12	
Fbxo27	Itgav	Ing2	Pcdh15	
Vamp2	Cebpa	Drp2	Calcoco1	
Gria4	Rfwd2	Bean1	Dtx4	
	Spata13	Scube1	Pim1	
Arfgef2	Sult4a1	Sdcbp	Plcxd2	
Aamp	Avpi1	Rnf2	Csgalnact1	
Clec11a	Nsun7	Tmcc2	Gm14496	
Lpin2	Spnb1	Calr4	9430023L20Rik	
Rplp1	Dctpp1	Ipcef1	Parp8	
Gne	Ppp2r5d	Epha6	Ercc8	
Cdc42ep3	Rasgrf2	Rpl3	Nrl	
Eif4ebp1	Crls1	Fgfr1	S100a10	
Crh	2410006H16Rik	Ccdc88b	Etnk2	
Mst1r	Zbtb10	Tpmt	Nr4a2	
Slc39a6	Dusp6	6530401D17Rik	Myo1b	
Pex12	Prkcd	Apeh	Fut10	
Myo18a	Ipo9	Plaur	Hist2h2be	
Rhobtb3	Abcc5	Mrfap1	1700045I19Rik	
Sec14l1	Sun1	Mapk10	Drd5	
Ppp2ca	Bcl11b	Dhx33	Prkcd	
Phf23	Naaa	Kcnu1	Wls	
Lrrc47	Sec14l2		Sec14l2	
Hrh3	Ednrb	Fgf13	Rpl27a	
Ttc39c	Leng9	Klf7	Tmem62	
Rad51c	Rpl35a	Mt3	2410042D21Rik	
Shisa4	Lpin2	5730522E02Rik	Rnf113a1	
Smurf1	Tlk1	Ppp2r5b	Mapk3	
Fam49a	C1qbp	Syt13	Slc13a5	
Zfp503		Ramp1	Enpp2	
Ppp1r3b	Rpl27a	Scaf11	Ttc39c	
Pla2g12a	Hsd17b11	Lamc2	Sdcbp	
Cwf19l2	Eif3g	Ecm2	Pcsk1	
St6gal2	Ralgapb	Mctp1	Nmb	
5430405G05Rik	Cog7	Fdxr	Kif1c	
Fscn1	Dlg4	Gna13	Apitd1	
Fgf13	Ovca2	Cyfip2	Drp2	
Inpp5d	Vasn	Ctnna2	Txlnb	
Folh1	Chchd5	Tep1	Fads2	
Timm23	Snrnp25	Drd5	Nap1l1	
Abcb4	Yaf2		Gatad1	
Cdh7	Supt6h	Tab3	Slc41a1	
Chac1	Klf7	Zdhhc12	Adrb1	
Fam149a	Nudt3	Osbp2	Dlg4	
Cd63	Mrpl27	Ttc39c	Prkrir	
Sulf1		Ppp2r5d	Sgpp1	
Ankrd42	Pik3r6	Pmaip1	Ypel5	
Trpc3	Ppm1h	Gstm7	Prrc2b	
Mtor	Gnpat	Rpl36	Mapk10	
Mras	Lrrc3b	Rarres1	Capns1	
Pkp4	Ccdc88b	Nme3	Amdhd2	
Chst8	Rimkla	Ptk2	Htr2c	
Cltb	Uchl5	Slc4a11	Rnf126	
Grin1		Prkaa2	Rasd1	
Ddx24	Cdc42ep3	Id2	Cox7c	
Cyp4b1	Itga8	3110040N11Rik	Mapk8	
Rps27l	Stk11ip	Ckb	Tmed4	
Pcnp	Cenpe		Git1	
Dcaf5	Hist2h2be	Lpin2	Cav3	
Napa	Accn4	Ccnd2	Cdh10	
Slc9a9	Arl4d	Mospd3	Tmem194	
Polg	Galnt3	Ywhag	C1qbp	
Unc5a	Mgst1	Rcan2	Dnajb5	
Polr2f	Tppp	Casz1	Eml6	
Ostf1	Nuf2		Nme3	
Olfml2b	Inpp5d	5730469M10Rik	Rpl3	
	Otud1	Cacng7	Abcd4	
Ccne1	Kcnh4	Bcl11b	Cdc42bpg	
	Spag7	Stat5b	Parp1	
Znfx1	Camk1g	Synpo	Fam49a	
Rpl27a	Rbm25	Zic3	Hsd17b10	
Rpl10	Ppm1b	Gnpat	Myo19	
	Prickle1	Myo1b	Stk33	
Ppp1r3f	Sept11	1810062O18Rik	C1ql1	
Dlg1	Slc4a11	Ppp1r3f	Gprasp2	
Myh2	Chrm3	Rab6	Trpm6	
Cox7c	Dync1h1	Kcnk1	Grhl1	
Cyth4	Tep1	Iqgap2	Ppp2r5b	
Per1	Stmn1	Myo19	Pin1	
Stradb	Adap1	Arnt2	Ippk	
Flot2	Ezh1	Rnf135	Adam19	
B230118H07Rik	Psmb10	Sec24d	Lmln	
Ttl	Stk32c	Hdc	Pfkp	
Mtap7d1	Dcn	Diras2	Rb1cc1	
Stmn1	Adck3	Prkcd	Vti1a	
2610002I17Rik	Lhx3	Tcap	Lhpp	
Tgfbr3	Mageh1	Frmd5	Ecm2	
Ermp1	Dact1	Gstm1	Rnf2	
Nudt4	D130043K22Rik	Gpc4	Relb	
Ibsp		Lsamp	Steap2	
Emx1		Prdm1	Ggct	
1110002B05Rik	Stat5b		Scap	
Eml6	Wee1		Ppp1r3f	
Scn3b	Egr1	Smad5	Crhr2	
Derl1	Tpd52l1	Usp32	Ralgapb	
Papss2		Kcnip2	Prelid1	
Rnf128	Ddx21	Gss	Tbc1d9	
Nsun7	Gadd45a	Znfx1	Top1mt	
Numa1	Rnf19a	Spnb1	Zdhhc12	
Nde1	Parl	Ssu72	Srf	
Sdcbp	Jsrp1	Hsp90ab1	Atp6v1a	
Ascl1	Map1lc3a	Psmb10	Ccnf	
A130022J15Rik	Srf	D3Ertd751e	Leng9	
Lrtm2	Gucy1b3	Atg4c	Llph	
Gde1	Orai3	Gnl1	Ggcx	
Sdf4	Ramp1	Spsb3	Thap7	
Ralyl	Mospd3	Cenpe	Josd1	
Map3k14	0610007L01Rik	Vps33b	Il33	
Pdgfra	Cno	C1qbp	Disp1	
Gabbr1	Ece2	Prrc2b	Cltb	
Asap1	Dct	Amot	Dok4	
Loxl1	Ttc39c	Dcaf12	Mad2l1	
Calca	Cdh12	Sulf1	Cryga	
Plp2	Dbi	Unc5c	Nrbf2	
Heatr7a	Ptgfrn	Nmb	Tmsb4x	
Gnb1	Aktip	Ttc19	Slc35f2	
Dusp6	Rcn3	Dtl	Map3k4	
Nmb		Ndufs4	Shmt1	
Isy1	Tmem232	Inpp4b	2310009B15Rik	
Maea	Stradb		Shc3	
Map4k2	Syt13	Kcna6	Ccna1	
Grik1	Calcoco1	Eif3k	Ppp2r5d	
Rps12	Id2	Llph	Tnnt1	
Avpi1	Zfp961	Ipo9	Sytl4	
Lrrc48	Rasa2	Vti1a	Chrna7	
Tmem232	S100a10	Kcnk4	Rpl26	
Adap1	Xirp1	Srf	Hmgcr	
Ambra1	Shc3	Smad2	Cd81	
Cacna2d4	Maged2	Tcfcp2l1	Stat5b	
Camk2a	Strbp	Hsd17b10	Zfp946	
Dgki	Smad4	Tubb2c	Kcnh2	
D10Jhu81e	Rnf135	Yaf2	2900079G21Rik	
Stat4	Gprasp2	Prickle1	Lrrc3b	
Lamb1	Ppp2ca	Adcyap1r1	Atp13a4	
Dnajb5	Hey1	Nr1h3	Fbxl7	
St6galnac4	Agpat3	Hmgcr	Hdac8	
Sh2d5	Zfp536	Rpl18	Acot9	
Ap2m1	Calca	Hdac8	Sun1	
Ssb	Tmem49	Cox7c	Pik3cb	
Adra2a	Sirpa	Crybg3		
Abcf2	Timp4	Eml6	Jdp2	
Polr2e	Gstm1	Cttnbp2	Gng13	
Prkra	Ap3s2	Fbxo45	Fbxo27	
Tbr1	Fbn2	Fam49a	AA986860	
		Zcchc7	Eif2b1	
Otud1	Zcchc7	Ipo5	Timp2	
Rchy1	Cpne8	Eif4ebp1	Parvb	
Enox2	Stard5	S100a10	Ak5	
Slc8a3	Cdkl1	Mapkapk5	Stk39	
Mtap4	Echs1	Ngf	Camk2b	
Pfkp	Rora	Plekhg4	Gmpr	
Nrip3	Cpe	Dscaml1	Ndp	
Aimp2	Pfkp	Zbtb8a	Iqgap2	
Sln	Pcsk1	Gatad1	Pou6f2	
Ppm1g	Cthrc1	Stradb	D430041D05Rik	
Atp6v0d1	Lgmn		Pbx2	
Tcfap2b	Adcy2	Tnk2	Mgmt	
Atp6v0a1	Phlda3	Rps15a	Smad7	
Rps8	Umodl1	Kcnh4	Apoc3	
Rbpj	Lrig3	Kcnj4	Zfp105	
Ptdss1	Adra2a	Cgrrf1	Smad4	
Tuba4a	Rps15a	Sphkap	Rgs14	
Gng5	9430023L20Rik	Mettl1	Kcnj10	
Hebp1	Iqgap2	Eif2b1	Timm23	
Fam3c	Pard3	Pcdh15	Rora	
Prrc2a	Pam	Lsmd1	Crybg3	
Clec2e	Rph3a	Smad4	Id2	
Prkar2a	Gls	Itgav	Fuca1	
Clpb	Trappc6a	Ndufb7	Gucy1a3	
B3galt2	Wsb2	Gck	Ppapdc1a	
Capns1	Rpl18	Arhgap10	Flrt3	
Ifi203	Lamc2	Hey1	Pnkd	
Grik4	Cd7	Zfp467	D330045A20Rik	
Hopx	Rdh5	Syn2	Lyzl4	
Pam	Haus4	Rassf3	C230096C10Rik	
Rapgef4	Ralyl	Evpl	Rnf152	
Rps6	1700040I03Rik	Dkk3	Tnfrsf21	
Grm1	Aldoc	Shmt1		
Dpp4	Plekhm3	Mpv17	Rchy1	
Ppp1r7	Adamts8	Sirpa	Iqcc	
Pcsk4	Enpp2	Adrb1	Ednrb	
BC006965	Rpl10a	Atp13a4	Paqr7	
Itga6	March9		Cpe	
Tmem123	Bmyc	Lor	Dkk3	
Mrps16	Cradd	Pitpnc1	Ghitm	
Gpc4	Mapk10	Ibsp	Cpxm1	
Rpl10a	Ntng2	Sun1	Matn4	
Fstl1	Gng13	Fam149a	Gca	
Rspo1	Ergic3	Ndufs8	Ntng2	
Trpm6	Rad1	Rnf152	Hdc	
Gm561	Egr2	Slc41a1	Slc4a11	
Tubg2	Rab6	Prkra	Snhg12	
Sept11	H2-Q10	Gmpr	Elmod3	
Phlda3	Skint7	Mapk8	Yaf2	
Ntn5	Fgf1	Zfp367	Drap1	
Foxred2	Apitd1	Egr2	Calr4	
Lrrc59	Psme1	Matn4	Stmn2	
Spag7	Xpa	Echs1	Cux2	
Slc7a14	Snx5	Bdp1	Mybpc1	
Traf4	D430041D05Rik	Cd7	Nmt2	
Copa	Rpl7a-ps5	Rfx3	Cenpe	
Hivep2		Chrna7	5430405G05Rik	
Coq4	Camk1d	Gng13	Acadsb	
Wnt7a	Gabrg3	Ints9	Tmem188	
1810006K21Rik	Nrp1	Zfp865	Aif1l	
Zmiz2	Fbxl7	Gamt	Kndc1	
Dnmt3a	Ripk3	Kpna2	Pam	
Uxt	Efna3		Ntrk2	
		Eapp	Lrrc4c	
6430548M08Rik	Cacnb4	Foxred2	Rilpl1	
Map3k1	Nf2	Pacsin3	Snx5	
Lman2l	Kcnh2	Rbm33	Zfp536	
Sema3c	Hdac9	Phlpp2	Dll1	
Bag5	Diras2	Ap4s1	Phlpp1	
Ints1	Map3k14	Zbtb10	Cthrc1	
	Slc1a6	Dus1l	Stat4	
Kcnb1	Ifih1	Bcar3	Chd7	
Pias2	Casz1		Itgax	
Zbtb5	Disp1	Trpm6	2610305D13Rik	
	Smad7	Gucy1a3	Pik3r5	
Serpina3i	Nr4a2	Emx1	Bach2	
U2af1	Sim2	Mgmt	Emx1	
Tcf25	Ascl1	Thap7	Gpc3	
Sestd1	Prkrir	Rps16	Elk3	
Lgmn	Rnf24	Itga8	Thap3	
Itpr1	Slc8a3	Ksr1	Lcat	
Man2a1	Limk1	Stat4	Mybpc3	
Tpp1	Klf6	Camk1d	Rpl37a	
Hist1h2ba	Adrb1	Dctpp1	Ibsp	
Tgfbrap1	Ppm1a	Prps1l3	Stard5	
Slc30a4		Stk17b	Smad2	
Ppfia3	Ppp2r5b	Ncan	Adcyap1r1	
Rpl21-ps1	Hnrnpab		Fstl1	
Osgepl1	Gm5623	Pip4k2c	Tubb5	
Fancl	Gpc3	Kcnma1	Dner	
C4b	Gm6813	Flrt3	Ralyl	
1110002N22Rik	Pten	Sept11	Nhp2l1	
Bmpr1b	Myo1e	Ssb	Pkp4	
Rasal2	Impdh1	Rpl27a	Pbxip1	
Fam160a1	Cenpp	Map3k12	Zfp93	
1810032O08Rik		Gprasp2	Mamdc2	
Spry2	Ccno	Zfp536	Hdac9	
Gss	Acadsb	Psmd8	Pck2	
Edil3	Plaur	Parp1	Gls	
Dhx33	Hsd17b10	Zfp180	Mina	
Pnmal2	Ccdc64	Ddx19b	Prkd1	
Ccnyl1	Pdcd4	Rab40b	Ccdc88b	
Hspbp1	Phlpp1	Nrp1	Spnb1	
Cdh12	Chac1		Casq2	
Fgf1	Arhgap10	Vps25	BC003331	
Polm	Rps8	Nr3c1	Cd7	
Pes1	Polr2f	Ntan1	Gtf2e1	
C1ql1	Lrrc8d	Mtap7d1	Htr2a	
Rdm1	Scn8a	Selk	Papolg	
Psmc3ip	Kras	Pla2g12a	1810062O18Rik	
	Gabrd	Man2a1	Foxred2	
Sntg2	Ibsp	Zfp947	Dynll2	
Mrps31	Rpl19	Rbfox3	Timp4	
Cd9	Lrrc4c	Sytl4	Unc13b	
Ptplb	Unc13b	1700040I03Rik	Ntn5	
Plin3	Paqr7	Wls	Rit2	
Pik3r6	Fcgbp	Uchl5	Cacnb4	
Efna1	Comt	Disp1	Idh1	
Aif1l	Drap1	Cib1	Pip4k2c	
Nav2	Tacr2	Cars	Nr1h3	
Arih2	Itpr1	Ddx39	Nono	
Palld	Dda1	Supt6h	Ddx39	
Grhl1	Dus1l	Cdh12	Myo1e	
Tmem141	Slc6a17	Ifi203	Scn3b	
Chrna7	AI413582	Ypel5	Map3k12	
Atp6v1e1	Zc4h2	Zfp946	Tubb3	
Me3	St5	Tbc1d2	Ormdl3	
Hsd17b11	Parvb	AI413582	1810032O08Rik	
Icmt	Htr2c	Rad1	Supt6h	
Zfp142	Crybg3	Mtss1l	Ckb	
Ddx19b	Tmem101	Sec14l2	Nub1	
Syt6	Psmc5	Map1lc3a	Uba52	
Poldip2	Syn2	Pafah1b1	Lrig3	
Vcam1	Ap2s1	Plp2		
Sytl4	Cdk5rap3	Elmod3	Dph3	
Adra1b	Rasgrp2	Crls1	Gstm1	
Pdgfb	Rnf11	Klf6	Map4k2	
Camk1d	Kpna2	9430023L20Rik	Slc1a1	
Rab6	Gtf3c5	Scap	Abcb9	
Tnnt1	Dok4	Gli3		
Mpdu1	Slc12a6	Paqr7	Dctpp1	
Rab9	Fam136a	Impdh1	Uggt1	
Aip	Rasd1	Klhl29	March11	
Chd9	Tceb2	Secisbp2	1810037I17Rik	
Eef1b2	Neto1	Prkcz	Spag7	
Tmem49			Rab6	
Atl1		Ovca2	Dusp6	
Cryaa	Satb2	0610007L01Rik	Clstn2	
Pdzd3	Hap1	Psmc5	Cradd	
Abcb1b	A130022J15Rik	Eif3e	Aldh9a1	
Mapk10	Chd8	Rbm24	Cenpp	
Scube1	Atp2b3	Fam102a	Rpl36	
Adamtsl2	Atp13a4	Gemin4	Cxcr4	
Ptgfrn	Pnkd	Drap1	Tmcc2	
Ap4s1	Tgfbr3	Tomm40l	Lpin2	
Neto1	Vps33b	Mfap4	Trappc6a	
Fbxo9	Mras	Ninj1	Tsga14	
Net1	Polg	Aprt	Atp6v0e2	
Eno2	Prkar2b	Ebf4	Capn3	
Eif3b	Gabra1	Ldha	Pnpla7	
Kcnq5	Slc7a6	Zbtb5	Rasa2	
Sept5	Ecm2		Parl	
Hmgcl	Mgmt	Dok4	Dcaf12	
Prim1	Cacng5	Rnf103	Vps37a	
Ftsj3	Bach2	Mras	Klhl29	
Dock4	Timp2	Lsm10	Rasgrf2	
Rnf214	Drg2	Gabra1	Lamc2	
Acad8	Rps4x	Tpd52l1	Fbl	
Slc39a11	Plekhg4	Aarsd1	D2hgdh	
Zbtb34	Grip1	Hmgcl	Prickle1	
Dbp	Rhobtb3	Ppp1r9b	Eif1b	
Egfl8	Olfr629	Mapre1	3632451O06Rik	
Gm15450	Ddx19b	D16Ertd472e	Unc5c	
