XFTU	SFTU	SFRC	SFNC	SFRN
Gstm6	3110035E14Rik	Hs3st5	Fgf10	Cdc42bpg
	Crh	Ramp3	Slit1	Adhfe1
Tmem196	Stx1a	Sema5a	Fam3c	Six4
Ssu72	Nrip2	Agt	C130074G19Rik	Tnnt1
Agt	Ppme1	Etv6	Kctd1	4833422C13Rik
Cpne6	Coch	Trib1	St18	
Ccl27a	Naprt1		Tmem132a	Dll1
Nrip2	Med27	Scml4	Ivns1abp	Znhit1
Moxd1	Gabra5	Dchs1	6530418L21Rik	Lgi1
Gria3	Incenp	Ints7	Slc20a1	Gm15056
Rtn4r	Slc39a10	Ncdn	Gabra5	Cd81
Vit		Fam98c		Gys2
Mapk11	Dchs1	Rftn1	Sparc	Lass4
Pdlim4	Lmo7	Acot6		Crkl
	Boc	Myh10	Scml4	Pou2af1
Tbc1d9	Pparg	Mapk11	Adap1	Psmg2
Prlr	Sigmar1	Stx4a	Ehd1	Cybb
Smo	Pnck	Tnnc1	Gstm6	Cno
Zfp945	Rogdi	Pnlip	Orai2	1700027D21Rik
Susd2	Nrp2	Nr2f2	Nr2f2	Ckmt2
Lyzl4	Aloxe3	Il17ra	Myh10	4930550L24Rik
6530418L21Rik	Mkx	2410004A20Rik	Blnk	Rnf166
Mgll	Mycl1	Tmem132a	Foxo6	D330045A20Rik
Fgf10	Ephx4			Osbpl11
Tacr3	Scml4	Bend6	Bloc1s1	Glp2r
Acsl5	Selm	Fibcd1	Mcm6	Dtx4
Accn1	Blnk	Serpina3n	Smo	Copg
Selm	B3gat2	Mef2d	Vgf	Tnfaip6
Tmem132a	Itgb3	Trpc4	Ptpn5	Xlr5a
Acot6	Doc2a	Sall2	Etv6	Aff2
Fibcd1	Foxo6	Nrip2	Zbtb20	Stag2
Rps26	Kl	Zbtb20	Cidea	Il33
Twf2	Slit3	Zap70	Kl	Ap4m1
Ubqln4	Gria3	Sema4g	Gpx1	Hsp90ab1
Cry2	Crym	Numb	Klhl13	Klf7
Adcyap1	St18	Bves	Ints7	Extl2
3110035E14Rik	Etv6	Ahcyl2		Wdr61
Kit	Rftn1	Ehd1	Pik3r6	Hddc3
Lactb	Srpk1	St6galnac5	Fhad1	Poln
Rph3al	Ints7	Cidea	Adcyap1	Zfp316
Prkar1b	Cyp7b1	Vgf	Cx3cl1	Tbx6
Cav3	Sema7a	Ryr3	Slc39a10	Eed
Gabra2	Adamtsl1	Dnmt3a	Zfp365	
Mtfp1	Kcnh5	Cx3cl1	Wnt9a	Igsf10
Hdac1	Klhl13	Fgf10	Prex1	Ube2v1
Nrp2	Dpysl3	Mgll	Nrip2	Hmgn1
Adra2c	Zap70		Acot6	Ugt2b38
Ehd1	Spag5	Trpc3	Fibcd1	Spdef
Itgb3	Rgs4	Arrb1	St6galnac5	Ttbk2
Maml2	Slc20a1	Zfp365	Ncdn	Ephb1
Trpc4	Smo	6530418L21Rik	Slc29a4	March7
Rpl11	Rnf38	Med27	2410004A20Rik	
Kl		Cdhr1	Fhl2	Uqcrh
Lrig3	Moxd1	Afap1l1	Cyp7b1	Bend7
Hdac1	Cdk5r1	2310061C15Rik	Tor1a	Paqr5
Mkx	Hdac1	Ppme1		Zfp358
Kif3c	Fap	Nr3c2	Racgap1	Zmynd19
Pacs1	Orai2	Cyp7b1	Eef1a1	Mycbpap
Calr4	Bloc1s1	Klhl13	Cpne5	Rsf1
Dpyd	Mgll	Gria1	Tmem198	6330503K22Rik
4930447C04Rik	6530418L21Rik	Camk1g	Garnl3	Chrm4
6030405A18Rik	Cidea	Asap1	Pkp2	Ada
Map1lc3a	Lrrn2	Ccdc22	Lmo7	Cox6a1
Tmem198	Zbtb20	Fhad1	Adamts9	Hrsp12
Mcm6	Kntc1	Cpne5	Rps26	8430410K20Rik
Kcnh4	Ripk4	Orai2	Zap70	Hexim1
Kcnh5	Mxra7	Hipk3	Pparg	Tmem91
Wnt10a	Il16	Mrpl27	Pnlip	Rpl23
Fhad1	Itga4	Boc	Crh	Mdm2
Cabp1	Spr	Rps26	Ephx4	Defa-rs1
Pparg	Phkg1	Slc7a14	Srp14	Cenpl
Clstn1	Wdfy4	Akt2	Aloxe3	Napsa
Pip4k2c	Fhl2	Hdac1	Gria1	
Get4	Prex1	Adap1	H2-Ke6	Icmt
Hdac8	Lrrk2	Galntl4	D330012F22Rik	Hdhd3
Sall2	Acot6	Blnk	Iglon5	Hist1h1e
Lrrn1	Eef1a1	Selm	Dgat2	Cd5
Foxo6	Mcm6	Prickle3	Prlr	Clic3
St8sia4	Tacc1	Il1r1	Rftn1	Racgap1
Csrnp2	Ehd1	Icmt	Cdkl1	
Nr3c2	Cnih2	Garnl3	Fam98c	Asb16
Hist2h2be	Fgf10	Actn4	Uba52	Hspb3
Phkg1	Padi2		Slc7a14	Zfp30
Ankrd40	St6galnac5	Kctd6	Slc30a4	Lsm10
Egln3	Dnajc21	BC046404		Abi3
Pdp1	Ivns1abp	Crh	Ryr3	Pan3
Efs	Tor1a	Lmo7	Arrb1	
Mark1	Zfp365	Rogdi	Cpne6	
Scml4	Ahcyl2	Bri3bp	Rph3al	
Racgap1	Cpne5	Pitpna	Il17ra	Oxct1
