XFTU	SFTU	SFRC	SFNC	SFRN
	Osbpl1a	Nhsl1	Etnk2	
Hspb3	Incenp	Itgb3	4930447C04Rik	Inhba
Lats2	Cpne5	Inpp4b	Clstn1	Pilra
Foxo1	Kcnh5	Dgkz	Rph3al	Zp3
Zbtb20	Sigmar1	Pofut1	Fxn	Leo1
Pnmal2	Cabp1	Adcy2	Ramp2	Spock3
Rpl26-ps2	Ppapdc1a	Cabp1	Asb11	Tsc1
Wwc1	Mamdc2	Slc44a5	Cib1	Actn1
Fut9	Amot	A130022J15Rik	2610039C10Rik	Zfp326
Cd3e	Kit	Ppp2r2c	Prkcb	
Cpne5	Mycl1	Itpr1	Pin1	Slc4a4
Cyp7b1	Apaf1	Herc6	Mcmbp	Gm9880
Lmo7	Ppme1	Dcn	Mamdc2	Pnlip
Mpv17	Dnajc21	Tgfb2	Tacc1	Gkap1
Myh1	Dusp3	Cd6	Chst9	
5730469M10Rik	Crhr2	Rev3l	A130022J15Rik	Myl10
Pkp2	Sall2	Agt	Stat4	Meaf6
Hspa8	Racgap1	Racgap1	Incenp	
Efhd2	Lats2	Dock4	Prkar1b	
	Pdyn	Smo	Amot	Gsto2
Nr3c2	Sema4g	Znfx1	Wnt10a	Cmpk2
	Naprt1	Nek3		Hnrnpr
Fibcd1	Nt5c3	Sun1	Slc6a17	Hist1h2aa
Itga4	Cacng3	Ptprz1	Cpne6	Fam198b
Lnp	Aloxe3	Etv6	Ptprz1	Hal
Prkar1b	Cpne9	Chst9	Tgfb2	Akt2
Rapsn	Dock10	Gkap1	6530401D17Rik	
Ubqln4	A130022J15Rik	Mcmbp	Mkx	Asb8
Stx1a	Ninj1	Sall2	Numb	Exosc3
COX3	Fbxw7	Lrrtm1	Tmem120a	Adamts16
Fam70a	Nrsn1	Clstn1	Sall2	Fcnb
Mt3	Foxo1	Cib1	Pofut1	Bmx
Cdhr1	Gm14496	Poln	Habp4	Cinp
Dntt	Nsun7	Stx1a		Cd5l
	6530401D17Rik	Prex1	Paqr6	A430078G23Rik
Arhgap25	Mcmbp	Dnajc21	Tmem132a	Spdya
Trpc4	4930447C04Rik	Golim4	Gm14496	Accn1
Trhr2	Fam149a	Mkx	Samd14	Zfp646
Dock10	Gria1	Samd14	Osbpl1a	Csdc2
Osbpl1a	Dock4		Zfp365	Otud6a
Etnk2	Kcnk4	Apaf1	Acp5	Wisp1
Gria1	Sun1	Cacnb3	Racgap1	Gabrg2
Serpina3n	Cinp	Osbpl1a	Mycl1	Ncs1
Adamtsl1	Fhad1	Ninj1	Mtap6	Ddrgk1
Ankrd40	Doc2a	Mef2d	Rev3l	Slc25a31
Ppl	Strbp	Rnf182	Wnt9a	Bmpr1a
Nrip2	Fhl2	Cacng3	Fscn1	Zfp948
Cpsf3	Prex1	Tiam2	Stx1a	Hmg20a
Ntm	Them4	Kcnh5	Ephx4	Umps
Snrpa1	Myh1	Wnt10a	Ift80	Cct7
Ptk2b	Nr3c2	Actn4	Nr3c2	Sytl3
Dock4	Arhgap25	Cpne6	Diras2	Leprel4
Plrg1	Tbc1d8b	Slc26a11	Pgm2	St8sia2
Rnf144a	Cav3	Peli1	Crhr2	Mrps31
Lamb1	Golim4	Inhba	Plcd4	
Lpl	Cyp7b1	Nr3c2	Rnf182	Ncor1
Ttc39c	Habp4	Nol4	Mgll	1110017D15Rik
Fam149a	Gabra2	Adamts9	Katnb1	
Mcm6	Ripk4	Zfp365	Adcy2	Apoh
Gm5623	Prkcb	Gabra2	Ankrd13b	Cx3cl1
6530418L21Rik	Pygb	Smc2	Lcat	Ube2z
Cdc42se2	6030405A18Rik	Nrsn1	Myo19	Pim1
Wnt10a	Ttl	Tacc1	Ptk2	Rrp9
Thsd7b	Afap1l1	Hsd17b11	Pygb	Spag4
Sdcbp	Wnt10a	Lrrn3	Dock4	Mtap6
Ahcyl2	Cdh10	Akt2	Ppp2r2c	Tcfe3
Tnnc1		Sigmar1	Serpina3g	Tmem120a
Kctd6	Grp	Pnma3	Tiam2	Zc3h12a
Top1mt	St8sia4	6530401D17Rik	Atp2b2	Zfp758
Eif1b	Kctd12b	Rfk	Prex1	Dennd4c
St6galnac5	Kcnmb4	Rnf2	Ctnna2	2700097O09Rik
Slitrk3	Josd1	Pygb	Prox1	Tbkbp1
Dnajc21	Ppp2r2c	Ripk4	Cpne2	Asb13
Sema4g	Cib1	Sh2d5	Bhlhe40	Trim31
Drd5	Wnt9a	Kctd12b	Lats2	
	Plk3	Cdkn1a	Prlr	Adamts12
Kctd1	Hdc	Gm6816	Kcnmb4	Lcat
	Pkp2	Habp4	Cpne9	Tbc1d15
Nfib	Magi2	Cpne9	Cdh10	Olfr231
Atp2b3	Il16	Mgll	Nos1ap	D630045J12Rik
Maml2	Scube1	Kctd1	Trib1	Nxf1
Sall2	Asb11	Stat4	Sema4g	
Smpd2	Ramp2	Strbp	Kctd12b	Gucy1b3
Fbxl7	Cpne2		Ednra	Glipr2
Doc2a	2310061C15Rik	Fhad1	Nt5c3	Poln
H2-Q10	Myo19	Plk3	Zfp503	Usp54
Impdh1	Ptchd1	Pdyn	Slc30a4	Tas2r113
Rgnef	Ipcef1	Ramp2	Gria3	Bnip2
Kcng2	Adam19	Nos1ap	Ggct	Wdr45
Ddx55	Fxn	Ppme1	Sigmar1	Stam2
	Nrip2	Gria3	Sun1	Mdga1
BC046404	Fgf13	Acp5	Comt	Ogg1
Grk5	Gosr1	Cpne5	Fam149a	Traf3ip3
Rplp1	Mapk6	Prox1	Peli1	Snx24
Trappc10	Jdp2	Paqr6	Ormdl1	Gh
Rarres1	Lamb1	Serpina3g	Lpl	2610039C10Rik
Dchs1	Tmem35	Ankrd13b	Dkkl1	Fkbp15
Chrna2	Peli1	Fam149a	Fhl2	Gemin6
Syt3	Rph3al	Arhgap10	Gm5468	Sdccag3
Ttl	Ormdl1	Lmln	Adcy10	Osgepl1
Glcci1	Tmem120a	Plcl2	Slc9a4	Cox7a2l
Zfp608	Dgkz	Mycl1	Mcm6	Lcp2
Rps9	Adcy2	Dkkl1	Phlpp2	Slc29a4
Tbc1d8b	Tgfbr3	Pld2	Vit	Amfr
Necab3	Cry2	Lats2	Smarca2	Nlrp9b
Ormdl1	Ift80	Fhl2	Rab27a	Dlx1as
	Slc4a4	Incenp	Rangap1	Ddx55
Wnt1	Smc2	Smarca2	Apoh	Fxn
	Gria3	1700073E17Rik	Gabra2	Rbm8a
Slc29a4	Pip4k2c	Rab9	Strbp	Terf2
St18	Zfp503	Sdf4	Top1mt	Katnb1
Kcnk4	Ttc39c	Cdh10	Golim4	C87436
Epha6	Slc6a17	Dchs1	Ripk4	
Stx17	Rev3l	Trib1	Kctd1	4930461C15Rik
	Atp2b2	Crym		
ND4	Dchs1	D630045J12Rik	Ints7	Vipr2
Nek3	Itgav	Hnrnpr	Tbc1d8b	P4ha1
Amot		Amot	Nrsn1	Ggt5
4931429I11Rik	Rph3a	Rangap1	Papss2	Mef2d
Gm5670	Paqr6	Itgav	Dll1	Ntrk2
Slco2a1	Serpina3i	Pgm2	Nol4	Glp2r
Tbr1	BC046404	Mctp2	Cacng3	Stfa2l1
Boc	Top1mt	Nsa2	Dlg4	Mcm2
Dnahc2	Serpina3n	Atp2b2	Myh1	Kif12
Actn4	Tiam2	Prlr	Pdyn	
Sema3a	Pin1	Echs1	Ptchd1	Nlrc4
Tcp11l2	Arhgap10	Comt	Fbxw7	Ndufv1
Tspan33	Trim71	Vit	Pld2	Adamts5
Slc30a4	St6galnac5	Magi2	Git1	Mc3r
Gfra4	Tspan33	Ttl	Tmem35	Apoa1
Sgtb	Ngfr	St8sia4	Fhad1	Ppp1r14d
Trim71	Nuf2	Cpne2	Nhedc1	D5Ertd577e
Bves	Cnn3	Mapk6	Mctp2	Pink1
Nampt	Papss2	Gpr133	Tgfbr3	Gli1
Il16	Cacnb3	Shisa4	Cpne5	Ppm1d
Crym	Smarca2	Crhr2	Galntl4	Tra2a
Slc22a1	Zfp365	Slc9a4	Ttc39c	Snrnp35
Ttc39b	Nr4a2	Usp19	Dnajc21	H2afz
Ppme1	St18	Asb11	Itgav	Car8
Naprt1	Mcm6	Tmsb4x	Nr4a2	Ranbp3
Ccno	Sparc	Pip4k2c	Hdc	Ampd2
Gabarap	Ptk2	Kcnk3	Sec61b	Rtkn
Lman2l	Dntt		Afap1l1	
Cish	Pld2	Jdp2	Actn4	Usp26
Pdzd3	Zbtb20	Prkra	Plk3	Vps33b
Nt5c3	Ano2	Ints7	Arhgap10	Arcn1
Ptgfrn	Kcnb1	Ephx4	Calca	Cdhr1
Acsl5	Ankrd13b	Ermp1	Crym	Kctd20
Gabra2	Gm5468	Dock10	Nrip2	Gpa33
Pgm2	Fbxl7	Sema4g		4933434E20Rik
Rpl21-ps1	Gm5623	Nuf2		Etv4
Rerg	Sema7a	Calca	Kcnk3	
Nr2c2ap	Kcnh4	5730469M10Rik	Fbxl7	Ift46
Cpne2	Ryr3	Tmem35	Zmiz2	Hrg
Pdk2	Derl1	Nt5c3	Lmtk2	Gm106
Hadha	D3Bwg0562e	Bhlhe40	Abca7	Hgsnat
Prex1	Efhd2	Papss2	Cacnb3	
Ermp1	Gnpat	Pde4a	Dntt	Smarcc2
Numb	Tmem198	Wnt9a	Kcnj4	Slc7a13
Prdm5	Drd5	Slc39a6	Etv6	Cryba4
Mapk6	Vit	Cav3	Hsd17b11	
Hmgn5	Pdk2	Il17ra	Tbr1	Rin1
Flrt3	Pofut1	Ddx41	Apaf1	Cd3d
Stab2	Plrg1	Phlpp2	Ninj1	
Ints7	Epha6	Plekhg4	Ppme1	Smok3b
Cidea	4931429I11Rik	Zhx1	Arntl2	Gm10220
Itgav	Mrfap1	Rph3al	Rgnef	Dcaf4
Ptpn5	Cdk5r1	Epha6	Nrsn2	Rpl11
Enox2	Prokr2	Zmiz2	Gosr1	Ubxn6
Cd34	Adcyap1	3110035E14Rik	Mia1	
Orai3	Usp19	Dapk2	Asl	Spint3
Notum	Cnih2	Diras2	3110035E14Rik	Nr1h5
	Cyfip1	Rspo3	Ttl	Lrrcc1
Ninj1	Slc39a6	Crh	Hbegf	Itgad
1700019N12Rik	Uap1	Arhgap25	Lrrc8b	Brd8
Sema7a	Crym	Nr4a2	Gchfr	Abtb2
Ryr3	Lmln	Gosr1	Rnf38	Thtpa
Zfp365	Asap1	Btg1	Usp19	Prpf3
Agt	Tacc1	Bcar3	Unc5c	Ino80
Khsrp	Lpl	Mrfap1	Nuf2	Clec12b
B3galt5	Htr2a	Foxo1	Timp4	Dlgap1
Pard3	Kcnh1	Cdk5r1	4931429I11Rik	Mdh1
Tm6sf1	4930471M23Rik	Tmem132a	Cd34	
Ptch2	Hsd17b11	D17Wsu92e	Pnma3	LOC640979
C230096C10Rik	Map4k2	Lat2		AI462493
Gprasp2	Gaa	Kcnb1	Serpina3i	1700019B03Rik
Serpina3i		D3Bwg0562e	Arhgap25	AW554918
Med27	Slc24a3	Slc29a4	Foxo6	Fkbp4
Nrl	Boc	Gtf3c5	Foxo1	Rfc5
	Gtf3c5	Dntt	Shisa4	Hoxc9
Spef2	Dlg4	Pam	Magi2	
Magoh	Echs1	Pdk2	2310061C15Rik	
Galntl4	Tmem132a	Atp13a4	Anp32b	Zfp85-rs1
Eif2ak4	Mtfp1		1700045I19Rik	Klhdc8b
Ipcef1	Shisa4	Aloxe3	Dchs1	Galntl4
Otud7a	Vgf	Rab8b	Smc2	2700023E23Rik
B3gat2	Ints7	Wdfy4	Gucy1b3	
5730494M16Rik	Psmc5	Fdx1	Phka1	Xlr4b
Il1r1	Pgm2	Slc9a1	1700073E17Rik	Evc
Phka1	Fam136a	Ralyl	Sparc	Fbxo42
Tmem35	Gkap1	Fbxw7	Nsa2	Fgf2
Loxl1	Tmc6	Gm14496	Ryr3	Etv1
	Anp32b	Afap1l1	Sox5	Trim7
Srpk1	Bves	Gchfr	Dock10	Itgae
Ppp5c	Hbegf	Dusp3	Fam136a	
Lmnb2	Bcar3	Ptchd1	Boc	Ccl22
Rdh12	Apoh	4930471M23Rik	Nsun7	Paqr3
